"ID","Name","Troop Type","Type","Area of Effect","Duration","Cooldown","Restriction","Condition","Mana Cost","Discipline Requirement","Stamina Cost","Melee Attack Effect","Melee Defence Effect","Ranged Defence Effect","Speed Effect","Accuracy Effect","Range Effect","Reload Effect","Charge Effect","Charge Defence Bonus","HP Regeneration Bonus","Stamina Regeneration Bonus","Morale Bonus","Discipline Bonus","Critical Effect","Physical Damage Effect","Fire Damage Extra","Water Damage Extra","Air Damage Extra","Earth Damage Extra","Poison Damage Extra","Magic Damage Extra","Sight Bonus","Hidden Bonus","Stamina Damage Bonus","Morale Damage Bonus","Status","Enemy Status","Action","Ruleset"
118,"Soul Reap",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
119,"Aegis",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120,"Crushing Leap",0,0,1,1,120,10,10,,60,80,,,,,,,,,0,0,0,0,0,,120,,,,,,,,0,0,0,0,23,,2
121,"Final Showdown",0,0,1,120,10000,10,10,,50,0,160,160,160,160,160,,160,160,60,0,-10,160,50,,,,,,,,,,0,0,0,0,,,2
122,"Unto Demise",0,0,,,,,,,,20,,,,,,,,,0,0,,0,0,,,,,,,,,,0,20,5,0,,,2
123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
124,"Purge The Infidels",0,0,1,,,,,,80,20,,,,,,,,,0,0,0,0,0,,,,,,,,,,0,0,0,0,,,2
125,"Hex Wind",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
126,"Grasp The Opportunity",0,0,,15,60,,,,50,,,,,,,,,,0,0,,0,0,,,,,,,,,,0,0,0,0,,,2
127,"Blood Demand",0,0,,,,,,,75,,,,,,,,,,0,0,,0,0,,,,,,,,,,0,0,0,0,,,2
128,"Valiant Struggle",0,0,1,,,,,,80,,,,,,,,,,0,0,,0,0,,,,,,,,,,0,0,0,0,,,2
129,"Ground Shake",0,0,3,5,600,10,10,,40,80,,,,,,,,,0,0,0,0,0,,20,,,,,,,,0,0,0,0,23,,2
130,"Spike Burst",0,0,1,2,120,,,,45,55,,,,,,,,,0,0,,0,0,,,,,,150,,,,0,0,0,0,23,,2
131,"Deathblow",0,0,1,3,6000,10,10,,,70,,,,,,,,,0,0,0,,,,250,,,,,,,,,0,0,,,,2
132,"Impact Slam",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
134,"Requiem",0,0,2,90,,,,,75,15,,,,,,,,,0,0,,,,,0,,,,,,,,,0,7,,,"Play,repeat",2
135,"Nature Awakening",0,0,1,,,,,,,10,135,135,135,135,135,135,135,135,35,1,,20,,,,,,,,,,,,0,0,86,,,2
136,"Faithful Fury",0,0,1,,,,,,,55,140,,,130,,,,,0,0,,50,,,,,,,,,,,,0,0,50,,,2
137,"Armour Shatters",0,0,1,,,10,10,,,,,,,,,,,,0,0,,,,,150,,,,,,,,,0,0,,,,2
138,"Cheer To Death",1,0,1,3,,10,10,,70,85,,,,,,,,,0,0,,50,,,300,,,,,,,,,0,5,,,,2
139,"Battle Rhythm",0,0,,30,,10,10,,65,,120,120,,,,,,,0,0,-1,,,,,,,,,,,,,0,0,,,,2
140,"Heroic Counter",0,0,1,,,,,,75,60,,,,,,,,,40,0,,,,,,,,,,,,,,0,0,,,,2
141,"Cursed Song",0,0,3,,,,,,10,20,,,,,,,,,0,0,,,,,0,,,,,,,,,0,10,,19,,2
142,"By Beard And Hammer!",0,0,,100,,10,10,,35,,120,120,120,120,,,,120,30,0,,30,10,,,,,,,,,,,0,0,,,,2
143,"Rushing Engagement",0,0,,,,10,10,,40,,115,20,20,140,,,,,-30,0,,50,20,,130,,,,,,,,,0,0,,,,2
144,"Final Drive",0,0,1,10,6000,10,10,,60,10,150,150,150,150,,,,150,0,,,100,,,,,,,,,,,,,,,,,2
145,"Primal Carnage",0,0,1,20,,10,10,,10,30,135,30,30,150,,,150,120,-50,,,100,-20,,,,,,,,,,,0,0,,,,2
146,"Upbeat Melody",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147,"Bloody Onslaught",0,0,,10,,10,10,,40,30,160,80,80,135,,,,,0,,,,,,,,,,,,,,,,1,,,,2
148,"Crack The Whip",0,0,3,30,,,,,10,5,,,,,,,,,0,0,,,,,,,,,,,,,,0,0,68,,,2
149,"Silver Arrow",0,1,1,20,60,11,11,,50,0,,,,,,,,,0,0,0,,,,,,,,,,150,,,0,0,,,"BuffGear",2
150,"Rampage",0,0,1,5,,10,10,,20,50,120,,,125,,,,,0,,,,,,,,,,,,,,,,,,5,,2
151,"Overpower",0,0,,10,,10,10,,60,40,300,,,,,,,,0,,,,,,,,,,,,,,,,,,,,2
152,"Overwhelm",0,0,,10,,10,10,,60,40,130,,,,,,,,0,,,,,,130,,,,,,,,,,,,"5,46",,2
153,"Flashy Display",0,0,3,25,,,,,70,5,,,,,,,,,0,0,,15,,,,,,,,,,,,,3,,,,2
154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
155,"Callback Companion",0,0,1,1,,,,,40,0,,,,,,,,,0,0,,,,,,,,,,,,,,0,0,,,,0
156,"Unleash Companion",0,0,1,,,,,,40,0,,,,,,,,,70,0,,,,,,,,,,,,,,0,0,,70,,0
157,"Clear Insight",0,0,1,60,,,,,70,0,,,,,110,,,,20,0,0,15,10,,,,,,,,,,,0,0,50,,,2
158,"Blood For Blood",0,0,,200,,,,,35,25,200,0,0,,,,,150,0,,,,,,,,,,,,,,,,,,,,2
159,"Shield Breaking",0,0,,1,,10,10,,,35,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,2
160,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
161,"Battle Prayer",0,0,1,200,,,,,65,5,105,105,105,105,105,105,105,,0,0,,10,5,,,,,,,,,,,0,0,,,,0
162,"Disrupting Song",0,0,,1000,,,,,,15,,,,,,,,,0,0,,,,,,,,,,,,,,0,3,,5,,2
163,"Exact Justice",0,0,,1,,,,,,,,,,,,,,,0,0,,,,200,200,,,,,,,,,,,,,,2
164,"Collect Corpse",0,0,1,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,0,,,,2
165,"Unlife",0,0,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,71,,2
166,"Devour Corpse",0,0,,,,,,,,,,,,,,,,,0,5,,,,,,,,,,,,,,0,0,,,,2
167,"Wail Of Death",0,0,4,20,,,,,,0,,,,,,,,,0,0,,,,,,,,,,,,,,,,,72,,2
168,"Cleaving Strike",0,0,2,3,,10,10,,30,35,,,,,,,,,0,0,,,,0,120,,,,,,,,,0,0,,,,2
169,"Mark For Death",0,0,1,,,,,,50,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,58,,2
170,"Dominate",0,0,1,60,,,,,60,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,73,,2
171,"Will Release",0,0,1,1,,,,,60,,,,,,,,,,0,0,,,,,,,,,,,,,,0,0,50,,,2
172,"Revival",0,0,1,1,,,,,0,,,,,,,,,,0,,,,,,,,,,,,,,,0,0,,,,2
173,"Bounty Hunting",0,0,1,,,,,,60,,,,,,,,,,0,0,,,,,,,,,,,,,,0,0,,,,2
174,"Put A Bounty",0,0,1,600,,,,,60,0,,,,,,,,,0,0,,,,,,,,,,,,,,0,0,,51,,2
175,"Digging",0,0,1,,,,,,40,,,,,,,,,,0,0,,,,,,,,,,,,,,0,0,,,,2
176,"Petal Slash",0,0,1,2,,,,,85,25,250,,,,,,,,0,0,,,,,150,,,,,,,,,0,0,,,,2
177,"Paramount Effort",0,0,1,60,,,,,80,30,130,130,130,130,130,130,130,130,35,0,,30,30,,,,,,,,,,,0,0,"49,50",,,2
178,"Brutal Cleave",0,0,2,2,,,,,,,,,,,,,,,0,0,,,,,75,,,,,,,,,0,0,,2,,2
179,"Tar Ball Sling",0,1,1,1,,,,,,,,,,,,,,,0,0,,,,,5,,,,,,,,,0,0,,,,2
180,"Storming Impact",0,0,1,1,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,0,0,,,,2
181,"Skewing Impale",0,0,1,1,,,,,,,,,,,,,,,0,0,,,,,150,,,,,,,,,0,0,,52,,2
182,"Into Insanity",0,0,1,,,,,,0,,,,,,,,,,0,0,,,,,,,,,,,,,,0,0,77,,,2
183,"Gobble",0,0,1,,,,,,10,,,,,,,,,,0,,,,,,,,,,,,,,,0,0,78,,,2
184,"Vampiric Aura",0,0,2,,,,,,0,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,2
185,"Polymorph",0,0,1,,,,,,20,,,,,,,,,,0,,,,,,,,,,,,,,,,,79,,,2
186,"Shapeshift",0,0,1,,,,,,20,,,,,,,,,,0,,,,,,,,,,,,,,,,,80,,,2
187,"Pain Reflect",0,,1,,,,,,40,,,,,,,,,,,0,,,,,,,,,,,,,,,,81,,,2
188,"Courage Song",0,0,3,,,,,,62,,,,,,,,,,0,0,,40,,,,,,,,,,,,0,0,,,,2
189,"Benediction",0,0,2,,,,,,64,,,,,,,,,,0,0,,,,,,,,,,,,,,0,0,,,,2
190,"Healing Support",0,0,2,,,,,,68,,,,,,,,,,0,10,,,,,,,,,,,,,,0,0,,,,0
191,"Guidance To Heaven Embrace",0,0,2,,,,,,88,,,,,,,,,,0,,,,,,,,,,,,,,,,,,"7,83",,2
