"ID","Name","Strength Bonus Scale","Dexterity Bonus Scale","Damage Balance","Physical Damage","Fire Damage","Water Damage","Air Damage","Earth Damage","Poison Damage","Magic Damage","Armour Penetration","Defence","Charge","Weight","Skill","Trait","Cooldown","Ammunition","Magazine","Shot Number","Range","Travel Speed","Cost","Hand","Learning Difficulty","Mastery Difficulty","ImageID","Bullet","Common","Attack","Properties","Ruleset"
18,"Whip",2,8,50,70,0,0,0,0,0,0,5,1,1,5,148,0,4,0,0,0,0,0,,1,6,9,9,,"1hand","Slash",,0
19,"Quarterstaff",4,6,70,80,0,0,0,0,0,0,35,14,5,10,0,0,3,0,0,0,0,0,,2,,,20,,"2pole","Smash","hold,power",0
20,"Sling",3,7,70,100,0,0,0,0,0,0,30,0,0,5,0,16,7,120,1,1,170,60,,1,4,6,11,"stone","1hand","Swing","cancelable",0
21,"Blowgun",1,9,35,80,0,0,0,0,0,0,10,0,0,3,0,0,6,60,1,1,40,60,,1,3,5,12,"bullet","1hand","Blow","cancelable",0
22,"Javelin",4,6,65,160,0,0,0,0,0,0,40,1,0,15,0,16,8,10,1,1,80,50,,1,4,7,13,"self","1pole","Throw","cancelable,hold,timing_2_2",0
23,"Throwing Axe",4,6,50,140,0,0,0,0,0,0,45,0,0,20,0,21,8,15,1,1,70,45,,1,4,6,14,"self,spin","1hand","Throw","cancelable,hold,timing_2_2,bullet_rotate",0
24,"Longbow",2,8,70,300,0,0,0,0,0,0,40,0,0,25,0,16,15,80,1,1,200,70,,2,7,9,15,"arrow","bow","Draw","cancelable,hold,timing_2_2",0
25,"Shortbow",1,9,75,150,0,0,0,0,0,0,15,0,0,10,0,16,10,80,1,1,150,60,,2,5,6,16,"arrow","bow","Draw","cancelable,hold,timing_2_3",0
26,"Greatbow",4,6,65,500,0,0,0,0,0,0,60,0,0,40,0,16,25,60,1,1,250,75,,2,8,10,17,"big arrow","bow","Draw","cancelable,hold,timing_2_1",0
27,"Light Crossbow",1,9,90,150,0,0,0,0,0,0,30,0,0,20,0,0,20,80,1,1,120,60,,2,2,5,18,"bolt","2pole","Shoot","cancelable,hold",0
28,"Heavy Crossbow",2,8,85,400,0,0,0,0,0,0,50,0,0,40,0,0,25,80,1,1,150,70,,2,3,6,19,"bolt","2pole","Shoot","cancelable,hold",0
29,"Repeater Crossbow",1,9,80,130,0,0,0,0,0,0,10,0,0,25,0,0,25,120,5,1,100,60,,2,4,5,18,"bolt","2pole","Shoot","cancelable,hold",0
30,"Arbalest",2,8,75,700,0,0,0,0,0,0,70,0,0,25,0,0,30,70,1,1,200,70,,2,5,6,19,"bolt","2pole","Shoot","cancelable,hold",0
31,"Stone",4,6,70,60,0,0,0,0,0,0,20,0,0,5,0,16,6,120,1,1,50,30,,1,1,4,21,"self","1hand","Throw","cancelable,hold,timing_2_2",0
32,"Composite Bow",1,9,75,180,0,0,0,0,0,0,25,0,0,15,0,16,15,80,1,1,170,60,,2,5,6,16,"arrow","bow","Draw","cancelable,hold,timing_2_3",0
33,"Matchlock Musket",1,9,80,400,0,0,0,0,0,0,80,0,0,35,0,320,30,80,1,1,,200,,2,4,6,,"bullet","2pole","Shoot","cancelable,hold",0
34,"Arquebus",1,9,60,350,0,0,0,0,0,0,70,0,0,25,0,320,20,80,1,1,,200,,2,,,,"bullet","2pole","Shoot","cancelable,hold",0
35,"Blunderbuss",1,9,30,370,0,0,0,0,0,0,70,0,0,50,0,320,25,50,2,4,40,200,,2,6,6,,"bullet","2pole","Shoot","cancelable,hold",0
36,"Flintlock Musket",1,9,70,500,0,0,0,0,0,0,90,0,0,30,0,320,20,80,1,1,,200,,2,,,,"bullet","2pole","Shoot","cancelable,hold",0
37,"Flintlock Pistol",0,10,70,300,0,0,0,0,0,0,75,0,0,10,0,320,10,80,1,1,,200,,2,,,,"bullet","1pole","Shoot","cancelable,hold",0
38,"Matchlock Pistol",0,10,80,280,0,0,0,0,0,0,50,0,0,10,0,320,17,80,1,1,,,,2,,,,"bullet","1pole","Shoot","cancelable,hold",0
39,"Kite Shield",8,2,85,35,0,0,0,0,0,0,4,50,4,20,36,0,5,0,0,0,0,0,,1,4,5,,,"shield","Bash","hold,block",0
40,"Buckler",5,5,70,25,0,0,0,0,0,0,5,15,1,10,0,0,3,0,0,0,0,0,,1,5,7,,,"shield","Bash","parry",0
41,"Round Shield",6,4,85,45,0,0,0,0,0,0,5,30,5,15,36,0,4,0,0,0,0,0,,1,2,4,,,"shield","Bash","hold,block",0
42,"Tower Shield",10,0,90,30,0,0,0,0,0,0,2,75,1,40,"37,36",0,6,0,0,0,0,0,,1,6,5,,,"shield","Bash","hold,block",0
43,"Heater Shield",,,80,45,0,0,0,0,0,0,6,40,7,18,36,0,4,0,0,0,0,0,,1,6,6,,,"shield","Bash","hold,block",0
44,"Pavise Shield",10,0,90,30,0,0,0,0,0,0,2,75,1,34,36,0,6,0,0,0,0,0,,1,5,6,,,"shield","Bash","hold,block",0
45,"Spiked Shield",,,65,70,0,0,0,0,0,0,20,25,10,25,0,0,4,0,0,0,0,0,,1,5,6,,,"shield","Bash","hold,block",0
46,"Aspis Shield",,,,,0,0,0,0,0,0,,,,,36,0,3,0,0,0,0,0,,1,,,,,"shield","Bash","hold,block",0
47,"Oval Shield",,,,,0,0,0,0,0,0,,,,,36,0,4,0,0,0,0,0,,1,6,5,,,"shield","Bash","hold,block",0
48,"Parry Dagger",1,9,70,45,0,0,0,0,0,0,40,,1,,0,0,4,0,0,0,0,0,,1,4,9,,,"shield","Slash","parry",0
49,"Parry Club",3,7,,,0,0,0,0,0,0,30,20,2,,0,0,3,0,0,0,0,0,,1,3,8,,,"shield","Smash","parry",0
50,"Barrier Shield",10,0,90,15,0,0,0,0,0,0,0,90,1,60,39,0,6,0,0,0,0,0,,2,6,6,,,"shield","Bash","hold,block",0
51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"shield","Bash","hold,block",
52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"shield","Bash","hold,block",
53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"shield","Bash","hold,block",
54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,"Throwing Knife",,,,,,,,,,,,,,,,,5,30,1,1,40,,,,,,,"self","1hand","Throw","cancelable,hold,timing_2_2,bullet_rotate",
70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,"Hand Cannon",,,,,0,0,0,0,0,0,,,,,,320,,,,,,,,2,,,,"bullet","2pole","Shoot","bullet_rotate",
75,"Trebuchet",,,9000,,0,0,0,0,0,0,2000,,,95,,16222,100,,1,1,800,,,2,,,,"big stone","trebuchet","Shoot","bullet_rotate",0
76,"Catapult",,,4500,,0,0,0,0,0,0,1000,,,70,,16222,80,,1,1,500,,,2,,,,"big stone","catapult","Shoot","bullet_rotate",0
77,"Ballista",,,950,,0,0,0,0,0,0,500,,,60,,16222,60,,1,1,400,80,,2,,,,"big bolt","ballista","Shoot","bullet_rotate",0
78,"Scorpion",,,175,,0,0,0,0,0,0,400,,,,,222,40,,1,1,300,80,,2,,,,"big bolt","scorpion","Shoot","bullet_rotate",0
79,"Onager",,,,,0,0,0,0,0,0,1000,,,,,16222,,,1,1,,,,2,,,,"big stone","onager","Shoot","bullet_rotate",0
80,"Mangonel",,,,,0,0,0,0,0,0,1000,,,,,16222,,,1,1,,,,2,,,,"big stone","mangonel","Shoot","bullet_rotate",0
81,"Hwacha",,,100,,0,0,0,0,0,0,90,,,,,16222,280,,15,1,,,,2,,,,"small rocket","hwacha","Shoot","bullet_rotate",0
82,"Mounted Crossbow",,,160,,0,0,0,0,0,0,90,,,,,16222,45,,1,1,200,70,,2,,,,"big bolt","mounted crossbow","Shoot","bullet_rotate",0
83,"Light Cannon",,,,,0,0,0,0,0,0,1000,,,50,,16222320,55,,1,1,600,,,2,,,,"cannon ball","light cannon","Shoot","bullet_rotate",0
84,"Heavy Cannon",,,,,0,0,0,0,0,0,5000,,,65,,16222320,65,,1,1,900,,,2,,,,"cannon ball","heavy cannon","Shoot","bullet_rotate",0
85,"Giant Cannon",,,80000,,0,0,0,0,0,0,10000,,,95,,16222320,600,,1,1,1000,,,2,,,,"cannon ball","giant cannon","Shoot","bullet_rotate",0
86,"Mortar",,,,,0,0,0,0,0,0,4000,,,65,,16222320,60,,1,1,800,,,2,,,,"cannon ball","mortar","Shoot","bullet_rotate",0
87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
