"ID","Name","Type","Size","Strength","Dexterity","Agility","Constitution","Intelligence","Wisdom","Physical Resistance","Fire Resistance","Water Resistance","Air Resistance","Earth Resistance","Poison Resistance","Magic Resistance","Trait","Acronym","Mount Armour","Ruleset"
19,"Cow","Beast",14,80,27,30,68,15,23,5,,,,,,,,"CW","TRUE",0
20,"Buffalo","Beast",15,85,29,35,72,13,20,10,,,,,,,,"BFL","TRUE",0
21,"Zebra","Beast",14,72,31,70,,,,0,,,,,,,,"ZB","TRUE",0
22,"Otrich","Beast",9,,,75,,,,0,,,,,,,,"OTR","TRUE",0
23,"Deer","Beast",8,,,75,,,,0,,,,,,,,"DR","TRUE",0
24,"Wolf","Beast",6,50,,75,,20,28,0,,,,,,,,"WLF","TRUE",0
25,"Dire Wolf","Beast",12,65,,70,,22,32,0,,,,,,,,"DWLF","TRUE",0
26,"Swan","Beast",3,14,,42,,,,0,,,,,,,,"SW","TRUE",0
27,"Rat","Beast",2,4,,64,,16,28,0,,,,,,,,"RT","TRUE",0
28,"Rhino","Beast",16,113,,60,,,,20,,,,,,,,"RHN","TRUE",0
29,"Rabbit","Beast",3,5,,68,,,,0,,,,,,,,"RBB","TRUE",0
30,"Fox","Beast",4,,,76,,,,0,,,,,,,,"FOX","TRUE",0
31,"Kangaroo","Beast",9,,60,65,,,,0,,,,,,,,"KGR","TRUE",0
32,"Lizard","Beast",3,,,55,,,,0,,,,,,,,"LZ","TRUE",0
33,"Sheep","Beast",7,,,45,,,,0,-15,,,,,,,"SHP","TRUE",0
34,"Goat ","Beast",7,,,45,,,,0,,,,,,,,"GT","TRUE",0
35,"Bat","Beast",2,,,80,,,,0,,,,,,,,"BAT","TRUE",0
36,"Gorilla","Beast",16,,,55,,,,10,,,,,,,,"GRL","TRUE",0
37,"Bull","Beast",15,,,63,,,,15,,,,,,,,"BULL","TRUE",0
38,"Chicken","Beast",3,,,38,,,,0,,,,,,,,"CHK","TRUE",0
39,"Penguin","Beast",6,,,27,,,,0,,,,,,,,"PGN","TRUE",0
40,"Frog","Beast",2,,,24,,,,0,,,,,,,,"FROG","TRUE",0
41,"Snail","Beast",1,,,5,,,,2,,,,,,,,"SNL","TRUE",0
42,"Hippopotamus","Beast",18,,,55,,,,10,,,,,,,,"HPP","TRUE",0
43,"Leech","Beast",1,,,4,,,,0,,,,,,,,"LCH","TRUE",0
44,"Grasshopper","Beast",1,,,60,,,,0,,,,,,,,"GHP","TRUE",0
45,"Monkey","Beast",5,,,70,,,,0,,,,,,,,"MKY","TRUE",0
46,"Donkey","Beast",8,,,55,,,,0,,,,,,,,"DKY","TRUE",0
47,,,,,,,,,,,,,,,,,,,,
48,,,,,,,,,,,,,,,,,,,,
49,,,,,,,,,,,,,,,,,,,,
50,,,,,,,,,,,,,,,,,,,,
51,,,,,,,,,,,,,,,,,,,,
52,,,,,,,,,,,,,,,,,,,,
53,,,,,,,,,,,,,,,,,,,,
54,,,,,,,,,,,,,,,,,,,,
55,,,,,,,,,,,,,,,,,,,,
56,,,,,,,,,,,,,,,,,,,,
57,,,,,,,,,,,,,,,,,,,,
58,,,,,,,,,,,,,,,,,,,,
59,,,,,,,,,,,,,,,,,,,,
60,,,,,,,,,,,,,,,,,,,,
61,,,,,,,,,,,,,,,,,,,,
62,,,,,,,,,,,,,,,,,,,,
63,,,,,,,,,,,,,,,,,,,,
64,,,,,,,,,,,,,,,,,,,,
65,,,,,,,,,,,,,,,,,,,,
66,,,,,,,,,,,,,,,,,,,,
67,,,,,,,,,,,,,,,,,,,,
68,,,,,,,,,,,,,,,,,,,,
69,,,,,,,,,,,,,,,,,,,,
70,,,,,,,,,,,,,,,,,,,,
71,,,,,,,,,,,,,,,,,,,,
72,"Giraffe","Beast",,,,,,,,,,,,,,,,,"TRUE",
73,"Neanderthal",,12,60,40,60,60,40,45,0,,,,,,,,"NDT","FALSE",0
74,"Tyrannosaurus","Beast",35,,,,,,,30,,,,,,,,"TREX","TRUE",0
75,"Triceratops","Beast",,,,,,,,,,,,,,,,"TRT","TRUE",0
76,"Dodo","Beast",,,,,,,,,,,,,,,,"DD","TRUE",0
77,"Ankylosaurus","Beast",,,,,,,,,,,,,,,,"AKS","TRUE",0
78,"Diplodocus","Beast",,,,,,,,,,,,,,,,"DPD","TRUE",0
79,"Stegosaurus","Beast",,,,,,,,,,,,,,,,"SGS","TRUE",0
80,"Velociraptor","Beast",,,,,,,,,,,,,,,,"VCR","TRUE",0
81,"Plesiosaurus","Beast",,,,,,,,,,,,,,,,"PSR","TRUE",0
82,"Pteranodon","Beast",,,,,,,,,,,,,,,,"PND","TRUE",0
83,"Gastornis","Beast",,,,,,,,,,,,,,,,,"TRUE",
84,,,,,,,,,,,,,,,,,,,,
85,,,,,,,,,,,,,,,,,,,,
86,"Elf","Civilise",10,50,60,67,61,80,80,0,,,,,,,,"E","FALSE",2
87,"Dwarf","Civilise",7,60,55,35,65,,,0,,,,,,,,"DW","FALSE",2
88,"Orc","Civilise",14,80,35,60,70,28,38,0,,,,,,,,"O","FALSE",2
89,"Goblin","Civilise",5,31,47,54,32,31,46,0,,,,,,,,"G","FALSE",2
90,"Halfling","Civilise",5,34,56,41,43,57,49,0,,,,,,,,"HL","FALSE",2
91,"Gremlin","Civilise",5,,,,,,,0,,,,,,,,"GL","FALSE",2
92,"Giant","Civilise",50,500,30,40,250,48,42,30,15,,,,20,,,"GT","FALSE",2
93,"Centaur","Civilise",17,75,60,75,,,,0,,,,,,,,"C","FALSE",2
94,"Frogman","Civilise",8,,,,,,,0,,,,,,,,"FGM","FALSE",2
95,"Lizardman","Civilise",10,,,,,,,0,,,,,,,,"LZM","FALSE",2
96,"Gnome","Civilise",5,,,,,,,0,,,,,,,,"GNM","FALSE",2
97,"Minotaur","Civilise",20,,,,,,,15,10,,5,10,10,,,"MT","FALSE",2
98,"Djinn","Civilise",14,,,,,,,20,30,30,20,40,60,40,,"DJ","FALSE",2
99,,,,,,,,,,,,,,,,,,,,
100,,,,,,,,,,,,,,,,,,,,
101,,,,,,,,,,,,,,,,,,,,
102,,,,,,,,,,,,,,,,,,,,
103,,,,,,,,,,,,,,,,,,,,
104,"Skeleton","Undead",,,,,,,,,,,,,90,,,,"FALSE",2
105,"Zombie","Undead",,,,,,,,,,,,,90,,,,"FALSE",2
106,"Vampire","Undead",10,,,,,,,10,,,,,90,,,"VP","FALSE",2
107,"Lich","Undead",10,,,,,,,0,,,,,100,,,"LICH","FALSE",2
108,"Banshee","Undead",10,,,,,,,,,,,,100,,,"BSH","FALSE",2
109,"Ghoul","Undead",,,,,,,,,,,,,90,,,"GHL","FALSE",2
110,"Ghost/Spirit","Undead",,,,,,,,,,,,,90,,,,"FALSE",2
111,"Mummy","Undead",10,,,,,,,0,,,,,90,,,"MM","FALSE",2
112,"Lust Demon","Demon",10,,,,,,,0,,,,,50,,,"LDM","FALSE",2
113,"Imp","Demon",6,,,,,,,0,,,,,,,,"IMP","FALSE",2
114,,,,,,,,,,,,,,,,,,,,
115,"Goat Demon","Demon",,,,,,,,,,,,,80,,,"GDM","FALSE",2
116,"Devil","Demon",,,,,,,,20,,,,,70,,,"DVL","FALSE",2
117,"Tiefling","Demon",,,,,,,,,,,,,,,,,"FALSE",2
118,"Archdemon","Demon",,,,,,,,50,,,,,90,,,"ADM","FALSE",2
119,,,,,,,,,,,,,,,,,,,,
120,"Leprechaun","Civilise",5,,,,,,,0,,,,,,,,,"FALSE",2
121,"Dryad","Civilise",10,,,,,,,0,,,,,,,,"DYD","FALSE",2
122,"Nymph","Civilise",,,,,,,,0,,,,,,,,"NMP","FALSE",2
123,"Fey","Civilise",,,,,,,,0,,,,,,,,"FEY","FALSE",2
124,"Sylph","Civilise",,,,,,,,,,,,,,,,"SPH","FALSE",2
125,"Pixie","Civilise",2,,,,,,,,,,,,,,,"PX","FALSE",2
126,"Satyr","Civilise",12,,,,,,,,,,,,,,,"STY","FALSE",2
127,"Trow","Civilise",,,,,,,,,,,,,,,,,"FALSE",2
128,"Aziza","Civilise",,,,,,,,,,,,,,,,,"FALSE",2
129,"Yumboes","Civilise",,,,,,,,,,,,,,,,,"FALSE",2
130,"Adhene","Civilise",,,,,,,,,,,,,,,,,"FALSE",2
131,"Nixies","Civilise",,,,,,,,,,,,,,,,,"FALSE",2
132,"Faun","Civilise",,,,,,,,,,,,,,,,,"FALSE",2
133,,,,,,,,,,,,,,,,,,,,
134,,,,,,,,,,,,,,,,,,,,
135,"Scylla","Civilise",,,,,,,,,,,,,,,,,"FALSE",2
136,"Selkie","Civilise",,,,,,,,,,,,,,,,,"FALSE",2
137,"Merfolk","Civilise",12,,,,,,,0,,,,,,,,"MFK","FALSE",2
138,,,12,,,,,,,,,,,,,,,,,2
139,"Alkonost",,,,,,,,,,,,,,,,,,"FALSE",2
140,"Giant Living Doll","Construct",8,,,,,,,10,,,,,,,,"GLDL","FALSE",2
141,"Living Doll","Construct",5,,,,,,,5,,,,,,,,"LDL","FALSE",2
142,"Mini Living Doll","Construct",2,,,,,,,0,,,,,,,,"MLDL","FALSE",2
143,,,,,,,,,,,,,,,,,,,,
144,"Golem","Construct",20,,,,,,,40,60,60,,60,50,-30,,"GL","TRUE",2
145,"Lesser Golem","Construct",8,,,,,,,,,,,40,50,-15,,"LGL","TRUE",2
146,"Greater Golem","Construct",40,,,,,,,,,,,70,50,-50,,"GGL","TRUE",2
147,"Colossus","Construct",50,,,,,,,70,,,,85,70,-40,,"CLS","TRUE",2
148,"Wyrm","Monster",40,,,,,,,,,,,,,,,"WV","TRUE",2
149,"Dragon","Monster",40,700,,,,,,50,,,,,80,,,"DG","TRUE",2
150,"Wyvern","Monster",25,,,,,,,,,,,,,,,"WYV","TRUE",2
151,"Lesser Dragon","Monster",30,400,,,,,,,,,,,,,,"LDG","TRUE",2
152,"Ancient Dragon","Monster",50,1000,,,,,,,,,,,,,,"ADG","TRUE",2
153,"Drake","Monster",,,,,,,,,,,,,,,,"DRK","TRUE",2
154,,,,,,,,,,,,,,,,,,,,
155,,,,,,,,,,,,,,,,,,,,
156,,,,,,,,,,,,,,,,,,,,
157,,,,,,,,,,,,,,,,,,,,
158,,,,,,,,,,,,,,,,,,,,
159,,,,,,,,,,,,,,,,,,,,
160,,,,,,,,,,,,,,,,,,,,
161,,,,,,,,,,,,,,,,,,,,
162,,,,,,,,,,,,,,,,,,,,
163,,,,,,,,,,,,,,,,,,,,
164,,,,,,,,,,,,,,,,,,,,
165,"Cyclop","Monster",,,,,,,,,,,,,,,,"CCP","FALSE",
166,,,,,,,,,,,,,,,,,,,,
167,"Ratman","Civilise",6,,,,,,,,,,,,,,,"RMN","FALSE",2
168,"Catman","Civilise",8,,,,,,,,,,,,,,,"CMN","FALSE",2
169,"Dogman","Civilise",8,,,,,,,0,,,,,,,,"DMN","FALSE",2
170,"Rabbitman","Civilise",6,,,,,,,,,,,,,,,"RBMN","FALSE",2
171,"Sheepman","Civilise",8,,,,,,,,,,,,,,,"SMN","FALSE",2
172,"Lionman","Civilise",16,,,,,,,,,,,,,,,"LMN","FALSE",2
173,"Bearman","Civilise",20,,,,,,,,,,,,,,,"BMN","FALSE",2
174,"Slothman","Civilise",6,,,,,,,,,,,,,,,"SLMN","FALSE",2
175,"Foxman","Civilise",7,,,,,,,,,,,,,,,"FMN","FALSE",2
176,,,,,,,,,,,,,,,,,,,,
177,,,,,,,,,,,,,,,,,,,,
178,,,,,,,,,,,,,,,,,,,,
179,,,,,,,,,,,,,,,,,,,,
180,,,,,,,,,,,,,,,,,,,,
181,,,,,,,,,,,,,,,,,,,,
182,,,,,,,,,,,,,,,,,,,,
183,,,,,,,,,,,,,,,,,,,,
184,"Gargoyle","Monster",10,,,,,,,45,,,,,,,,"GG","FALSE",
185,"Chimera","Monster",30,,,,,,,40,,,,,,,,"CMR","TRUE",
186,"Slime","Monster",4,,,,,,,,,,,,,,,"SLM","FALSE",
187,"Yeti","Monster",24,,,,,,,,,,,,,,,"YTI","FALSE",
188,"Hydra","Monster",45,,,,,,,,,,,,,,,"HYD","TRUE",
189,"Fluffball","Monster",,,,,,,,,,,,,,,,"FBL","TRUE",
190,"Lamassu","Monster",,,,,,,,,,,,,,,,,"TRUE",
191,"Sharabha","Monster",,,,,,,,,,,,,,,,,"TRUE",
192,"Sphinx","Monster",37,,,,,,,,,,,,,,,"SPX","TRUE",
193,"Yali","Monster",,,,,,,,,,,,,,,,"YLI","TRUE",
194,"Behemoth","Monster",41,,,,,,,,,,,,,,,"BHM","TRUE",
195,"Mimic","Monster",,,,,,,,,,,,,,,,"MM","FALSE",
196,"Elemental","Monster",23,,,,,,,,,,,,,,,"ELEM","FALSE",
197,"Beholder","Monster",32,,,,,,,,,,,,,,,"BHD","TRUE",
198,"Corpse Eater","Monster",,,,,,,,,,,,,,,,"CER","FALSE",
199,"Slargos","Monster",,,,,,,,,,,,,,,,"SLG","FALSE",
200,"Wurm","Monster",,,,,,,,,,,,,,,,"WUM","TRUE",
201,"Living armor","Monster",,,,,,,,,,,,,,,,"LAM","FALSE",
202,,,,,,,,,,,,,,,,,,,,
203,"Griffin","Monster",20,,,,,,,0,,,,,,,,"GRF","TRUE",
204,"Hippogriff","Monster",,,,,,,,,,,,,,,,"HPG","TRUE",
205,"Sky Whale","Monster",70,,,,,,,35,,,,,,,,"SWH","TRUE",
206,"Yale",,,,,,,,,,,,,,,,,"YLE","FALSE",
207,"Stalker",,9,,,,,,,,,,,,,,,"STK",,
208,"Qilin",,,,,,,,,,,,,,,,,"QLN",,
209,"Silence",,,,,,,,,,,,,,,,,"SLE",,
210,"Evil eye",,,,,,,,,,,,,,,,,"EEY",,
211,"Faceless",,,,,,,,,,,,,,,,,"FCL",,
212,"Abomination",,44,,,,,,,,,,,,,,,"ABM",,
213,"Eternal Lover",,,,,,,,,,,,,,,,,"ETLV",,
214,"Garigara",,,,,,,,,,,,,,,,,,,
215,"Cockatrice",,31,,,,,,,,,,,,,,,"CKTR","TRUE",
216,"Pegasus",,20,,,,,,,,,,,,,,,"PGS","TRUE",
217,"Unicorn",,16,,,,,,,,,,,,,,,"UNC","TRUE",
218,"Tikbalang",,,,,,,,,,,,,,,,,,,
219,"Wisp",,,,,,,,,,,,,,,,,,,
220,"Al-mi'raj",,,,,,,,,,,,,,,,,,,
221,"Ammit",,,,,,,,,,,,,,,,,,,
222,"Amphiptere",,,,,,,,,,,,,,,,,,,
223,"Amphisbaena",,,,,,,,,,,,,,,,,,,
224,"Ao Ao",,,,,,,,,,,,,,,,,,,
225,"Parasite fungal",,,,,,,,,,,,,,,,,,,
226,"Snowman",,,,,,,,,,,,,,,,,,,
227,"Shoggoth",,,,,,,,,,,,,,,,,,,
228,"Nian",,,,,,,,,,,,,,,,,,,
229,"Bunyip",,,,,,,,,,,,,,,,,,,
230,"Rompo",,,,,,,,,,,,,,,,,,,
231,"Squonk",,,,,,,,,,,,,,,,,,,
232,"Planty",,,,,,,,,,,,,,,,,,,
233,"Allocamelus",,,,,,,,,,,,,,,,,,,
234,"Alphyn",,,,,,,,,,,,,,,,,,,
235,"Basilisk",,,,,,,,,,,,,,,,,,,
236,"Enfield",,,,,,,,,,,,,,,,,,,
237,"Manticore",,30,,,,,,,,,,,,,,,,,
238,"Lindworm",,,,,,,,,,,,,,,,,,,
239,"Warped Dop ",,,,,,,,,,,,,,,,,,,
240,"Heavenly Bird",,26,,,,,,,,,,,,,,,,,
241,,,,,,,,,,,,,,,,,,,,
242,"Wendigo",,,,,,,,,,,,,,,,,,,
243,"Monster Clock",,13,,,,,,,,,,,,,,,,,
244,"Living Weapon",,,,,,,,,,,,,,,,,,,
245,"Gorsai",,,,,,,,,,,,,,,,,,,
246,,,,,,,,,,,,,,,,,,,,
247,"Living Book","Monster",2,,,,,,,0,,,,,,,,,,
248,"Fiddle Grasshopper",,,,,,,,,,,,,,,,,,,
249,"Nine Tailed",,,,,,,,,,,,,,,,,,,
250,"Tilkiles (Ball liked monster)",,,,,,,,,,,,,,,,,,,
251,"Davance (Floating tiny wyrm)",,,,,,,,,,,,,,,,,,,
252,"Abada",,,,,,,,,,,,,,,,,,,
253,"Ahuizotl",,,,,,,,,,,,,,,,,,,
254,,,,,,,,,,,,,,,,,,,,
255,,,,,,,,,,,,,,,,,,,,
256,,,,,,,,,,,,,,,,,,,,
257,,,,,,,,,,,,,,,,,,,,
258,,,,,,,,,,,,,,,,,,,,
259,,,,,,,,,,,,,,,,,,,,
260,,,,,,,,,,,,,,,,,,,,
261,,,,,,,,,,,,,,,,,,,,
262,,,,,,,,,,,,,,,,,,,,
263,,,,,,,,,,,,,,,,,,,,
264,,,,,,,,,,,,,,,,,,,,
265,,,,,,,,,,,,,,,,,,,,
266,,,,,,,,,,,,,,,,,,,,
267,,,,,,,,,,,,,,,,,,,,
268,,,,,,,,,,,,,,,,,,,,
269,,,,,,,,,,,,,,,,,,,,
270,,,,,,,,,,,,,,,,,,,,
271,,,,,,,,,,,,,,,,,,,,
272,,,,,,,,,,,,,,,,,,,,
273,,,,,,,,,,,,,,,,,,,,
274,,,,,,,,,,,,,,,,,,,,
275,,,,,,,,,,,,,,,,,,,,
276,,,,,,,,,,,,,,,,,,,,
277,,,,,,,,,,,,,,,,,,,,
278,,,,,,,,,,,,,,,,,,,,
279,,,,,,,,,,,,,,,,,,,,
280,,,,,,,,,,,,,,,,,,,,
281,,,,,,,,,,,,,,,,,,,,
282,,,,,,,,,,,,,,,,,,,,
283,,,,,,,,,,,,,,,,,,,,
284,,,,,,,,,,,,,,,,,,,,
285,,,,,,,,,,,,,,,,,,,,
286,,,,,,,,,,,,,,,,,,,,
287,,,,,,,,,,,,,,,,,,,,
288,,,,,,,,,,,,,,,,,,,,
289,,,,,,,,,,,,,,,,,,,,
290,,,,,,,,,,,,,,,,,,,,
291,,,,,,,,,,,,,,,,,,,,
292,,,,,,,,,,,,,,,,,,,,
293,,,,,,,,,,,,,,,,,,,,
294,,,,,,,,,,,,,,,,,,,,
295,,,,,,,,,,,,,,,,,,,,
296,,,,,,,,,,,,,,,,,,,,
297,,,,,,,,,,,,,,,,,,,,
298,,,,,,,,,,,,,,,,,,,,
299,,,,,,,,,,,,,,,,,,,,
300,,,,,,,,,,,,,,,,,,,,
301,,,,,,,,,,,,,,,,,,,,
302,,,,,,,,,,,,,,,,,,,,
303,,,,,,,,,,,,,,,,,,,,
304,,,,,,,,,,,,,,,,,,,,
305,,,,,,,,,,,,,,,,,,,,
306,,,,,,,,,,,,,,,,,,,,
307,,,,,,,,,,,,,,,,,,,,
308,,,,,,,,,,,,,,,,,,,,
309,,,,,,,,,,,,,,,,,,,,
310,,,,,,,,,,,,,,,,,,,,
311,,,,,,,,,,,,,,,,,,,,
312,,,,,,,,,,,,,,,,,,,,
313,,,,,,,,,,,,,,,,,,,,
314,,,,,,,,,,,,,,,,,,,,
315,,,,,,,,,,,,,,,,,,,,
316,,,,,,,,,,,,,,,,,,,,
317,,,,,,,,,,,,,,,,,,,,
318,,,,,,,,,,,,,,,,,,,,
319,,,,,,,,,,,,,,,,,,,,
320,,,,,,,,,,,,,,,,,,,,
321,,,,,,,,,,,,,,,,,,,,
322,,,,,,,,,,,,,,,,,,,,
323,,,,,,,,,,,,,,,,,,,,
324,,,,,,,,,,,,,,,,,,,,
325,,,,,,,,,,,,,,,,,,,,
326,,,,,,,,,,,,,,,,,,,,
327,,,,,,,,,,,,,,,,,,,,
328,,,,,,,,,,,,,,,,,,,,
329,,,,,,,,,,,,,,,,,,,,
330,,,,,,,,,,,,,,,,,,,,
331,,,,,,,,,,,,,,,,,,,,
332,,,,,,,,,,,,,,,,,,,,
333,,,,,,,,,,,,,,,,,,,,
