"abilityid","name","type","aoe_range","duration","cooldown","restriction","condition","mana_cost","discipline_need ","stamina_cost","atk_effect","def_melee_effect","def_range_effect","speed_effect","accuracy_effect","range_effect","reload_effect","charge_effect","charge_def_bonus","health_regen_bonus","stamina_regen_bonus","morale_bonus","discipline_bonus","critical_effect","damage_effect","sight_effect","hide_bonus","status","stamina_damage","morale_damage","enemy_status","elem","description","done?"
17,"Clumsy Charge",0,1,10,60,"3,4,10","3,4",0,10,10,,,,,,,,30,0,0,-2,0,0,,,0,0,0,,,0,0,"Some squads are just not suitable for charging whether it be because of their insufficient training or unsuitable equipment.","y"
18,"Heroic Charge",0,2,10,60,"3,4,10","3,4",0,10,10,110,,,110,,,,,0,0,-2.5,20,0,,,0,0,0,,,0,0,"Just follows the hero and everything will be alright. They become masters of battle by staying alive after all.","y"
19,"Weak Charge",0,1,10,60,"3,4,10","3,4",0,10,10,,,,90,,,,40,0,0,-2,0,0,,,0,0,0,,,0,0,"A weak charge can often time results in total disaster. Exercise charging tactic for unit with this skill with caution.","y"
20,"Slow Charge",0,1,10,60,"3,4,10","3,4",0,10,10,,,,80,,,,50,0,0,-2,0,0,,,0,0,0,,,0,0,"Due to the squad's weight, its charge is much slower than usual and less effective overall.","y"
21,"Charge",0,1,10,60,"3,4,10","3,4",0,10,10,,,,110,,,,,0,0,-2,0,0,,,0,0,0,,,0,0,"An act of charging is often one of the most crucial turning points in any battle. A successful charge can deliver a massive shocking blow to enemy squads that completely destroy their morale or it can be total disaster that result in retreat of the charge initiator instead.","y"
22,"Giant Rush",0,2,20,60,"3,4,10","3,4",0,10,10,,,,110,,,,,0,0,-1.5,0,0,,,0,0,0,,6,4,0,"A charge from giant squad can be count as one of the most devastating charge in history , it is almost impossible to hold position against such massive blows.",
23,"Break Charge",0,1,10,100,10,10,0,45,10,,,,,,,,,0,0,-2,0,0,,,0,0,0,,,0,0,,
24,"Counter Charge",0,1,10,60,10,10,0,55,10,,,,,,,,,30,0,-2,0,0,,,0,0,0,,,0,0,,
25,"Carbidarleht Piper",0,4,60,60,0,0,0,65,5,125,125,125,125,125,125,125,125,0,0,-0.5,25,-5,,0,0,0,0,,,0,0,,
26,"Spider Web Shot",1,1,1,60,10,10,0,20,20,,,,,,,,,0,0,0,0,0,,0,0,0,0,,,"24,36",0,,
27,"Aging Touch",0,1,1,100,10,10,,40,60,,,,,,,,,0,0,0,0,0,,0,0,0,0,,,45,0,"Aging is inevitable but what is worse one can do to other that escalating the process. Ability to turn a well toned soldier into a weak senile old fool is beyond terrifying.",
28,"Ashen Rising",0,1,20,10000,100,100,,0,,,,,,,,,,0,0,0,0,0,,,0,0,87,,,0,0,"Rising from ash, the flame of life will never be extinguished.",
29,"Chain Lightning Strike",0,3,1,300,10,10,15,,100,,,,,,,,,0,0,0,0,0,,,0,0,0,,,23,3,,
30,"Keen Strike",0,1,3,55,10,10,0,75,90,250,,,,,,,,0,0,0,0,0,,,0,0,0,,,0,0,,
31,"Graceful Evasion",0,1,30,300,10,10,0,80,10,,150,150,170,,,,,20,0,0,0,0,,,0,0,0,,,0,0,"There is nothing more elegant than gracefully evading a blow from a brute.",
32,"Corpse Burst",0,2,1,300,10,10,,35,60,,,,,,,,,0,0,0,0,0,,,0,0,0,,,,0,,
33,"Spearwall",0,1,120,0,"0,1,3,10","0,1,3",0,30,10,120,110,90,50,,,,,50,0,-1,0,0,,,0,0,0,,,0,0,"Spearwall is a simple yet effective method to counter a charging unit. It is difficult to dodge an object when you rushing at full speed after all.",
34,"Spearguard",0,1,90,0,"0,1,3,10","0,1,3",0,50,10,110,115,,60,,,,,20,0,-0.5,0,0,,,0,0,0,,,0,0,"Due to the length of the spear, a well-positioned spear stance can already improve the defence ability significantly.",
35,"Angel Guardian",0,3,20,200,,,0,80,25,,,,,,,,,10,0,-1,0,0,,,0,0,88,,,0,0,,
36,"Shieldwall",0,1,120,0,"0,1,3,10","0,1,3",,30,10,,130,120,50,,,,,25,0,-0.5,10,0,,,0,0,0,,,0,0,"What is the most common tactic used in the most disciplined troops by every world conquering empires? The answer is always shieldwall. The key basis of winning the war is to avoid having the soldiers die in senseless deaths. The longer the soldiers survive in the war, the more experience in killing they become. And the more experienced soldier make a more effective the army.","y"
37,"Shield Turtle",0,1,120,0,"0,1,3,10","0,1,3",,50,20,,130,160,20,,,,,10,0,-2,0,0,,,0,0,0,,,0,0,"Defensive yet still mobile. This tactic is superb against approaching enemy army that excel in range attack.",
38,"Shield Dome",0,1,180,20,"0,10",0,,60,20,80,150,200,0,,,,,40,0,-2,15,0,,,0,0,0,,,0,0,"The ultimate defense tactic. This shield dome leaves no vulnerable spot for enemy to attack.",
39,"Shield Barrier",0,1,180,20,"0,10",0,,64,30,75,165,160,0,,,,,35,0,-2,25,0,,,0,0,0,,,0,0,,
40,"Shield Fortress",0,1,180,30,"0,10",0,,72,40,,175,200,0,,,,,50,0,-2,0,0,,,0,0,0,,,0,0,,
41,"Rapid Shots",0,1,120,300,11,11,,35,10,,,,,,,120,,0,0,-2,0,0,,,0,0,0,,,0,0,"Opportunity to attack is of the essence especially for archers in a battlefield, the more arrows remain in the quiver means the less enemy killed. ",
42,"Rapid Defense",0,1,120,300,"1,2,3,4,10","1,2,3,4,10",,45,10,,110,,110,,,,,0,0,-1,0,0,,,0,0,0,,,0,0,,
43,"Rapid Attack",0,1,120,300,"1,2,3,4,10","1,2,3,4,10",,50,10,110,,,110,,,,,0,0,-1.5,0,0,,,0,0,0,,,0,0,"Strike fast enough and the enemy will never know what hit them.",
44,"Rapid Advance",0,1,120,300,"1,2,3,4","1,2,3,4",,41,10,,,,125,,,,,0,0,-1,0,0,,,0,0,0,,,0,0,"Speed can often determine the fate of a battle and even a war. Being faster than enemy is never a disadvantage.",
45,"Steady Aims",0,1,60,300,11,11,,44,10,,,,,120,,,,0,0,-1,0,0,,,0,0,0,,,0,0,"The most important part of range weaponry is to hit the target. Arrows missed are arrow wasted.",
46,"Steady Shield",0,1,60,0,"0,10","0,10",,48,10,,120,120,,,,,,20,0,-1,0,0,,,0,0,0,,,0,0,"The art of defence begins with stability. No unsteady shield can defend harm for its user.",
47,"Victory Or Death",0,1,1200,10000,10,10,,51,0,,,,,,,,,0,0,0,50,50,,,0,0,0,,,0,0,"Sometimes retreat is a valid option but not for this time.",
48,"Chain Attack",0,2,3,60,10,10,,49,50,,,,,,,,,0,0,0,0,0,,50,0,0,0,,,0,0,"Hitting all enemy at once in a swift fashion is not an easy feat. Extremely powerful skill in battlefield combat with no end of enemies to slay.",
49,"Sweep Asunder",0,2,1,30,10,10,,55,70,,,,,,,,,0,0,0,0,0,,120,0,0,0,,,0,0,"Only the strong can sweep a large weapon so powerful that the blow can leave all those stand at the front asunder.",
50,"Pledge Of Honour",0,3,300,600,10,10,,68,0,,,,,,,,,0,0,0,20,0,,,0,0,0,,,0,0,,
51,"Silencing Glare",0,1,50,500,10,10,,25,20,,,,,,,,,0,0,0,0,0,,,0,0,0,,,8,0,"The glare so intimidating it leave anyone in sight incapable of even producing coherent speech just from fear. Devastatingly useful against mage units that entirely rely on their chanting.",
52,"Cantabrian Circle",0,1,60,0,11,11,,50,25,,,135,,,,,,0,0,-1,0,0,,,0,0,0,,,0,0,"The maneuver only possible with the mastery of both equitation and archery. To attack even when moving is the pinnacle of warfare. ",
53,"Hold Ground",0,1,30,300,1,10,,58,10,,125,125,,,,,,15,0,0,0,0,,,0,0,0,,,0,0,"""Hold your ground men! No enemy will pass through this place as long as we are here.""  ",
54,"Pikewall",0,1,30,0,"0,1,3","0,1,3",,45,20,,,,,,,,,80,0,-0.5,0,0,,,0,0,0,,,0,0,"The deadly charge of cavalry was the domination tactic in battlefield until the invention of pikewall tactic. By simply having infantry squads holding pikes in line, an impregnable wall is created, ",
55,"Hidden Pike",0,1,30,5,2,0,,60,10,,,,,,,,,60,0,-0.7,0,0,,,0,40,0,,,0,0,"A nasty surprise. Who can expect complete death trap in their charge to glory? Only fool fight a fair fight.",
56,"Overdrive",0,1,60,900,10,10,,40,0,120,120,120,120,120,,120,120,20,0,0.5,0,20,,,0,0,0,,,0,0,,
57,"Death Volunteer",0,1,300,600,10,10,,70,0,150,150,,,,,,150,0,-100,,0,0,,150,0,0,0,,,0,0,"Volunteer to die is an act that surpass natural instinct. To excess oneself to death for victory is either madness or complete devotion.",
58,"Warcry",0,3,1,60,10,10,,38,30,,,,,,,,,0,0,0,0,0,,,0,0,0,,6,0,0,,
59,"Deathshriek",0,3,1,60,10,10,,26,50,,,,,,,,,0,0,0,0,0,,,0,0,0,,8,0,,"The voice of death instills terror no sight can ever achieve.",
60,"Abyssal Hatred",0,3,15,,10,10,,40,,,,,,,,,,0,0,,0,0,,,0,0,0,,,0,0,"Next melee attack deal damage +1% per number of squad troop killed",
61,"Second Wind",0,1,30,120,"0,1,2,3,4,5,6,7,8,9,10,11","0,1,2,3,4,5,6,7,8,9,10,11",,60,0,,,,,,,,,0,0,1,10,0,,,0,0,0,,,0,0,,
62,"Bloodlust",0,1,30,0,,,,50,2,,,,,,,,,0,0,,0,0,,,0,0,0,,,0,0,"All stat +10%, stamina +10% for every enemy squad destroyed",
63,"Critical Measure",0,1,10,100,10,10,,60,,125,125,125,125,125,,125,125,25,0,-5,0,40,,,0,0,2,,,0,0,"Critical measure must be taken for this crisis or we will not survive. ",
64,"Camaraderie",0,1,30,0,,,,70,1,,,,,,,,,0,0,,0,0,,,0,0,0,,,0,0,,
65,"Cripple Strike",0,1,1,15,10,10,,40,15,,,,,,,,,0,0,0,0,0,,,0,0,0,,,34,0,"Why kill when you can cripple the enemy and make them suffer for all to see. ",
66,"Random Throwing",1,1,30,10,11,11,,20,5,,,,,,,,,0,0,-0.5,0,0,,30,0,0,0,,,0,0,"Sacrificing accuracy for speed can be beneficial if the situation does not permit taking time to aim.",
67,"Joy Of The Barbarian",0,2,1,30,10,10,,10,90,,,,,,,,,0,0,,0,0,,,0,0,0,,4,0,0,"Pillage and destroy is the joy of savage. And it is the best feeling ever.",
68,"Sand Pocket",0,1,1,20,10,10,,30,20,,,,,,,,,0,0,0,0,0,,10,0,0,0,,,7,0,"Throwing sand to the eyes is a trick as old as humanity itself.",
69,"Terror Strike",0,1,1,30,10,10,,50,70,,,,,,,,,0,0,0,0,0,,,0,0,0,,,8,0,"Terror comes in all form. Physical appearance is often the key. Even more so if it is impactful.",
70,"Martrydom ",0,1,120,1000,10,10,,64,,125,10,10,130,0,,0,200,-100,0,,200,50,,,0,0,0,,,0,0,,
71,"Proud Force",0,1,,,10,10,,80,,,,,,,,,,0,0,,0,0,,,0,0,0,,,,0,,
72,"Petrifying gaze",0,1,,600,10,10,,28,25,,,,,,,,,0,0,,0,0,,,0,0,0,,,35,4,,
73,"Hide In The Shell",0,1,60,300,10,10,,10,10,0,200,200,0,,,,,80,0,0.5,0,0,,,0,0,0,,,0,0,,
74,"Baledarnnian",0,,,,,,,,,,,,,70,,200,,0,0,,0,0,,,0,0,0,,,,,,
75,"Soothing Ritual",0,3,1000,6000,"0,1,2,3,4,5,6,7,8,9,10,11",0,,55,0,,,,,,,,,0,0,0,15,0,,,0,0,0,,,0,0,,
76,"Sunstrike",0,1,1,120,10,10,,50,60,,,,,,,,,0,0,,0,0,,,0,0,0,,,7,1,,
77,"Whirlwind Strike",0,3,1,240,10,10,,60,100,,,,,,,,,0,0,,0,0,,70,0,0,0,,,0,0,,
78,"Arrow Shower",1,1,30,60,11,11,,55,60,,,,,70,,200,,0,0,-4,0,0,,,0,0,0,,,0,0,,
79,"Poison Arrow",1,1,40,100,11,11,,40,0,,,,,,,,,0,0,0,0,0,,,0,0,0,,,0,6,"The greatest tool of cowardice. Unleash hell to the enemy from safety and see them suffer.",
80,"Heavy Arrow",1,1,40,60,11,11,,40,0,,,,,80,,,,0,0,0,0,0,,,0,0,0,,,0,0,"Arrow specifically made to pierce heavy armour. Less ideal for other use due to its heavy weight.",
81,"Inferno Trail Arrow",1,3,20,100,11,11,,50,0,,,,,,,,,0,0,0,0,0,,,0,0,0,,,0,1,,
82,"Fire Arrow",1,1,30,60,11,11,,40,0,,,,,,,,,0,0,0,0,0,,70,0,0,0,,,0,1,"Fire arrow is often used to ignite a structure, ship or siege machine. It is also used to inflict damage to enemy morale. ",
83,"Whistle Arrow",1,3,10,100,11,11,,40,0,,,,,,,,,0,0,0,0,0,,10,0,0,0,,,32,0,"Whistle arrow by itself does little to no physical damage. The sound though does have a superstitious belief attach to it.",
84,"Curse Arrow",1,1,20,100,11,11,,40,0,,,,,,,,,0,0,0,0,0,,,0,0,0,,,19,0,,
85,"Smoke Arrow",1,3,10,100,11,11,,40,0,,,,,,,,,0,0,0,0,0,,10,0,0,0,,,62,0,,
86,"Magic Arrow",1,1,30,100,11,11,,60,0,,,,,,,,,0,0,0,0,0,,150,0,0,0,,,0,5,,
87,"Fireblast Arrow",1,3,30,100,11,11,,50,0,,,,,,,,,0,0,0,0,0,,50,0,0,0,,,0,1,"Exploding arrow is nothing short of innovative engineering between the new and the old.",
88,"Unwavering Resolve",0,1,30,120,10,10,,55,0,,,,,,,,,0,0,,80,0,,,0,0,0,,,0,0,,
89,"Heroic Resolve",0,1,45,120,10,10,,75,0,,,,,,,,,0,0,,150,0,,,0,0,0,,,0,0,,
90,"Sacrifical Strike",0,1,5,60,10,10,,61,50,130,0,0,,,,,,0,0,,0,0,,150,0,0,0,,,0,0,,
91,"Stalwart Defense",0,1,60,90,10,10,,60,20,,130,130,,,,,,10,0,-1,0,0,,,0,0,0,,,0,0,,
92,"Sudden Fortitude",0,1,1,180,10,10,,70,0,,,,,,,,,0,0,50,0,0,,0,0,0,0,,,0,0,,
93,"Indestructible",0,1,50,100,10,10,,40,30,,170,170,,,,,,30,0,0,200,0,,,0,0,0,,,0,0,"Why attack something that cannot be destroyed?",
94,"Iron Wall",0,1,100,130,10,10,,50,30,,150,150,,,,,,40,0,-1,0,0,,,0,0,0,,,0,0,"None shall pass!",
95,"Focus Strike",0,1,1,30,10,10,,75,10,200,,,,,,,,0,0,0,0,0,,,0,0,0,,,0,0,"Focus and steady!",
96,"Absolute Devotion",0,1,150,600,,,,70,0,,,,,,,,,0,0,,100,20,,,0,0,0,,,0,0,"God rewards only those that give absolute devotion to him.",
97,"Provoke",0,2,30,30,10,10,,50,10,,,,,,,,,0,0,0,0,0,,,0,0,0,,,89,0,"""Hey over here! Come and get me."" *all kind of rude gesture*",
98,"Double Slash",0,1,1,60,10,10,,50,50,,,,,,,,,0,0,0,0,0,,200,0,0,0,,,0,0,"Twice the slash, double the damage!",
99,"Triple Slash",0,1,1,60,10,10,,60,70,,,,,,,,,0,0,0,0,0,,300,0,0,0,,,0,0,"Thrice the damage, triple the prize!",
100,"Great Sweep",0,3,1,60,10,10,,60,95,,,,,,,,,0,0,0,0,0,,115,0,0,0,,,0,0,"“One great circle and the bodies will fall. No life shall be forgiven under the dying muttering.” Gasiernse Poem of Blade.",
101,"Pinpoint Shot",1,1,30,60,11,11,,70,45,,,,,200,,,,0,0,-1,0,0,,,0,0,0,,,0,0,,
102,"Flying",0,1,,30,"0,1,2,3,4,5,6,7,8,9,10,11","1,2,3,4,5,6,7,8,9,10",,70,30,,,,,,,,,0,0,-1,0,0,,,0,0,39,,,0,0,"Flying squad does not suffer terrain and height penalty while also can only be damaged by melee attack when the squad itself attacking.",
103,"Floating",0,1,,30,"0,1,2,3,4,5,6,7,8,9,10,11","1,2,3,4,5,6,7,8,9,10",,,,,,,,,,,,0,0,-1,0,0,,,0,0,40,,,0,0,"Floating squad does not suffer terrain penalty but still receive height penalty. Moreover, the squad also receive melee defense bonus against squad with no Anti-Cavalry and Anti-Flying.",
104,"Combine Determination",0,3,1,100,,,,80,30,130,130,130,130,130,,130,130,30,0,,130,50,,200,0,0,0,,,,0,,
105,"Clear Mind",0,1,10,60,,,,70,10,110,110,110,110,110,,110,110,10,0,,110,0,,,0,0,50,,,0,0,,
106,"The Great Banner",0,4,1200,1200,,,,40,15,105,105,105,105,105,,105,105,5,0,0,110,5,,,0,0,0,,,,0,,
107,"Hammer Of Faith",0,1,1,60,10,10,,60,40,,,,,,,,,0,0,0,0,0,,200,0,0,3,,6,,0,,
108,"Blade Dance",0,2,10,60,10,10,,75,88,,,,,,,,,0,0,,0,0,,40,0,0,0,,,,0,"The dance of death never end. A man and his sword never part until the stage turn red from the audiences’ gore.",
109,"Desperate Struggle",0,1,,,10,10,,20,0,130,130,130,130,130,,130,130,30,0,-1,-30,-10,,,0,0,0,,,,0,,
110,"Payday Imminent",0,1,90,300,,,,50,15,125,,,150,,,,,0,0,,15,0,,,0,0,0,,,,0,,
111,"Finest Hour",0,1,60,6000,,3,,70,30,150,150,150,150,150,,150,150,50,0,,150,100,,,0,0,0,,,,0,,
112,"Final Strike",0,1,5,6000,10,10,,65,100,,,,,,,,,0,0,,0,0,,200,0,0,0,,,,0,"Final breath in this world, one final farewell to the beloved enemy so we may meet together in the afterlife.",
113,"All Out Assault",0,1,20,300,10,10,,60,35,130,80,80,140,,,,130,-50,0,,0,0,,,0,0,0,,,,0,,
114,"Poison Attack",0,2,1,60,10,10,,50,20,,,,,,,,,0,0,,0,0,,,0,0,0,,,26,6,"Poison at the tip of a blade never fail to disappoint. Especially for those who receive it.",
115,"Delrmerh Festival",0,3,20,,10,10,,80,,,,,,,,,,0,0,,150,0,,,0,0,3,,,2,0,,
116,"Fullmoon Strike",0,3,1,,10,10,,60,,,,,,,,,,0,0,,175,0,,,0,0,0,,,,0,,
117,"Halfmoon Slit",0,2,1,,10,10,,70,,,,,,,,,,0,0,,150,0,,,0,0,0,,,,0,,
118,"Crescentmoon Pierce",0,1,1,,10,10,,80,,,,,,,,,,0,0,,150,0,,,0,0,0,,,,0,,
119,"Darkmoon Ritual",0,1,1,,10,10,,90,,,,,,,,,,0,0,,200,0,,,0,0,0,,,,0,,
120,"Crushing Leap",0,1,1,120,10,10,,60,80,,,,,,,,,0,0,0,0,0,,120,0,0,0,,,23,0,,
121,"Final Showdown",0,1,120,10000,10,10,,50,0,160,160,160,160,160,,160,160,60,0,-10,160,50,,,0,0,0,,,,0,,
122,"Unto Demise",0,,,,,,,,20,,,,,,,,,0,0,,0,0,,,0,0,0,,,,0,,
123,"Stun Strike",0,1,1,60,10,10,,50,50,,,,,,,,,0,0,0,0,0,,60,0,0,0,,,23,0,,
124,"Purge The Infidels",0,1,,,,,,80,20,,,,,,,,,0,0,,0,0,,,0,0,0,,,,0,"The villains of the peace must be purged. For the true peace only existed in our lordâ€™s guidance.",
125,"Corrupted Mist",0,3,,,,,,30,40,,,,,,,,,0,0,,0,0,,0,0,0,0,,,,6,,
126,"Grasp The Opportunity",0,,15,60,,,,50,,,,,,,,,,0,0,,0,0,,,0,0,0,,,,0,,
127,"Blood Demand",0,,,,,,,75,,,,,,,,,,0,0,,0,0,,,0,0,0,,,,0,"Demand to be made. Or this tribunal will never end.",
128,"Valiant Struggle",0,1,,,,,,80,,,,,,,,,,0,0,,0,0,,,0,0,0,,,,0,,
129,"Ground Shake",0,3,5,600,10,10,,40,80,,,,,,,,,0,0,0,0,0,,20,0,0,0,,,23,0,,
130,"Spike Burst",0,1,2,120,,,,45,55,,,,,,,,,0,0,,0,0,,150,0,0,0,,,23,4,,
131,"Deathblow",0,1,3,6000,10,10,,,70,,,,,,,,,0,0,0,,,,250,,,,,,,0,"This squad can muster its last strength to deals final blow before it die. Death in melee combat will cause damage to attacker.",
132,"Berserk",0,1,1,300,,,,30,20,,,,,,,,,0,0,0,,,,,,,12,,,,0,,
133,"Eight Gates Of Heaven",0,1,,6000,10,10,,100,30,,,,,,,,,0,0,-1,,,,,,,74,,,,,,
134,"Requiem",0,2,90,,,,,75,15,,,,,,,,,0,0,,,,,0,,,,,,,0,,
135,"Nature Awakening",0,1,,,,,,,10,135,135,135,135,135,135,135,135,35,1,,20,,,,,,86,,,,0,,
136,"Faithful Fury",0,1,,,,,,,55,140,,,130,,,,,0,0,,50,,,,,,50,,,,0,"Friendly to the followers. Faithful to the cause. Fury to the offenders. ",
137,"Armour Shatters",0,1,,,10,10,,,,,,,,,,,,0,0,,,,,150,,,,,,,0,"Armour is completely useless before this strike. Even worse, any squad that survive against this squad attack will receive armour shatter status.",
138,"Cheer To Death",0,1,3,,10,10,,70,85,,,,,,,,,0,0,,50,,,300,,,,,,,0,,
139,"Battle Rhythm",0,,30,,10,10,,65,,120,120,,,,,,,0,0,-1,,,,,,,,,,,0,,
140,"Heroic Counter",0,1,,,,,,75,60,,,,,,,,,15,0,,,,,,,,,,,,0,"Deal 20% of melee attack damage back to enemy when receive melee damage",
141,"Cursed Song",0,3,,,,,,10,20,,,,,,,,,0,0,,,,,0,,,,,,19,0,,
142,"By Beard And Hammer!",0,,100,,10,10,,35,,120,120,120,120,,,,120,20,,,30,10,,,,,,,,,0,,
143,"Rushing Engagement",0,,,,10,10,,40,,115,20,20,140,,,,,-30,,,50,20,,130,,,,,,,0,,
144,"Final Drive",0,1,10,6000,10,10,,60,10,150,150,150,150,,,,150,0,,,100,,,,,,,,,,0,"Only few are prepared to meet their end. Even fewer dare to confront it.",
145,"Primal Carnage",0,1,20,,10,10,,10,30,135,30,30,150,,,150,120,-50,,,100,-20,,,,,,,,,0,,
146,"Great Hunt Of The Sentinels",0,,300,,,,,60,25,110,,,120,140,,,,0,,,30,,,,,,,,,,0,,
147,"Bloody Onslaught",0,,10,,10,10,,40,30,160,80,80,135,,,,,0,,,,,,,,,,,1,,0,,
148,"Crack The Whip",0,3,30,,,,,10,5,,,,,,,,,0,,,,,,,,,68,,,,0,"Work for your master, slave! Nothing make slave work harder than the sound of whiplash.",
149,"Silver Arrow",1,1,20,60,11,11,,50,0,,,,,,,,,0,,,,,,,,,,,,,5,"Next range attack deals 100% and +100% damage to spirit, evil and demon squads",
150,"Rampage",0,1,5,,10,10,,20,50,120,,,125,,,,,0,,,,,,,,,,,,5,0,,
151,"Overpower",0,,10,,10,10,,60,40,300,,,,,,,,0,,,,,,,,,,,,,0,,
152,"Overwhelm",0,,10,,10,10,,60,40,130,,,,,,,,0,,,,,,130,,,,,,"5,46",0,,
153,"Flashy Display",0,3,25,,,,,70,5,,,,,,,,,0,0,,15,,,,,,,,-1,,0,,
154,"Spellbind",0,1,30,,,,,65,10,,,,,,,,,0,,,,,,,,,,,,"8,69",5,,
155,"Callback Companion",0,1,1,,,,,40,0,,,,,,,,,0,,,,,,,,,,,,,0,,
156,"Unleash Companion",0,1,,,,,,40,0,,,,,,,,,70,,,,,,,,,,,,70,0,,
157,"Clear Insight",0,1,60,,,,,70,0,,,,,110,,,,20,,,15,10,,,,,50,,,,0,,
158,"Blood For Blood",0,,200,,,,,35,25,200,0,0,,,,,150,0,,,,,,,,,,,,,0,,
159,"Shield Breaking",0,,1,,10,10,,,35,,,,,,,,,0,,,,,,,,,,,,,0,,
160,"Reconnaissance",0,,100,,,,,50,20,,,,,,,,,10,,,,,,,125,,,,,,0,,
161,"Battle Prayer",0,1,200,,,,,65,5,105,105,105,105,105,105,105,,0,,,10,5,,,,,,,,,0,,
162,"Disrupting Song",0,,1000,,,,,,15,,,,,,,,,0,,,,,,,,,,,,5,0,,
163,"Exact Justice",0,,1,,,,,,,,,,,,,,,0,,,,,200,200,,,,,,,0,,
164,"Collect Corpse",0,1,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,0,"Good flesh and bone never should go to waste.",
165,"Unlife",0,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,71,,,
166,"Devour Corpse",0,,,,,,,,,,,,,,,,,0,5,,,,,,,,,,,,0,,
167,"Wail Of Death",0,4,20,,,,,,0,,,,,,,,,0,,,,,,,,,,,,72,,"The deaths sing, all life follow.",
168,"Cleaving Strike",0,2,3,,10,10,,30,35,,,,,,,,,0,,,,,0,120,,,,,,,0,,
169,"Mark For Death",0,1,,,,,,50,,,,,,,,,,0,,,,,,,,,,,,58,0,,
