"id","name","class","grade","race","properties","abilities","cost","melee_atk","melee_def","range_def","armour","speed","accuracy","range","ammunition","reload","charge","charge_type","health","stamina","mana","meleeweapon","rangeweapon","morale","discipline","sight","size","troop","type","upkeep","spell","item","description"
23,"Duel Masters",1,5,1,"13,14,24,35","62,95",,70,85,0,"20,5",55,0,0,0,0,67,21,100,130,0,"1,5","0,0",130,70,7,1,10,1,,,,"Very few people can live such a dangerous life long enough to be a master of it. Duel Masters are nothing short of the exceptions of the exceptional. They will never lose to anyone in a direct melee engagement and may even be able to hold out in an outnumbered fight. Obviously, being good in a duel does not make ones immune to damage. A lucky blow or arrow can still kill the master just like any mortal man. "
24,"Poliamascs",1,4,1,"13,24,87","62,95",,74,66,0,"1,3",58,90,8,2,3,55,21,100,125,0,"1,4",,115,55,5,1,10,1,,,,
25,"Avolinas's Hammers",10,8,1,"13,70","62,107",,75,74,0,"9.4",36,0,0,0,0,75,21,130,130,0,"10,4","0,0",130,70,4,1,15,1,,,,"The Hammers of Avolinas can not be stopped by force alone. With faith in mind and strength in hand, They carry on the final will of Avolinas, God of Dark Sun, to eliminate any impure being that will consume the world whole if left unconstrained. Their proficiency in martial arts allow them to engage in melee combat and come out victorious in almost every condition and foes, Don't put them in the same battalion as unit from other races though since their teaching also make them consider other races less pure than they are to promote group unity. "
26,"Tribal Warriors",1,0,1,"0",0,,40,20,0,"19,3",39,0,0,0,0,40,21,100,100,0,"1,2","0,0",95,20,6,1,200,1,,,,"The tribal people are no strangers to warfare. A minor conflict between neighbour tribes is not so different from a war between the two countries.  Wearing little to no armour and wielding primitive weapon due to the lack of technology and means of production, Tribal Warriors exercise their martial ability to the fullest to ensure their tribe's survival. "
27,"Desert Warriors",1,0,1,"0",0,,40,20,0,"28,3",39,0,0,0,0,40,21,100,100,0,"1,2","0,0",95,20,6,1,200,1,,,,"Desert is not a place the weak can survive. Only the strongest live on in this harsh sea of sand. Even more so for a small tribal community securing a precious oasis or fertile land near the river. Desert Warriors are a necessity that ensures not only the dominance but also the very survival of their family. As they are lightly armed and disorganised compare to other professional troops, they are unfit for organised warfare."
28,"Islandic Warriors",1,0,1,"191",0,,45,15,0,"0,0",42,0,0,0,0,40,21,100,100,0,"1,2","0,0",95,20,7,1,150,1,,,,
29,"Gamanja Warriors",1,1,1,"56,191",,,40,30,0,"20,1",54,0,0,0,0,55,4,110,100,0,"1,2","0,0",110,10,6,1,140,1,,,,"The people of Gamanja is one of the fiercest warriors you can find in any continent. Sailing across the Sunset sea with their serpent ship since the dawn of time, many shoreline villages and cities were raided by them indiscriminately. From Agintoarze to Utokuzs, Gamanja Warriors are a fearsome force and served as a cautionary tale the elder use to scare their children. "
30,"Kumarl Milgels",1,1,1,"47,200","58",,55,0,0,"3,3",48,0,0,0,0,62,21,100,115,0,"1,2","0,0",110,35,4,1,120,1,,,,
31,"Bigejta Tamuloa",1,0,1,,,,34,37,15,"22",46,0,0,0,0,70,21,100,105,0,"1,2","0,0",120,10,5,1,100,1,,,,
32,"Foot Knights",1,2,1,"0","36",,50,50,51,"7,3",22,0,0,0,0,36,21,100,100,0,"1,3","0,0",100,45,2,1,50,1,,,,"The ultimate infantry until the modernisation of weaponry, foot knights wear heavy plate armours that can withstand almost every medieval weapons in existence. In combat ground, foot knights stand so above most other infantries that the only way to win melee combat against them is to field foot knights of your own. Foot knights are not without weakness however, for example, it is extremely difficult to amass them in a huge number due to the extensive training requirement and huge cost for the armour."
33,"Golden Knights",1,4,1,,"36",,62,71,61,"24,3",23,0,0,0,0,32,21,100,120,0,"1,4","0,0",120,65,2,1,30,1,,,,"What metal can ever be more glorious and beautiful than gold? While not purely made of gold, Golden Knights' armours are made from the finest steel and plated with a layer of gold. Only the most distinguishable knights in the realm can earn the honour of joining the Golden Knight Rank. Just from their presence alone, they can exert a change in both allies and enemies' mind alike. Their combat capability also ensures that they are really the elite of the elites so best overwhelm them with a superior number since very few can match them one-on-one. "
34,"King's Companions",1,5,1,,"40,53",,60,50,50,"7,3",21,0,0,0,0,35,21,100,120,0,"1,4","0,0",130,65,2,1,30,1,,,,"Every leader in the battlefield needs a group of elite bodyguards to protect him in case of combat. This is even more so for the sovereign of a nation. King's Companions is a group of exceptionally selected warriors that swear an oath to protect the crown and its wearer with their lives. They themselves are heavily armed and possess a strong defensive ability. When picking a bodyguard unit for your commander consider this unit as one of the solid choices for infantry orient battalion. "
35,"Flower Protectors",1,2,1,"115","40,94",,53,68,42,"25,4",30,0,0,0,0,40,8,100,100,0,"1,3","0,0",110,75,2,1,70,1,,,,
36,"Pelmessos Sik Arlmerdans",1,6,1,"111","36,92",,66,43,34,"74",34,0,0,0,0,50,3,115,130,0,"1,5","0,0",135,55,,1,40,1,,,,
37,"Planeltas Champions",1,5,1,"35,43","36,104",,61,60,71,"7,4",15,0,0,0,0,45,21,110,120,0,"1,5","0,0",120,70,,1,10,1,,,,
38,"Heavy Swordsmen",1,1,1,"0","36",,45,45,25,"4,3",24,0,0,0,0,26,8,100,100,0,"1,3","0,0",100,35,4,1,150,1,,,,"Heavy Swordsmen, similar to its counterpart, Swordsmen, are the basic frontline units of many armies. With better-equipped armours such as chain mail to resist enemies' weapons and decent melee combat capability, they can hold up at the frontline for long enough for other units to perform flanking manoeuvre on the enemies. However, with less troop number, higher cost, and significantly slower speed than other lighter units, Heavy Swordsmen not the best choice for the purely offensive situations."
39,"Desert Heavy Swordsmen",1,1,1,0,"36",,45,45,25,"10,3",36,0,0,0,0,30,8,100,100,0,"1,3","0,0",100,35,5,1,150,1,,,,"lamellar armour"
40,"Legionaries",1,2,1,0,37,,40,55,35,"17,4",18,0,0,0,0,20,21,100,100,0,"1,3","0,0",100,55,4,1,150,1,,,,
41,"Cramiel Sulamans",1,5,1,"40,93","36",,72,76,60,"6,5",28,0,0,0,0,34,21,100,120,0,"1,4","0,0",130,80,5,1,50,1,,,,
42,"Spearmen",5,1,1,"22","33",,40,25,0,"1,3",38,0,0,0,0,44,21,100,100,0,"5,3","0,0",100,35,5,1,200,1,,,,"Spearmen are the foundation of most armies since ancient time. Using the oldest hunting tool for war, spearmen dominate the battlefield for thousands of year. Spear is very easy to train and use as its main attack is simply thrusting the pointy tip at the enemy. It also has the advantage of being long for a melee weapon, which makes it a better choice against charging enemy. The only weaknesses are that spearmen do not have a shield and are less effective in melee combat than other melee weapons."
43,"Spearmasters",5,5,1,"22,34","34,43,49",,76,64,25,"1,5",50,0,0,0,0,88,21,120,130,0,"5,5","0,0",125,85,7,1,10,1,,,,"Who can say the easiest weapon has no need to be mastered? These Spear Masters practice with their spears for decades and completely eliminate any weakness spear normally has. They can fight against both infantry and cavalry units alike without fear of losing, unlike other weapon masters. More than offense, Spear Masters excel in defence against charge attack and can hold their place much longer than other spear units despite low number. They are still venerable to range attack though."
44,"Desert Spearmen",5,1,1,"22,82","33",,40,25,0,"26,3",44,0,0,0,0,39,21,100,100,0,"5,3","0,0",100,35,5,1,200,1,,,,
45,"Gionirlamals",5,2,1,"12,22","33",,,,,,,0,0,0,0,,,,,,"5,3","0,0",,45,,1,100,1,,,,
46,"Mirage Spearwarriors",5,1,1,"22,131","33",,,,,"14,4",,0,0,0,0,,,,,,"5,4","0,0",,45,,1,100,1,,,,
47,"Pikemen",15,1,1,"22","54",,55,6,0,"1,3",16,0,0,0,0,34,17,100,100,0,"15,3","0,0",100,40,,1,200,1,,,,"Pike is the obvious answer to the dominance of shock cavalry. They can't hurt us if they can't even reach us without dying first right? A pike wall can completely halt and even annihilate any unit that dares to charge at their front. Do consider that Pikemen cannot form a pike wall formation while running around, this makes them somewhat a poor offensive unit. Moreover, they are completely vulnerable to the range and rear attack even more than other melee infantry units."
48,"Highland Pikemen",15,1,1,22192,"54",,55,10,0,"3,3",20,0,0,0,0,36,17,100,110,0,"15,3","0,0",110,25,,1,150,1,,,,
49,"Mresna Phalanxes",15,2,1,"22,32","54",,65,29,5,"11,3",10,0,0,0,0,50,17,100,100,0,"15,3","0,0",100,60,,1,150,1,,,,
50,"Dilkmerg Warriors",15,0,1,"22,58","54",,50,0,0,"26,3",30,0,0,0,0,45,21,100,120,0,"15,3","0,0",120,30,,1,100,1,,,,
51,"High Hill Guards",15,2,1,"22,115,192","54",,60,22,0,"3,4",10,0,0,0,0,30,17,100,110,0,"15,3","0,0",125,70,,1,150,1,,,,
52,"Heavy Spearmen",5,1,1,"22","33",,40,30,0,"4,3",33,0,0,0,0,29,21,,,,"5,3","0,0",100,40,,1,150,1,,,,"As Spearmen usually have trouble holding a shield, the best way for them to survive combat is to wear good armour. Heavy Spearmen somewhat eliminate the main weakness of spear weapon by allowing them to take more punishment from both melee and range hits. Nevertheless, they still are not that great in the long-term combat against other melee infantry units. So only consider employing them if the enemy employs a large number of shock troop or cavalry units."
53,"Desert Heavy Spearmen",5,1,1,"22","33",,40,,,"10,3",,,,,,,,,,,"5,3","0,0",,40,,1,150,1,,,,
54,"Nakta Singmorns",5,4,1,"22,49","33,111",,,,,,,,,,,,,,,,,,,50,,1,,1,,,,
55,"Garssia Doroses",5,2,1,"11,22","33",,,,,,,,,,,,,,,,,,,35,,1,,1,,,,
56,"Heavy Pikemen",15,1,1,"22","54",,,,,,,,,,,,,,,,,,100,45,,1,150,1,,,,"With the lack of defensive capability of a pike, the only way pikemen can avoid any damage is to wear armour. Heavy Pikemen is the obvious solution to the problem. Now with better combat effectiveness in melee combat and resistance against arrows, Heavy Pikemen are proven to be superior defensive frontline units. "
57,"Highguards",15,1,1,"22,81,103,115","54",,,,,,,,,,,,,,,,,,,60,,1,100,1,,,,
58,"Meryl Winneels",15,2,1,"22","54",,,,,,,,,,,,,,,,,,,55,,1,100,1,,,,
59,"Estriaerl Minarars",15,2,1,"12,22","54",,,,,,,,,,,,,,,,,,,70,,1,100,1,,,,
60,"Shield Bearers",1,1,1,,"40",,24,70,80,"9,3",22,0,0,0,0,10,20,100,100,,,,110,63,,1,30,1,,,,"It may be strange for one to not carry a weapon in warfare but only shield to protect the others, Shieldbearers are still one of the best units for defensive purpose. With a massive shield, they can block enemies' missile attacks with ease, which allows them to become an ultimate meatshield for other units. They are incapable of dealing any serious damage to the enemy in melee combat though, so do not expect them to win any major engagement by themselves."
61,"Lord's Shields",1,3,1,"45","39,53",,32,77,80,"4,4",19,0,0,0,0,14,20,100,115,,,,,71,,1,20,1,,,,
62,"Protectors of Alardell",1,2,1,"45,58","38",,27,86,85,"25,5",15,0,0,0,0,23,20,,,,,,,75,,1,15,1,,,,"The Tower of Alardell holds the secret to military mastery that any competent warlord dreams of getting hold of. After many invasions throughout its history, Protectors of Alardell never once lost to the invaders even against an adversary with an overwhelming number. Such knowledge may best be left unknown after all when even an army could not pass through the first gate. Who knows what terror lies beyond. "
63,"Greatwall Defenders",1,2,1,"45","40",,30,80,80,"6,3",20,0,0,0,0,22,20,,,,,,,80,,1,40,1,,,,
64,"Knowledge Protectors",1,4,1,"35,45","39",,20,90,90,"5,4",10,0,0,0,0,8,20,,,,,,,80,,1,10,1,,,,
65,"Macemen",7,1,1,"0","36",,41,48,15,"1,3",32,0,0,0,0,45,21,100,100,0,"7,3","0,0",100,35,,1,200,1,,,,"Macemen are not a common sight in the battlefield until the invent of heavy plate armour. Equipped with either Winged Maces or Morning Stars, Macemen are best suited against heavy infantry units due to its high armour penetration. Aside from this superb advantage, they are still no less effective than other melee infantry units, which makes them a strong choice in most situations."
66,"Macemasters",7,5,1,"34,35",,,65,65,25,"1,5",42,0,0,0,0,70,21,120,,0,"7,5","0,0",130,85,,1,10,1,,,,"Even a brute weapon such as mace can be used elegantly. Macemasters are the banes of all knights on the battlefield with their crushing and precise blows that no armour can resist. If only they exist in large number, the vile existence of heavy knight would be obsolete as soon as it got invented and existed only as an inconsequential point in the history of warfare."
67,"Desert Macemen",7,1,1,"82","36",,41,50,15,"26,3",48,0,0,0,0,50,21,100,,0,"7,3","0,0",100,35,,1,200,1,,,,"Mace is not often seen in desert warfare due to the lack of heavy armour in this hellish heat. Only until the arrival of the western knights and their plate armours that mace becomes a necessity in the battle for the sea of sand. Still wearing desert cloths similar to Desert Swordmen, Desert Macemen are the expected adaptation to the invasion of new foes while still retain the advantage of terrain and climate for desert dwellers."
68,"Sarnghadis",7,2,1,"23",,,,,,,,0,0,0,0,,,,,0,"7,3","0,0",115,45,,1,100,1,,,,
69,"Lutang Facebashers",7,4,1,"56",,,,,,,,0,0,0,0,,,,,0,"7,4","0,0",120,15,,1,120,1,,,,
70,"Billmen",14,1,1,"22","34",,49,25,0,"1,3",20,0,0,0,0,22,21,100,100,,"14,3","0,0",100,35,5,1,100,1,,,,"Bill or Billhook is a polearm weapon originated from a cutting tool of the same name. Although also existed in a smaller form, Pole Bill was a popular weapon in the European middle age that share similar purpose as halberd and other glaive type weapons. Effective for both long-range piercing and slashing manoeuvres, while being lightweight makes Billhook much more flexible and easier to adapt than other polearms. As a result, Billmen is positively versatile polearm unit that exudes almost no apparent weakness."
71,"Masendor Guards",14,1,1,"22","34",,52,25,0,"1,3",18,0,0,0,0,20,21,100,110,,"14,3","0,0",100,40,4,1,150,1,,,,
72,"Bournliedels",14,10,1,"22","34",,53,20,0,"2,4",26,0,0,0,0,35,21,100,100,,"14,3","0,0",130,40,5,1,200,1,,,,
73,"Axemen",12,1,1,,"36",,49,28,15,"1,3",39,0,0,0,0,47,21,100,100,,"12,3","0,0",100,35,,1,200,1,,,,"Axe is one of the very first cutting tools that existed since the stone age. Simple to create and use, yet capable of producing powerful blow from it monstrous momentum. Axemen is no surprise a common sight in armies throughout history and the world. Fortunately, their amazing offensive performance does outshine their slightly poorer defence, which means that they can be employed for both offensive and defensive purposes."
74,"Shield Breakers",12,2,1,,,,60,30,15,"2,3",55,0,0,0,0,70,21,100,,,"12,3","0,0",110,50,,1,150,1,,,,
75,"Axemasters",12,5,1,"123","36",,75,50,20,"1,5",58,0,0,0,0,80,,120,,,"12,5","0,0",125,85,,1,10,1,,,,"Although considered to a less romantic weapon than a sword and even less than a mace, axe still has its appeal (mostly in brute strength) enough for people to practice it until achieving complete mastery. Who need other weapons in hands when an axe cleave through anyone standing discriminately. With the combination of preciseness and pure brute force, Axemasters truly have no equal. Well except for a charging heavy cavalry unit perhaps. "
76,"Delpiborhs",12,1,1,,,,60,60,35,"9,3",40,0,0,0,0,,21,,,,"12,3","0,0",100,55,,1,150,1,,,,
77,"Bodibars",12,2,1,,,,,,,,,,,,,67,,,,,"12,3","0,0",,50,,1,150,1,,,,
78,"Kunbann Woodbreakers",12,10,1,"56,149",,,70,19,0,"22",60,0,0,0,0,75,1,,,,"12,4","0,0",100,25,,1,100,1,,,,
79,"Cultists",3,7,1,3,,,54,10,0,"15,3",65,0,0,0,0,55,21,100,95,0,"3,3",,105,65,4,1,100,1,,,,"There is nothing worse than facing a group of cultists in battle. They keep chanting incomprehensible words and keep fighting without fear of dying. Whatever dark god they worship, it is for certain that they are up to no good. Good news is they usually wear robes or light armours at best so they are easy targets for range attack, which means we can kill them without having to hear their annoying chant too! It is almost like killing two birds with one stone."
80,"Zealots",3,8,1,"298",,,60,10,0,"15,4",80,0,0,0,0,75,1,100,110,13,"3,3",,115,80,4,1,50,1,,,,"Well, this is even worse than Cultists, these zealots are so far gone that there can be no reasoning with them. Whatever fault heresy they believe, it is true in their hearts and they are more than willing to sacrifice themselves for it. Well no point talking where there is killing to do. For the words of our lord is the only truth and we should believe in him in our hearts. "
81,"Maiga Jijasses",9,7,1,"58,79,86,298",,,66,15,10,"15,3",80,0,0,0,0,83,,100,105,7,"9,3",,130,80,3,1,50,1,,,,
82,"Nalan Worshippers",3,8,1,"210,212,298","131,158",,58,28,5,"15,4",85,0,0,0,0,80,,100,110,27,"3,3",,125,65,2,1,50,1,,,,
83,"Royal Guards",1,4,1,"115","39",,50,80,40,"70",25,0,0,0,0,21,21,100,100,0,"1,4","0,0",110,60,,1,50,1,,,"Healing Potion,Bandage","Only the best that prove themselves can become Royal Guards. The sovereign requires the finest protection the country can offer, as the leader is the country itself after all. Equipped with the highest quality armours and weapons, Royal Guards served as the absolute layer of protection. It will take an overwhelming number or prowess to subdue them."
84,"Palace Guards",14,4,1,"115","39",,65,60,0,"68",20,0,0,0,0,21,21,100,100,0,"14,4","0,0",110,65,,1,50,1,,,,"The place where the rulers reside in always requires the maximum security from both enemy soldiers and assassins. Palace Guards are elite troops equipped with a halberd and heavy armours. Trained to fight in both the narrow corridor and open space, Palace Guards can dispatch any foes efficiently in any situation. They are also no less than any other elite troops on the battlefield."
85,"Jeweled Guards",1,4,1,"115","39",,56,75,34,"75",15,0,0,0,0,30,21,100,110,0,"1,4","0,0",120,75,,1,30,1,,,"Healing Potion,Bandage",
86,"Milingrels",1,5,1,"111,115","38 ,111",,64,91,50,"60",31,0,0,0,0,17,21,100,120,15,"1,4","0,0",125,82,,1,10,1,,"Smoke Screen","Healing Scroll,Healing Potion,Speed Potion","Milingrels are elite knight squads that is assigned to protect royalty at all time from any danger including in battle. They will not break, they will not yield and they will never fail. They are equipped with multiple tools and can use some magic to fulfill those mission. The leader of this unit is bestowed with the title ""Royal Knight""."
87,"Heavy Axemen",12,1,1,,,,,,,,,,,,,,,,,,"12,3",,100,40,,1,150,1,,,,
88,"Marain Suxor Welliors",12,,1,,,,,,,,,,,,,,,,,,,,,50,,1,,1,,,,
89,"Avantafes",12,,1,"12",,,,,,,,,,,,,,,,,,,,65,,1,,1,,,,
90,"Happy Executioners",12,2,1,"56,135",,,,,,,,,,,,,,,,,,,,35,,1,,1,,,,
91,"Heavy Flailmen",9,1,1,,,,53,35,15,"4,3",30,0,0,0,0,35,,,,,,,100,40,,1,150,1,,,,
92,"Milana Dumoigs",9,1,1,,,,,,,,,,,,,,,,,,,,,65,,1,,1,,,,
93,"Ladies Of Sentrors",9,2,1,"53",,,,,,,,,,,,,,,,,,,,75,,1,,1,,,,
94,"Gilbei Niegralks",9,3,1,"54","128",,,,,,,,,,,,,,,,,,,70,,1,,1,,,,
95,"Heavy Billmen",16,1,1,"22","34",,54,27,0,"4,3",13,0,0,0,0,16,,100,100,,,,100,40,,1,100,1,,,,
96,"Appointed Billguards",16,2,1,"22","34",,66,34,0,"5,3",15,0,0,0,0,25,,100,110,,,,110,65,,1,,1,,,,
97,"Flailmen",9,1,1,,"34",,53,30,0,"1,3",35,0,0,0,0,40,,100,100,,,,100,35,,1,200,1,,,,"Flail is simply a mace with its head detached from the handle and connected by a set of chains. But such simplicity in this difference does not equate to its usability. Flail requires much more training to just prevent users from injuring himself before even learn how to kill the enemy with it. Flailmen are much more capable in melee combat than most other units of the same tier."
98,"Flailmasters",9,5,1,"35,103",,,76,60,10,"1,5",45,0,0,0,0,50,,,,,,,,85,,1,10,1,,,,
99,"Martyrs Of War",9,2,1,,,,65,70,0,"16,3",47,0,0,0,0,65,,,,,,,,40,,1,100,1,,,,
