"ID","Name","Troop Type","Range","Area Of Effect","Receiver","Duration","Cooldown","Discipline Requirement","Stamina Cost","Melee Attack Bonus","Melee Defence Bonus","Ranged Defence Bonus","Speed Bonus","Accuracy Bonus","Range Bonus","Melee Speed Bonus","Reload Bonus","Charge Bonus","Charge Defence Bonus","HP Regeneration Bonus","Stamina Regeneration Bonus","Morale Bonus","Discipline Bonus","Critical Bonus","Damage Modifier","Fire Damage Extra","Poison Damage Extra","Sight Bonus","Hidden Bonus","Stamina Damage Bonus","Morale Damage Bonus","Weapon Impact Modifier","Status","Enemy Status","Action","Additional Damage Sprite","Special Effect","Effect Sprite","Sound Effect","Sound Distance","Status Sprite","AI Use Condition","AI Use Restriction","AI Use Restriction","Action Type","Tag"
32,"Rapid Shots",0,,1,0,30,120,35,10,,,,,,,,1,,,,-2,,,,,,,,,,,,,,"BuffSelf",,,,,,"Buff","range",,,"Skill","Buff"
33,"Rapid Defence",0,,1,0,30,120,45,10,,15,,5,,,,,,,,-1,,,,,,,,,,,,,,"BuffSelf",,,,,,"Buff","enemy_near,damaged",,,"Skill","Buff"
34,"Rapid Attack",0,,1,0,30,120,50,10,15,,,5,,,,,,,,-2,,,,,,,,,,,,,,"BuffSelf",,,,,,"Buff","enemy_near",,,"Skill","Buff"
35,"Rapid Advance",0,,1,0,30,120,41,10,,,,15,,,,,,,,-1,,,,,,,,,,,,,,"BuffSelf",,,,,,"Buff","move,retreat",,,"Skill","Buff"
36,"Steady Aims",1,,1,0,60,150,44,10,,,,,20,,,,,,,-1,,,,,,,,,,,,,,"BuffSelf",,,,,,"Buff","range",,,"Skill","Buff"
37,"Steady Shield",1,,1,0,60,90,48,10,,25,25,-10,,,,,,30,,-1,,,,,,,,,,,,,,"BuffSelf",,,,,,"Buff","melee,damaged",,,"Skill","Buff"
38,"Ruthless Pursuit",0,,1,0,80,140,30,15,,,,30,,,,,25,,,,,,,,,,,,,,,,,,,,,,,"Buff",,,,"Skill","Buff"
39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Skill",
40,"Hold Ground",0,,1,0,30,60,58,10,,35,35,-20,,,,,,40,,,,,,,,,,,,,,,,"BuffSelf",,,,,,"Buff","melee,damaged",,,"Skill","Buff"
41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Skill",
42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Skill",
43,"Warcry",0,,100,1,1,40,38,30,,,,,,,,,,,,,,,,,,,,,,6,,,,"Shout",,,"Sound Burst Small (team),Burst_1",,,"Debuff","enemy_near",,,"Skill","Debuff"
44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Skill",
45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Skill",
46,"Second Wind",0,,1,0,30,70,60,0,,,,,,,,,,,,1,10,,,,,,,,,,,,,"BuffSelf",,,,,,"Buff","melee",,,"Skill","Buff"
47,"Random Throwing",0,,1,0,5,15,20,5,,,,,-60,,,2,,,,-0.5,,,,,,,,,,,,,,"BuffGear",,,,,,"Range","range",,,"Range Action","Attack"
48,"Sand Pocket",1,10,1,0,1,15,30,5,,,,,,,,,,,,,,,,,,,,,1,1,,,7,"SandPocket",,,,,,"Debuff","melee",,,"Skill","Debuff"
49,"Arrow Shower",0,,1,0,10,50,55,30,,,,,-30,,,4,,,,,,,,,,,,,,,,,,"BuffGear",,,,,,"Range","range",,,"Range Action","Attack"
50,"Hasten Reload",0,,1,0,10,60,60,10,,,,,-10,,,2,,,,,,,,,,,,,,,,,,"BuffGear",,,,,,"Buff","range",,,"Skill","Buff"
51,"Sniping Shot",0,,1,0,10,60,65,5,,,,,50,,,-2,,,,,,,,,,,,,,,,,,"BuffGear",,,,,,"Range","range",,,"Range Action","Attack"
52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Skill",
53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Skill",
54,"Unwavering Resolve",0,,1,0,30,120,55,0,,,,,,,,,,,,,80,,,,,,,,,,,,,"BuffSelf",,,,,,"Buff","melee",,,"Skill","Buff"
55,"Heroic Resolve",0,,1,0,45,120,75,0,,,,,,,,,,,,,150,,,,,,,,,,,,,"BuffSelf",,,,,,"Buff","melee",,,"Skill","Buff"
56,"Stalwart Defence",0,,1,0,60,90,60,20,,30,30,,,,,,,20,,-1,,,,,,,,,,,,,,"BuffSelf",,,,,,"Buff","melee,damaged",,,"Skill","Buff"
57,"Sudden Fortitude",0,,1,0,10,130,70,0,,,,,,,,,,,,50,,,,,,,,,,,,,,"BuffSelf",,,,,,"Buff","melee",,,"Skill","Buff"
58,"Iron Wall",1,,1,0,80,120,50,15,,50,50,,,,,,,80,,-1,,,,,,,,,,,,,,"BuffSelf",,,,,,"Buff","melee,damaged",,,"Skill","Buff"
59,"Focus Strike",0,,1,0,1,30,75,10,100,,,,,,,,,,,,,,,,,,,,,,0.1,,,"BuffSelf",,,,,,"Melee","melee",,,"Melee Action","Attack"
60,"Absolute Devotion",0,,1,0,150,500,70,0,,,,,,,,,,,,,100,20,,,,,,,,,,,,"BuffSelf",,,,,,"Buff",,,,"Skill","Buff"
61,"Provoke",0,30,60,1,30,60,50,10,,,,,,,,,,,,,,,,,,,,,,,,,89,"Shout",,,,,,"Debuff","enemy_near",,,"Skill","Debuff"
62,"Pinpoint Shot",0,,1,0,1,45,70,20,,,,,100,,,,,,,-1,,,,,,,,,,,0.15,,,"BuffSelf",,,,,,"Range","range",,,"Range Action","Range Action"
63,"Swift Attacks",0,,1,0,4,45,,,-15,,,,,,3,,,,,,,,,,,,,,,,,,,"BuffSelf",,,,,,"Melee","melee",,,"Melee Action","Attack"
64,"Poison Attack",0,,1,0,1,60,50,10,,,,,,,,,,,,,,,,,,10,,,1,2,,,26,"BuffGear",,,,,,"Melee","melee",,,"Melee Action","Attack"
65,"Suppressing Fire",1,,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"BuffSelf",,,,,,"Range","range",,,"Range Action","Attack"
66,"Impact Slam",0,,,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,"Action",,,,,,"Melee","melee",,,"Melee Action","Attack"
67,"Callback Companion",0,,1,,1,,40,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Buff",,,,"Skill","Buff"
68,"Unleash Companion",0,,1,,,,40,0,,,,,,,,,,70,,,,,,,,,,,,,,,70,,,,,,,"Buff",,,,"Skill","Buff"
69,"Battle Prayer",0,,1,0,200,350,65,5,5,5,5,1,5,5,,5,5,5,,,10,5,,,,,,,,,,,,"Bless",,,,,,"Buff","enemy_near",,,"Skill","Buff"
70,"Healing Support",0,,10,0,,,68,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,"Buff",,,,"Skill","Buff"
