"ID","Name","Status Conflict","Max Stack","Duration","Melee Attack Bonus","Melee Defence Bonus","Ranged Defence Bonus","Speed Bonus","Accuracy Bonus","Reload Bonus","Charge Bonus","Charge Defence Bonus","Melee Speed Bonus","HP Regeneration Bonus","Stamina Regeneration Bonus","Morale Bonus","Discipline Bonus","Sight Bonus","Hidden Bonus","Temperature Change","Physical Resistance Bonus","Fire Resistance Bonus","Water Resistance Bonus","Air Resistance Bonus","Heat Resistance Bonus","Cold Resistance Bonus","Poison Resistance Bonus","Special Effect","Status Sprite","Tag"
24,"Whistle Arrow",,1,30,-10,-10,-10,,-10,-10,,-15,,0,0,-15,-15,,,0,,,,,,,,,"Debuff","Debuff"
25,"Drunk",,1,600,,-20,-35,,,,,-25,,0,0,30,-50,,,0,,,,,,,,,"Debuff","Debuff"
26,"Cripple",,5,300,-30,-30,-15,-20,-20,-20,-20,-20,-3,0,0,0,0,,,0,,,,,,,,,"Debuff","Debuff"
27,"Slow",,5,60,,-10,,-25,,-15,-25,0,,0,0,0,0,,,0,,,,,,,,,"Debuff","Debuff"
28,"Knock Down",,1,5,,,,,,,,-60,,0,0,0,-60,,,0,,,,,,,,14,"Debuff","Debuff"
29,"Disarmed",,1,10,,,,,,,,-80,-10,0,0,0,0,,,0,,,,,,,,"4,5","Debuff","Debuff"
30,"Cure",,1,10,,,,,,,,0,,,,,,,,0,,,,,,,,,"Buff","Buff"
31,"Bleeding",,5,60,-5,,,-5,,-5,-5,0,-1,-2,,-5,-5,,,0,,,,,,,,,"Dot","DOT"
32,"Smoke",,1,2,,,,,,,,30,,,,,,,,0,,,,,,,,,"Debuff","Debuff"
33,"Suppressed",,1,15,,,-15,-10,,,,0,,0,0,,,,,0,,,,,,,,,"Debuff","Debuff"
34,"Unleash Companion",,1,,,,,,,,,0,,,,,,,,0,,,,,,,,,"Buff","Buff"
35,"Provoke",,1,25,15,-10,-15,,,,,0,,0,0,,,,,0,,,,,,,,,"Debuff","Debuff"
36,"All Round Defence",,1,5,,,,,,,,0,,,,,,,,0,,,,,,,,,"Buff","Buff"
37,"Severe Burning","21,38,46,47,49",1,10,,,,,,,,0,,-8,0,-50,0,0,0,70,,,,,,,,,"Dot","DOT"
38,"Drench",37,1,60,,,,-3,,,-15,0,,0,0,0,0,0,0,-50,,-50,-75,,35,-40,,,"Debuff","Debuff"
39,"Electrocution",,1,,,,,,,,,,,-3,-5,-20,-30,0,0,0,,,,,,,,,"Debuff","Debuff"
40,"Cold","21,41",1,10,-10,-5,-5,-1,-10,-10,-10,0,-1,0,-1,-10,0,0,0,0,,,,,-15,,,,"Cold","Debuff"
41,"Hot","21,40,42",1,10,-10,-10,-5,-1,-5,-5,-5,0,-1,0,-1,-10,0,0,0,0,,,,,,-15,,,"Hot","Debuff"
42,"Heatstroke","21,40",1,30,-30,-30,-20,-5,-15,-15,-20,-50,-3,-1,-5,-30,-20,0,,0,,,,,,,,,"Debuff","Debuff"
43,"Decimated",,1,60,,,,,,,,0,,0,0,50,40,0,0,0,,,,,,,,,"Buff","Buff"
44,"Enraged",,1,60,15,,,,,-10,20,0,1,0,0,50,-30,0,,0,,,,,-10,,,,"Debuff","Debuff"
45,"Dishonourable Displayed",,1,1200,,,,,,,,,,0,0,-30,-25,0,,0,,,,,,,,,"Debuff","Debuff"
46,"Sink",47,1,2,,,,,,,,0,,-2,-5,-30,-10,0,,0,,,,,,,,,"Debuff","Debuff"
47,"Drown",,1,2,,,,,,,,0,,-5,-10,-50,-30,0,,0,,,,,,,,,"Dot","DOT"
48,"Quicksand Sink",,1,1,,,,,,,,0,,-3,-5,-20,0,0,,0,,,,,,,,,"Dot","DOT"
49,"Swimming","46,47",1,1,,,,,,,,0,,0,0,0,0,0,,0,,,,,,,,,"Debuff","Debuff"
50,"Collapse",,1,120,-50,-50,-50,-50,,,,0,,1,5,0,0,0,20,0,,,,,,,,,"Debuff","Debuff"
51,"Muddy Leg",,1,300,-15,-5,-10,-15,,,-30,-10,,0,0,-15,-20,0,0,0,,,,,,,,,"Debuff","Debuff"
52,"Wet Gunpowder",,1,30,,,,,-25,-70,,,,,,,,,,,,,,,,,,,"Debuff","Debuff"
