"ID","Name","Area Of Effect","Buff Modifier","Melee Attack Bonus","Melee Defence Bonus","Ranged Defence Bonus","Speed Bonus","Accuracy Bonus","Reload Bonus","Charge Bonus","Charge Defence Bonus","HP Regeneration Bonus","Stamina Regeneration Bonus","Morale Bonus","Discipline Bonus","Critical Bonus","Siege Bonus","Sight Bonus","Hidden Bonus","Physical Resistance Bonus","Fire Resistance Bonus","Water Resistance Bonus","Air Resistance Bonus","Poison Resistance Bonus","Heat Resistance Bonus","Cold Resistance Bonus","Status","Enemy Status","Special Effect","Cost","Tag"
65,"Fearless Mount",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Buff"
66,"Assassination",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Buff"
67,"Sniping",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Buff"
68,"Partial Awareness",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Buff"
69,"Swift Swimmer",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Buff"
70,"Landlubber",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Debuff"
71,"Immortal",1,,,,,,,,,,"inf",,,,,,,,,,,,,,,,,10,,"Buff"
72,"Gunpowder Weapon",1,,,,,,,,,,,,,,,,,,,,,,,,,,,13,,"Buff"
73,"Camouflage",1,,,,,,,,,,,,,,,,,60,,,,,,,,,,,,"Buff"
74,"Arc Shot Only",1,,,,,,,,,,,,,,,,,,,,,,,,,,,"22,25",,"Buff"
75,"Cone Shot",1,,,,,,,,,,,,,,,,,,,,,,,,,,,15,,"Buff"
76,"Inferior Weapon Quality",1,,,,,,,,,,,,,,,,,,,,,,,,,,,16,,"Debuff"
77,"Only Suitable For Flat Terrain",1,,,,,,,,,,,,,,,,,,,,,,,,,,,11,,"Debuff"
78,"Unreliable Weapon",1,,-25,,,,-25,-20,,,,,,,,,,,,,,,,,,,,,,"Debuff"
79,"Very Unreliable Weapon",1,,-40,,,,-40,-40,,,,,,,,,,,,,,,,,,,,,,"Debuff"
80,"Semi Arc Shot Only",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
