"ID","p1_skin","p1_hair","p1_eyebrow","p1_eye","p1_beard","p1_mouth","p1_head","p1_body","p1_r_arm_up","p1_r_arm_low","p1_r_hand","p1_l_arm_up","p1_l_arm_low","p1_l_hand","p1_r_leg","p1_l_leg","p1_r_foot","p1_l_foot","p1_primary_main_weapon","p1_primary_sub_weapon","p1_secondary_main_weapon","p1_secondary_sub_weapon","p2_skin","p2_hair","p2_eyebrow","p2_eye","p2_beard","p2_mouth","p2_head","p2_body","p2_r_arm_up","p2_r_arm_low","p2_r_hand","p2_l_arm_up","p2_l_arm_low","p2_l_hand","p2_r_leg","p2_l_leg","p2_r_foot","p2_l_foot","p2_primary_main_weapon","p2_primary_sub_weapon","p2_secondary_main_weapon","p2_secondary_sub_weapon"
10043,"White","short,brown","line_eye,brown","no_beard,none","None","mouth","early","early","early","early","early","early","early","early","early","early","early","early","common","common","common","common",,,,,,,,,,,,,,,,,,,,,,
10044,"White","short,brown","line_eye,brown","no_beard,none","None","mouth","early","early","early","early","early","early","early","early","early","early","early","early","common","common","common","common",,,,,,,,,,,,,,,,,,,,,,
10045,"White","short,brown","line_eye,brown","no_beard,none","None","mouth","early","early","early","early","early","early","early","early","early","early","early","early","common","common","common","common",,,,,,,,,,,,,,,,,,,,,,
10046,"White","short,brown","line_eye,brown","no_beard,none","None","mouth","early","early","early","early","early","early","early","early","early","early","early","early","common","common","common","common",,,,,,,,,,,,,,,,,,,,,,
10047,"White","short,brown","line_eye,brown","no_beard,none","None","mouth","early","early","early","early","early","early","early","early","early","early","early","early","common","common","common","common",,,,,,,,,,,,,,,,,,,,,,
10048,"White","short,brown","line_eye,brown","no_beard,none","None","mouth","early","early","early","early","early","early","early","early","early","early","early","early","common","common","common","common",,,,,,,,,,,,,,,,,,,,,,
10049,"White","short,brown","line_eye,brown","no_beard,none","None","mouth","early","early","early","early","early","early","early","early","early","early","early","early","common","common","common","common",,,,,,,,,,,,,,,,,,,,,,
10050,"White","short,brown","line_eye,brown","no_beard,none","None","mouth","early","early","early","early","early","early","early","early","early","early","early","early","common","common","common","common",,,,,,,,,,,,,,,,,,,,,,
10051,"White","short,brown","line_eye,brown","no_beard,none","None","mouth","early","early","early","early","early","early","early","early","early","early","early","early","common","common","common","common",,,,,,,,,,,,,,,,,,,,,,
10052,"White","short,brown","line_eye,brown","no_beard,none","None","mouth","early","early","early","early","early","early","early","early","early","early","early","early","common","common","common","common",,,,,,,,,,,,,,,,,,,,,,
10053,"White","short,brown","line_eye,brown","no_beard,none","None","mouth","early","early","early","early","early","early","early","early","early","early","early","early","common","common","common","common",,,,,,,,,,,,,,,,,,,,,,
10054,"White","short,brown","line_eye,brown","no_beard,none","None","mouth","early","early","early","early","early","early","early","early","early","early","early","early","common","common","common","common",,,,,,,,,,,,,,,,,,,,,,
10055,"White","short,brown","line_eye,brown","no_beard,none","None","mouth","early","early","early","early","early","early","early","early","early","early","early","early","common","common","common","common",,,,,,,,,,,,,,,,,,,,,,
10056,"White","short,brown","line_eye,brown","no_beard,none","None","mouth","early","early","early","early","early","early","early","early","early","early","early","early","common","common","common","common",,,,,,,,,,,,,,,,,,,,,,
10057,"White","short,brown","line_eye,brown","no_beard,none","None","mouth","early","early","early","early","early","early","early","early","early","early","early","early","common","common","common","common",,,,,,,,,,,,,,,,,,,,,,
10058,"White","short,brown","line_eye,brown","no_beard,none","None","mouth","early","early","early","early","early","early","early","early","early","early","early","early","common","common","common","common",,,,,,,,,,,,,,,,,,,,,,
10059,"White","short,brown","line_eye,brown","no_beard,none","None","mouth","early","early","early","early","early","early","early","early","early","early","early","early","common","common","common","common",,,,,,,,,,,,,,,,,,,,,,
10060,"White","short,brown","line_eye,brown","no_beard,none","None","mouth","early","early","early","early","early","early","early","early","early","early","early","early","common","common","common","common",,,,,,,,,,,,,,,,,,,,,,
10061,"White","short,brown","line_eye,brown","no_beard,none","None","mouth","early","early","early","early","early","early","early","early","early","early","early","early","common","common","common","common",,,,,,,,,,,,,,,,,,,,,,
10062,"White","short,brown","line_eye,brown","no_beard,none","None","mouth","early","early","early","early","early","early","early","early","early","early","early","early","common","common","common","common",,,,,,,,,,,,,,,,,,,,,,
10063,"White","short,brown","line_eye,brown","no_beard,none","None","mouth","early","early","early","early","early","early","early","early","early","early","early","early","common","common","common","common",,,,,,,,,,,,,,,,,,,,,,
10064,"White","short,brown","line_eye,brown","no_beard,none","None","mouth","early","early","early","early","early","early","early","early","early","early","early","early","common","common","common","common",,,,,,,,,,,,,,,,,,,,,,
10065,"White","short,brown","line_eye,brown","no_beard,none","None","mouth","early","early","early","early","early","early","early","early","early","early","early","early","common","common","common","common",,,,,,,,,,,,,,,,,,,,,,
10066,"White","short,brown","line_eye,brown","no_beard,none","None","mouth","early","early","early","early","early","early","early","early","early","early","early","early","common","common","common","common",,,,,,,,,,,,,,,,,,,,,,
10067,"White","short,brown","line_eye,brown","no_beard,none","None","mouth","early","early","early","early","early","early","early","early","early","early","early","early","common","common","common","common",,,,,,,,,,,,,,,,,,,,,,
10068,"White","short,brown","line_eye,brown","no_beard,none","None","mouth","early","early","early","early","early","early","early","early","early","early","early","early","common","common","common","common",,,,,,,,,,,,,,,,,,,,,,
10069,"White","short,brown","line_eye,brown","no_beard,none","None","mouth","early","early","early","early","early","early","early","early","early","early","early","early","common","common","common","common",,,,,,,,,,,,,,,,,,,,,,
10070,"White","short,brown","line_eye,brown","no_beard,none","None","mouth","early","early","early","early","early","early","early","early","early","early","early","early","common","common","common","common",,,,,,,,,,,,,,,,,,,,,,
10071,"White","short,brown","line_eye,brown","no_beard,none","None","mouth","early","early","early","early","early","early","early","early","early","early","early","early","common","common","common","common",,,,,,,,,,,,,,,,,,,,,,
10072,"White","short,brown","line_eye,brown","no_beard,none","None","mouth","early","early","early","early","early","early","early","early","early","early","early","early","common","common","common","common",,,,,,,,,,,,,,,,,,,,,,
10073,"White","short,brown","line_eye,brown","no_beard,none","None","mouth","early","early","early","early","early","early","early","early","early","early","early","early","common","common","common","common",,,,,,,,,,,,,,,,,,,,,,
10074,"White","short,brown","line_eye,brown","no_beard,none","None","mouth","early","early","early","early","early","early","early","early","early","early","early","early","common","common","common","common",,,,,,,,,,,,,,,,,,,,,,
10075,"White","short,brown","line_eye,brown","no_beard,none","None","mouth","early","early","early","early","early","early","early","early","early","early","early","early","common","common","common","common",,,,,,,,,,,,,,,,,,,,,,
10076,"White","short,brown","line_eye,brown","no_beard,none","None","mouth","early","early","early","early","early","early","early","early","early","early","early","early","common","common","common","common",,,,,,,,,,,,,,,,,,,,,,
10077,"White","short,brown","line_eye,brown","no_beard,none","None","mouth","early","early","early","early","early","early","early","early","early","early","early","early","common","common","common","common",,,,,,,,,,,,,,,,,,,,,,
10078,"White","short,brown","line_eye,brown","no_beard,none","None","mouth","early","early","early","early","early","early","early","early","early","early","early","early","common","common","common","common",,,,,,,,,,,,,,,,,,,,,,
10079,"White","short,brown","line_eye,brown","no_beard,none","None","mouth","early","early","early","early","early","early","early","early","early","early","early","early","common","common","common","common",,,,,,,,,,,,,,,,,,,,,,
10080,"White","short,brown","line_eye,brown","no_beard,none","None","mouth","early","early","early","early","early","early","early","early","early","early","early","early","common","common","common","common",,,,,,,,,,,,,,,,,,,,,,
10081,"White","short,brown","line_eye,brown","no_beard,none","None","mouth","early","early","early","early","early","early","early","early","early","early","early","early","common","common","common","common",,,,,,,,,,,,,,,,,,,,,,
10082,"White","short,brown","line_eye,brown","no_beard,none","None","mouth","early","early","early","early","early","early","early","early","early","early","early","early","common","common","common","common",,,,,,,,,,,,,,,,,,,,,,
10083,"White","short,brown","line_eye,brown","no_beard,none","None","mouth","early","early","early","early","early","early","early","early","early","early","early","early","common","common","common","common",,,,,,,,,,,,,,,,,,,,,,
10084,"White","short,brown","line_eye,brown","no_beard,none","None","mouth","early","early","early","early","early","early","early","early","early","early","early","early","common","common","common","common",,,,,,,,,,,,,,,,,,,,,,
10085,"White","short,brown","line_eye,brown","no_beard,none","None","mouth","early","early","early","early","early","early","early","early","early","early","early","early","common","common","common","common",,,,,,,,,,,,,,,,,,,,,,
10086,"White","short,brown","line_eye,brown","no_beard,none","None","mouth","early","early","early","early","early","early","early","early","early","early","early","early","common","common","common","common",,,,,,,,,,,,,,,,,,,,,,
10087,"White","short,brown","line_eye,brown","no_beard,none","None","mouth","early","early","early","early","early","early","early","early","early","early","early","early","common","common","common","common",,,,,,,,,,,,,,,,,,,,,,
10088,"White","short,brown","line_eye,brown","no_beard,none","None","mouth","early","early","early","early","early","early","early","early","early","early","early","early","common","common","common","common",,,,,,,,,,,,,,,,,,,,,,
10089,"White","short,brown","line_eye,brown","no_beard,none","None","mouth","early","early","early","early","early","early","early","early","early","early","early","early","common","common","common","common",,,,,,,,,,,,,,,,,,,,,,
