"ID","Name","Race","Strength","Dexterity","Agility","Constitution","Intelligence","Wisdom","Charisma","Melee Speciality","Range Speciality","Cavalry Speciality","Social Class","Primary Main Weapon","Primary Sub Weapon","Secondary Main Weapon","Secondary Sub Weapon","Armour","Mount","Skill","Trait","Formation","Sprite ID","Faction"
10029,"Ranger",1,50,80,75,55,40,70,25,1,4,2,3,"2,3","1,3","1,3","1,3","5,4,1","2,3,1",,,"Fence",,0
10030,"Strategist",1,,,,,,,60,7,7,7,4,"2,3","1,3","1,3","1,3","5,4,1","2,3,1",,,"Line,Square,Circle,Dots,Snake,Wings,Bar",,0
10031,"Standard-bearer",1,60,55,55,60,45,60,30,3,3,3,3,"2,3","1,3","1,3","1,3","5,4,1","2,3,1","L3",,"Line,Wedge",,0
10032,"Shaman",1,36,60,31,40,75,80,60,,,,3,"2,3","1,3","1,3","1,3","5,4,1","2,3,1",,,,,0
10033,"Paladin",1,,,,,,,60,,,,3,"2,3","1,3","1,3","1,3","5,4,1","2,3,1","L6",,"Line,Square,Circle",,0
10034,"Inquisitor",1,,,,,,,55,,,,2,"2,3","1,3","1,3","1,3","5,4,1","2,3,1",,,"Line,Square",,0
10035,"Veteran",1,,,,,,,40,4,4,4,3,"2,3","1,3","1,3","1,3","5,4,1","2,3,1",,,"Line",,0
10036,"Bandit",1,,,,,,,10,,,,1,"2,3","1,3","1,3","1,3","5,4,1","2,3,1",,,,,0
10037,"Chieftain",1,,,,,,,30,,,,4,"2,3","1,3","1,3","1,3","5,4,1","2,3,1","L63",,"Line",,0
10038,"Berserker",1,,,,,,,5,,,,3,"2,3","1,3","1,3","1,3","5,4,1","2,3,1",,,,,0
10039,"Scout",1,,,,,,,5,,,,3,"2,3","1,3","1,3","1,3","5,4,1","2,3,1",,,,,0
10040,"Royal Guard",1,,,,,,,35,6,2,6,3,"2,3","1,3","1,3","1,3","5,4,1","2,3,1","L26",,"Line,Circle,Box,Bar",,0
10041,"Merchant",1,,,,,,,1,,,,2,"2,3","1,3","1,3","1,3","5,4,1","2,3,1",,,,,0
10042,"Military Engineer",1,,,,,,,15,,,,3,"2,3","1,3","1,3","1,3","5,4,1","2,3,1",,,,,0
10043,"Medic",1,,,,,,,15,,,,3,"2,3","1,3","1,3","1,3","5,4,1","2,3,1",,,,,0
10044,"Bard",1,,,,,,,20,,,,2,"2,3","1,3","1,3","1,3","5,4,1","2,3,1","L2",,"Square",,0
10045,"Steward",1,,,,,,,10,,,,2,"2,3","1,3","1,3","1,3","5,4,1","2,3,1",,,"Line",,0
10046,"Spy",1,,,,,,,0,,,,1,"2,3","1,3","1,3","1,3","5,4,1","2,3,1","L75",,,,0
10047,"Assassin",1,,,,,,,0,,,,1,"2,3","1,3","1,3","1,3","5,4,1","2,3,1","L30",,,,0
10048,"Adventurer",1,,,,,,,25,,,,1,"2,3","1,3","1,3","1,3","5,4,1","2,3,1",,,,,0
10049,"Patrician",1,,,,,,,30,,,,4,"2,3","1,3","1,3","1,3","5,4,1","2,3,1",,,,,0
10050,"Hunter",1,,,,,,,2,,,,2,"2,3","1,3","1,3","1,3","5,4,1","2,3,1",,,,,0
10051,"Sniper",1,,,,,,,0,,,,3,"2,3","1,3","1,3","1,3","5,4,1","2,3,1",,,,,0
10052,"Messenger",1,,,,,,,7,,,,2,"2,3","1,3","1,3","1,3","5,4,1","2,3,1",,,,,0
10053,"Raider",1,,,,,,,10,,,,1,"2,3","1,3","1,3","1,3","5,4,1","2,3,1",,,,,0
10054,"Pirate",1,,,,,,,10,,,,1,"2,3","1,3","1,3","1,3","5,4,1","2,3,1",,,,,0
10055,"Blacksmith",1,,,,,,,3,,,,2,"2,3","1,3","1,3","1,3","5,4,1","2,3,1",,,,,0
10056,"Dancer",1,,,,,,,15,,,,2,"2,3","1,3","1,3","1,3","5,4,1","2,3,1","L5",,,,0
10057,"Animal Handler",1,,,,,,,4,,,,2,"2,3","1,3","1,3","1,3","5,4,1","2,3,1",,,,,0
10058,"Monk",1,,,,,,,40,,,,2,"2,3","1,3","1,3","1,3","5,4,1","2,3,1","L6",,,,0
10059,"Squire",1,,,,,,,10,,,,3,"2,3","1,3","1,3","1,3","5,4,1","2,3,1",,,"Line",,0
10060,"Artist",1,,,,,,,0,,,,2,"2,3","1,3","1,3","1,3","5,4,1","2,3,1",,,,,0
10061,"Historian",1,,,,,,,5,,,,2,"2,3","1,3","1,3","1,3","5,4,1","2,3,1",,,,,0
10062,"Diviner",1,,,,,,,35,,,,2,"2,3","1,3","1,3","1,3","5,4,1","2,3,1","L19",,,,0
10063,"Cartographer",1,,,,,,,14,,,,2,"2,3","1,3","1,3","1,3","5,4,1","2,3,1",,,,,0
10064,"Builder",1,,,,,,,10,,,,2,"2,3","1,3","1,3","1,3","5,4,1","2,3,1",,,,,0
10065,"Chef",1,,,,,,,10,,,,2,"2,3","1,3","1,3","1,3","5,4,1","2,3,1",,,"Bar",,0
10066,"Procurer",1,,,,,,,10,,,,,"2,3","1,3","1,3","1,3","5,4,1","2,3,1",,,,,0
10067,"Inventor",1,,,,,,,3,,,,2,"2,3","1,3","1,3","1,3","5,4,1","2,3,1",,,,,0
10068,"Explorer",1,,,,,,,17,,,,2,"2,3","1,3","1,3","1,3","5,4,1","2,3,1",,,,,0
10069,"Herald",1,,,,,,,50,,,,,"2,3","1,3","1,3","1,3","5,4,1","2,3,1",,,"Square",,0
10070,"Mentor",1,,,,,,,40,,,,2,"2,3","1,3","1,3","1,3","5,4,1","2,3,1",,,"Line,Square",,0
10071,"Forger",1,,,,,,,0,,,,,"2,3","1,3","1,3","1,3","5,4,1","2,3,1",,,,,0
10072,"Jester",1,,,,,,,1,,,,2,"2,3","1,3","1,3","1,3","5,4,1","2,3,1",,,"Champion",,0
10073,"Musician",1,,,,,,,15,,,,2,"2,3","1,3","1,3","1,3","5,4,1","2,3,1",,,,,0
10074,"Navigator",1,,,,,,,16,,,,2,"2,3","1,3","1,3","1,3","5,4,1","2,3,1",,,,,0
10075,"Fisherman",1,,,,,,,2,,,,2,"2,3","1,3","1,3","1,3","5,4,1","2,3,1",,,,,0
10076,"Barbarian",1,,,,,,,10,,,,3,"2,3","1,3","1,3","1,3","5,4,1","2,3,1",,,,,0
10077,"Beastmaster",1,,,,,,,20,,,,3,"2,3","1,3","1,3","1,3","5,4,1","2,3,1",,,"Claws,Fangs",,0
10078,"Trickster",1,,,,,,,3,,,,1,"2,3","1,3","1,3","1,3","5,4,1","2,3,1","L37",,"Dots,V ",,0
10079,"Farmer",1,,,,,,,0,,,,2,"2,3","1,3","1,3","1,3","5,4,1","2,3,1",,,,,0
10080,"Fletcher",1,,,,,,,0,,,,2,"2,3","1,3","1,3","1,3","5,4,1","2,3,1",,,,,0
10081,"Zealot",1,,,,,,,20,,,,3,"2,3","1,3","1,3","1,3","5,4,1","2,3,1",,,,,0
10082,"Scholar",1,,,,,,,5,,,,2,"2,3","1,3","1,3","1,3","5,4,1","2,3,1",,,,,0
10083,"Duelist",1,,,,,,,10,,,,3,"2,3","1,3","1,3","1,3","5,4,1","2,3,1",,,,,0
10084,"Saboteur",1,,,,,,,0,,,,1,"2,3","1,3","1,3","1,3","5,4,1","2,3,1","L39",,,,0
10085,"Thief",1,,,,,,,0,,,,1,"2,3","1,3","1,3","1,3","5,4,1","2,3,1",,,,,0
10086,"Woodcutter",1,,,,,,,0,,,,2,"2,3","1,3","1,3","1,3","5,4,1","2,3,1",,,,,0
10087,"Judge",1,,,,,,,28,,,,2,"2,3","1,3","1,3","1,3","5,4,1","2,3,1",,,"Line",,0
10088,"Executioner",1,,,,,,,20,,,,2,"2,3","1,3","1,3","1,3","5,4,1","2,3,1",,,,,0
10089,"Jailor",1,,,,,,,20,,,,2,"2,3","1,3","1,3","1,3","5,4,1","2,3,1",,,,,0
10090,"imy-rA mSa",1,,,,,,,,,,,,,,,,,,,,,,
10091,"Ur",1,,,,,,,,,,,,,,,,,,,,,,
10092,"Late Medieval Minor Noble",1,,,,,,,50,,,,,,,,,,,,,,,
10093,"Late Medieval Noble",1,,,,,,,60,,,,,,,,,,,,,,,
