"ID","Name","Race","Strength","Dexterity","Agility","Constitution","Intelligence","Wisdom","Charisma","Melee Speciality","Range Speciality","Cavalry Speciality","Social Class","Primary Main Weapon","Primary Sub Weapon","Secondary Main Weapon","Secondary Sub Weapon","Armour","Mount","Skill","Trait","Formation","Sprite ID","Type"
27,"Gyrth Godwinson",1,70,60,53,54,70,67,74,6,4,5,5,"6,4","1,3","1,3","1,3","5,5","1,0,1","L3",0,"Line","Saxon","Leader"
28,"Leofwine Godwinson",1,72,51,60,58,68,64,73,6,4,5,5,"6,4","1,3","1,3","1,3","5,5","1,0,1","L3",0,"Line","Saxon","Leader"
29,"Godric of Berkshire",1,63,58,63,42,49,54,60,4,4,4,4,"6,4","1,3","1,3","1,3","5,3","1,0,1","L19",0,"Line","Saxon","Warrior"
30,"Thurkill",1,65,55,68,48,42,51,44,4,3,1,4,"6,4","1,3","1,3","1,3","5,3","1,0,1","L29",0,"Line","Saxon","Warrior"
31,"Edric the Deacon",1,59,60,62,58,60,58,48,4,3,2,4,"6,4","1,3","1,3","1,3","5,3","1,0,1","L46",0,"Line","Saxon","Warrior"
32,"Breme",1,67,41,40,51,48,51,48,4,4,1,4,"6,4","1,3","1,3","1,3","5,3","1,0,1","L19",0,"Line","Saxon","Warrior"
33,"Aelfwig of New Minster",1,61,58,55,60,75,71,55,5,1,1,5,"6,4","1,3","1,3","1,3","5,3","1,0,1","L6",0,"Line","Christian Monk","Supporter"
34,"Aelfric",1,58,46,48,52,60,62,50,5,4,1,4,"6,4","1,3","1,3","1,3","5,3","1,0,1","L17",0,"Line","Saxon","Leader"
35,"Son of Helloc",1,70,68,69,71,51,48,41,5,3,3,3,"6,4","1,3","1,3","1,3","5,3","1,0,1","L18",0,"Line","Saxon","Warrior"
36,"Thutmose III",1,69,84,71,75,95,94,95,6,5,8,7,"32,5","1,3","1,3","1,3","6,4","100,4,1","L49,L61",0,"Line,Wedge","Pharaoh","Leader"
37,"King of Kadesh",1,51,72,64,73,64,70,75,7,5,5,7,"6,4","1,3","1,3","1,3","15,4","99,4,1","L19",0,"Line","Desert Noble","Leader"
38,"Prince of Megiddo",1,60,75,68,71,68,68,70,6,6,6,5,"6,4","1,3","1,3","1,3","15,4","99,4,1","L3",0,"Line","Desert Noble","Leader"
39,,,,,,,,,,,,,,,,,,,"1,0,1",,,,,
40,,,,,,,,,,,,,,,,,,,"1,0,1",,,,,
41,"Taillefer",1,70,89,82,74,68,71,73,1,2,1,2,"2,3","1,3","1,3","1,3","15,3","1,0,1","L2",,"Bar","Norman Light","Warrior"
42,,,,,,,,,,,,,,,,,,,"1,0,1",,,,,
43,,,,,,,,,,,,,,,,,,,"1,0,1",,,,,
44,,,,,,,,,,,,,,,,,,,"1,0,1",,,,,
45,,,,,,,,,,,,,,,,,,,"1,0,1",,,,,
46,"Louis II of Hungary",1,,,,,,,83,7,7,8,5,,,,,,"1,0,1","L28,L49",,,,"Leader"
47,"Pál Tomori",1,,,,,,,85,7,8,7,4,,,,,,"1,0,1","L3,L6",,,,"Leader"
48,"György Szapolyai",1,,,,,,,,,,,,,,,,,"1,0,1",,,,,
49,"Stephen VII Báthory",1,,,,,,,,,,,,,,,,,"1,0,1",,,,,
50,"Jován Cserni",,,,,,,,,,,,,,,,,,"1,0,1",,,,,
51,"Ferenc Perényi",1,,,,,,,,,,,,,,,,,"1,0,1",,,,,
52,"Péter Perényi",,,,,,,,,,,,,,,,,,"1,0,1",,,,,
53,"Péter Bakić",,,,,,,,,,,,,,,,,,"1,0,1",,,,,
54,"Pavle Bakić",,,,,,,,,,,,,,,,,,"1,0,1",,,,,
55,"Radics Bosics",,,,,,,,,,,,,,,,,,"1,0,1",,,,,
56,"Ferenc Batthyány",,,,,,,,,,,,,,,,,,"1,0,1",,,,,
57,"Gáspár Ráskai",,,,,,,,,,,,,,,,,,"1,0,1",,,,,
58,"Bálint Török",,,,,,,,,,,,,,,,,,"1,0,1",,,,,
59,"János Kállai Vitéz",,,,,,,,,,,,,,,,,,"1,0,1",,,,,
60,"László Szalkai",,,,,,,,,,,,,,,,,,"1,0,1",,,,,
61,"Móré Fülöp of Pécs",,,,,,,,,,,,,,,,,,"1,0,1",,,,,
62,"Balázs Paksi of Győr",,,,,,,,,,,,,,,,,,"1,0,1",,,,,
63,"Ferencz Csáholi of Csanád",,,,,,,,,,,,,,,,,,"1,0,1",,,,,
64,"György Palinai of Bosnia",,,,,,,,,,,,,,,,,,"1,0,1",,,,,
65,"János Drágfi",,,,,,,,,,,,,,,,,,"1,0,1",,,,,
66,"Ferenc Ország",,,,,,,,,,,,,,,,,,"1,0,1",,,,,
67,"Péter Korlátkői",,,,,,,,,,,,,,,,,,"1,0,1",,,,,
68,"András Trepka",,,,,,,,,,,,,,,,,,"1,0,1",,,,,
69,"Tamás Szécsy",,,,,,,,,,,,,,,,,,"1,0,1",,,,,
70,"Gábor Perényi",,,,,,,,,,,,,,,,,,"1,0,1",,,,,
71,"Zsigmond Bánfy",,,,,,,,,,,,,,,,,,"1,0,1",,,,,
72,"Ferencz Hampó",,,,,,,,,,,,,,,,,,"1,0,1",,,,,
73,"János Batthyányi",,,,,,,,,,,,,,,,,,"1,0,1",,,,,
74,"István Schlick",,,,,,,,,,,,,,,,,,"1,0,1",,,,,
75,"Ferenc Balázsi",,,,,,,,,,,,,,,,,,"1,0,1",,,,,
76,"Miklós Tarczay",,,,,,,,,,,,,,,,,,"1,0,1",,,,,
77,"János Paksy",,,,,,,,,,,,,,,,,,"1,0,1",,,,,
78,"János Istvánfy",,,,,,,,,,,,,,,,,,"1,0,1",,,,,
79,"Imre Várady",,,,,,,,,,,,,,,,,,"1,0,1",,,,,
80,"Mihály Podmaniczky",,,,,,,,,,,,,,,,,,"1,0,1",,,,,
81,"György Orlovsics",,,,,,,,,,,,,,,,,,"1,0,1",,,,,
82,"István Aczél",,,,,,,,,,,,,,,,,,"1,0,1",,,,,
83,"Zsigmond Pogány",,,,,,,,,,,,,,,,,,"1,0,1",,,,,
84,"János Tornally",,,,,,,,,,,,,,,,,,"1,0,1",,,,,
85,"János Kállay",,,,,,,,,,,,,,,,,,"1,0,1",,,,,
86,"István Kállay",,,,,,,,,,,,,,,,,,"1,0,1",,,,,
87,"Miklós Forgács",,,,,,,,,,,,,,,,,,"1,0,1",,,,,
88,"Lenart Gnoiński",,,,,,,,,,,,,,,,,,"1,0,1",,,,,
89,,,,,,,,,,,,,,,,,,,"1,0,1",,,,,
90,,,,,,,,,,,,,,,,,,,"1,0,1",,,,,
91,,,,,,,,,,,,,,,,,,,"1,0,1",,,,,
92,,,,,,,,,,,,,,,,,,,"1,0,1",,,,,
93,"Suleiman the Magnificent",1,,,,,,,95,7,9,8,5,,,,,,"1,0,1","L12,L48",,,,"Leader"
94,"Pargalı Ibrahim Pasha",1,,,,,,,,,,,,,,,,,"1,0,1",,,,,
95,"Malkoçoğlu Bali Bey",1,,,,,,,,,,,,,,,,,"1,0,1",,,,,
96,"Gazi Hüsrev Bey",1,,,,,,,,,,,,,,,,,"1,0,1",,,,,
97,"Behram Pasha",1,,,,,,,,,,,,,,,,,"1,0,1",,,,,
98,,,,,,,,,,,,,,,,,,,"1,0,1",,,,,
99,,,,,,,,,,,,,,,,,,,"1,0,1",,,,,
100,,,,,,,,,,,,,,,,,,,"1,0,1",,,,,
101,,,,,,,,,,,,,,,,,,,"1,0,1",,,,,
102,"Testguy Deletelater",1,72,68,60,70,81,83,92,7,4,7,5,"3,5","39,4","39,4","3,3","5,5","2,4,1","L3,L61",0,"Line,Wedge","Norman","Test"
