"ID","para1","para2","para3","para4","para5","para6","para7","para8","para9","para10","para11","para12","para13","para14","para15","para16"
11,,,,,,,,,,,,,,,,
12,,,,,,,,,,,,,,,,
13,,,,,,,,,,,,,,,,
14,,,,,,,,,,,,,,,,
15,,,,,,,,,,,,,,,,
16,"Odo of Bayeux born in 1036, son of Herluin de Conteville and Herleva, William the Conqueror's mother. Being half-brother to William makes Odo, one of the most prominent companions of William throughout his life. Not much else is known about the activities in his early life, he was a Christian cleric and became bishop of Bayeux in 1049. He was the main figure who participate in the war council for the invasion of England and served as the closest advisor to William.","IMAGE:\data\ruleset\historical\leader\lore_image\odo_1.png","Picture: Odo during the discussion with William and Robert regarding the building of motte base of operation after the invasion landing. ","After the war Council of Lillebonne, Odo contributed to the invasion preparation and accompanied William throughout the invasion. He also participated in the Battle of Hastings, leading the Breton contingents on the left side of the army. As a cleric, his presence alone may already boost the morale of the troop significantly, with the affirmation that the church and no doubt, God, are on their side. If the Tapestry is to be believed, Odo personally fought in the battle along with his men.","IMAGE:\data\ruleset\historical\leader\lore_image\odo_2.png","Picture: Odo in the Battle of Hastings equipped with a wooden club and rallying his troops.","Victorious from the battle and ultimately the invasion, Odo received a major portion of the war spoils and rewards. He was made the Earl of Kent and controlled the southeast region of the country. During William the conqueror's reign, Odo was the second in power who assist William in court and even served as regent during William's absence. His vast amount of wealth and estates was only second to the king himself.","It is commonly believed that the Bayeux Tapestry was commissioned by Odo to lavishly decorate his cathedral roughly a decade after the invasion. This may explain the mysterious appearance of the three individuals namely, Wadard, Vital and Turold the dwarf servant who were Odo's tenants. The growth of Odo's power and influence came to the abrupt end when William began to view Odo's vast political influence as a threat to his rule.","IMAGE:\data\ruleset\historical\leader\lore_image\odo_3.png","Picture: Turold the dwarf holding a horse in the Bayeux Tapestry","Odo was subjected to two separate imprisonments on the order of William for different charges in 1076 and 1082, both of which caused great loss to his wealth, title, and his formal perceived authority. There can be no doubt that both Odo and William no longer viewed the another with flavour. After being in prison for around five years in Normandy, William, now on his deathbed, released Odo from prison after being persuaded by Robert, Count of Mortain in 1087.","After William's death, Odo supported William's eldest son, Robert Curthose, in the succession rebellion along with Robert, Count of Mortain. The rebellion failed in the end and Odo with permission of William Rufus was allowed to leave England and continued serving Robert Curthose in Normandy. Later in his life, Odo participated in the First Crusade alongside Robert Curthose. His travel came to an end abrupt on the way to Italy with his death, possibly from old age in his 60s. ","IMAGE:\data\ruleset\historical\leader\lore_image\odo_4.png","Picture: The Bayeux Cathedral during World War 2.",,
17,,,,,,,,,,,,,,,,
18,,,,,,,,,,,,,,,,
19,,,,,,,,,,,,,,,,
20,,,,,,,,,,,,,,,,
21,,,,,,,,,,,,,,,,
22,,,,,,,,,,,,,,,,
23,,,,,,,,,,,,,,,,
24,,,,,,,,,,,,,,,,
25,"Harold II of house Godwinson was born in 1022, son of Godwin of Wessex and Gytha. House Godwinson was already one of the most powerful families in England, controlling the majority of the south-eastern part of the country.  In 1044, his father obtained and bestowed the Earldom of East Angelia to him. Harold also married Edith the Fair at around this time, the marriage was considered to be controversial as many scholars still debated whether the church considered it to be illegitimate or not.","In 1051, Harold's father rebelled against Edward the Confessor for refusing to obey the royal decree to punish the people of Dover who attack Eustace II during his visit. The rebellion failed and his whole family was exiled from England in the same year. Harold and his younger brother, Leofwine, fled to Dublin while the rest of the family sought refuge in Flender. A year later, Harold and his family returned to England with an army and forced Edward to restore the lost earldom to his father, thus restoring the power of Godwinson.","After his father died suddenly in 1053, Harold inherit the Earldom of Wessex and became the most powerful political figure in England, second only to the king himself. In 1057, the death of Leofric and other political rivals allowed Harold to obtained the Earldom of Mercia and Northumbria for his two younger brothers. Godwinson family was no doubt the most powerful house in Saxon England at the time. Even more so as Harold also strengthen the alliance with other powerful Saxon nobles.","Harold also emerge victorious against the Welsh multiple times both in defensive and offensive campaigns, which strengthened his political position even further. In 1064, the Norman chronicle recounted that Harold was sent by Edward to inform William the Bastard of the decision to make William the King of England. The ship Harold was on then got shipwrecked and he got captured by William's vassal. Harold was later released and welcomed by William at the Normandy's court.","With Edward’s death In 1066, Harold claimed that Edward on his deathbed appointed Harold as the ""protector"" of the kingdom. Harold was then elected as King in the noble council meeting the following day after. Soon after the news of coronation spread, William and  Harald III Hardraade of Norway began planning their own invasions to claim the throne for themselves. Moreover, his previously exiled brother, Tostig Godwinson, also started the rebellion for revenge in the north.","IMAGE:\data\ruleset\historical\leader\lore_image\harold_1.png","Picture: Harold swore his fealty and pledged his support to William's inheritance for King of England after his release.","IMAGE:\data\ruleset\historical\leader\lore_image\harold_2.png","Picture: Harold being crowned King of England at Winchester Abbey by the archbishop of York.","Harold managed to fended off Tostig’s initial raids on mutiple regions of England. Before Harald Hardrada's force arrived, Tostig move his raiding target to the northern part of the country. While, Harold still positioned his army in the southern part waiting for William's force to arrived. With the news that Tostig and Harald joined forced, captured York and defeated a local army in the Battle of Fulford, Harold rushed his army up north from London.","Harold's army marched to Yorkshire in 4 days and caught Harald and Tostig' combined force by surprise at Stamford Bridge. According to a Norwegian source, Harold himself rode to Harld and Tostig alone before the battle to convince Tostig to return to his side. The battle began with the English army attempting to cross the bridge, while the Norwegian force start preparing for battle and a lone Norse warrior single-handedly delay the English crossing.","When the English managed to cross the bridge, only a portion of the Norse army managed to form a shield wall and most of them left their armour behind. The battle consisted of the two forces locking in a shield wall engagement for hours. With massive disadvantage, the Norse infantries broke first with both Harald and Tostig killed in the battle subsequently. Although the Norse reinforcement managed to arrive before the battle ended, they were of not much help and could not change the outcome of the battle. ","Although victorious, Harold needed to march his army to the south to fight against the second invasion force led by William. The forced march was so taxing that a good portion of the army was left behind on the way. Upon reaching Hastings, Harold camped his force at Caldbec Hill and his troops held a feast for an entire night to prepare for the upcoming battle. In the early morning, Harold marched his force with the plan to catch William's army off-guard similar to the prior battle but failed. The Battle of Hastings commenced and ended with his death. ","IMAGE:\data\ruleset\historical\leader\lore_image\harold_2.png","Picture: Harold shot by an arrow through the eye in the midst of the battle.",
26,,,,,,,,,,,,,,,,
27,,,,,,,,,,,,,,,,
28,,,,,,,,,,,,,,,,
29,,,,,,,,,,,,,,,,
30,,,,,,,,,,,,,,,,
31,,,,,,,,,,,,,,,,
32,,,,,,"Odo of Bayeux born in 1036, son of Herluin de Conteville and Herleva, William the Conqueror's mother. Being half-brother to William makes Odo, one of the most prominent companions of William throughout his life. Not much else is known about the activities in his early life, he was a Christian cleric and became bishop of Bayeux in 1049. He was the main figure who participate in the war council for the invasion of England and served as the closest advisor to William.",,,,,,,,,,
33,,,,,,,,,,,,,,,,
34,,,,,,,,,,,,,,,,
35,,,,,,,,,,,,,,,,
36,,,,,,,,,,,,,,,,
37,,,,,,,,,,,,,,,,
38,,,,,,,,,,,,,,,,
39,,,,,,,,,,,,,,,,
40,,,,,,,,,,,,,,,,
41,,,,,,,,,,,,,,,,
42,,,,,,,,,,,,,,,,
43,,,,,,,,,,,,,,,,
44,,,,,,,,,,,,,,,,
45,,,,,,,,,,,,,,,,
46,,,,,,,,,,,,,,,,
47,,,,,,,,,,,,,,,,
48,,,,,,,,,,,,,,,,
49,,,,,,,,,,,,,,,,
50,,,,,,,,,,,,,,,,
51,,,,,,,,,,,,,,,,
52,,,,,,,,,,,,,,,,
53,,,,,,,,,,,,,,,,
54,,,,,,,,,,,,,,,,
55,,,,,,,,,,,,,,,,
56,,,,,,,,,,,,,,,,
57,,,,,,,,,,,,,,,,
58,,,,,,,,,,,,,,,,
59,,,,,,,,,,,,,,,,
60,,,,,,,,,,,,,,,,
61,,,,,,,,,,,,,,,,
62,,,,,,,,,,,,,,,,
63,,,,,,,,,,,,,,,,
64,,,,,,,,,,,,,,,,
65,,,,,,,,,,,,,,,,
66,,,,,,,,,,,,,,,,
67,,,,,,,,,,,,,,,,
68,,,,,,,,,,,,,,,,
69,,,,,,,,,,,,,,,,
70,,,,,,,,,,,,,,,,
71,,,,,,,,,,,,,,,,
72,,,,,,,,,,,,,,,,
73,,,,,,,,,,,,,,,,
74,,,,,,,,,,,,,,,,
75,,,,,,,,,,,,,,,,
76,,,,,,,,,,,,,,,,
77,,,,,,,,,,,,,,,,
78,,,,,,,,,,,,,,,,
79,,,,,,,,,,,,,,,,
80,,,,,,,,,,,,,,,,
81,,,,,,,,,,,,,,,,
82,,,,,,,,,,,,,,,,
83,,,,,,,,,,,,,,,,
84,,,,,,,,,,,,,,,,
85,,,,,,,,,,,,,,,,
86,,,,,,,,,,,,,,,,
87,,,,,,,,,,,,,,,,
88,,,,,,,,,,,,,,,,
89,,,,,,,,,,,,,,,,
90,,,,,,,,,,,,,,,,
91,,,,,,,,,,,,,,,,
92,,,,,,,,,,,,,,,,
93,,,,,,,,,,,,,,,,
94,,,,,,,,,,,,,,,,
95,,,,,,,,,,,,,,,,
96,,,,,,,,,,,,,,,,
97,,,,,,,,,,,,,,,,
98,,,,,,,,,,,,,,,,
99,,,,,,,,,,,,,,,,
100,,,,,,,,,,,,,,,,
101,,,,,,,,,,,,,,,,
102,,,,,,,,,,,,,,,,
103,,,,,,,,,,,,,,,,
104,,,,,,,,,,,,,,,,
105,,,,,,,,,,,,,,,,
106,,,,,,,,,,,,,,,,
107,,,,,,,,,,,,,,,,
108,,,,,,,,,,,,,,,,
109,,,,,,,,,,,,,,,,
110,,,,,,,,,,,,,,,,
111,,,,,,,,,,,,,,,,
112,,,,,,,,,,,,,,,,
113,,,,,,,,,,,,,,,,
114,,,,,,,,,,,,,,,,
115,,,,,,,,,,,,,,,,
116,,,,,,,,,,,,,,,,
117,,,,,,,,,,,,,,,,
118,,,,,,,,,,,,,,,,
119,,,,,,,,,,,,,,,,
120,,,,,,,,,,,,,,,,
121,,,,,,,,,,,,,,,,
122,,,,,,,,,,,,,,,,
123,,,,,,,,,,,,,,,,
124,,,,,,,,,,,,,,,,
125,,,,,,,,,,,,,,,,
126,,,,,,,,,,,,,,,,
127,,,,,,,,,,,,,,,,
128,,,,,,,,,,,,,,,,
129,,,,,,,,,,,,,,,,
130,,,,,,,,,,,,,,,,
131,,,,,,,,,,,,,,,,
132,,,,,,,,,,,,,,,,
133,,,,,,,,,,,,,,,,
134,,,,,,,,,,,,,,,,
135,,,,,,,,,,,,,,,,
136,,,,,,,,,,,,,,,,
137,,,,,,,,,,,,,,,,
138,,,,,,,,,,,,,,,,
139,,,,,,,,,,,,,,,,
140,,,,,,,,,,,,,,,,
141,,,,,,,,,,,,,,,,
142,,,,,,,,,,,,,,,,
143,,,,,,,,,,,,,,,,
144,,,,,,,,,,,,,,,,
145,,,,,,,,,,,,,,,,
146,,,,,,,,,,,,,,,,
147,,,,,,,,,,,,,,,,
148,,,,,,,,,,,,,,,,
149,,,,,,,,,,,,,,,,
150,,,,,,,,,,,,,,,,
151,,,,,,,,,,,,,,,,
152,,,,,,,,,,,,,,,,
153,,,,,,,,,,,,,,,,
154,,,,,,,,,,,,,,,,
155,,,,,,,,,,,,,,,,
156,,,,,,,,,,,,,,,,
157,,,,,,,,,,,,,,,,
158,,,,,,,,,,,,,,,,
159,,,,,,,,,,,,,,,,
160,,,,,,,,,,,,,,,,
161,,,,,,,,,,,,,,,,
162,,,,,,,,,,,,,,,,
163,,,,,,,,,,,,,,,,
164,,,,,,,,,,,,,,,,
165,,,,,,,,,,,,,,,,
166,,,,,,,,,,,,,,,,
167,,,,,,,,,,,,,,,,
168,,,,,,,,,,,,,,,,
169,,,,,,,,,,,,,,,,
170,,,,,,,,,,,,,,,,
171,,,,,,,,,,,,,,,,
172,,,,,,,,,,,,,,,,
173,,,,,,,,,,,,,,,,
174,,,,,,,,,,,,,,,,
175,,,,,,,,,,,,,,,,
176,,,,,,,,,,,,,,,,
177,,,,,,,,,,,,,,,,
178,,,,,,,,,,,,,,,,
179,,,,,,,,,,,,,,,,
180,,,,,,,,,,,,,,,,
181,,,,,,,,,,,,,,,,
182,,,,,,,,,,,,,,,,
183,,,,,,,,,,,,,,,,
184,,,,,,,,,,,,,,,,
185,,,,,,,,,,,,,,,,
186,,,,,,,,,,,,,,,,
187,,,,,,,,,,,,,,,,
188,,,,,,,,,,,,,,,,
189,,,,,,,,,,,,,,,,
190,,,,,,,,,,,,,,,,
191,,,,,,,,,,,,,,,,
192,,,,,,,,,,,,,,,,
193,,,,,,,,,,,,,,,,
194,,,,,,,,,,,,,,,,
195,,,,,,,,,,,,,,,,
196,,,,,,,,,,,,,,,,
197,,,,,,,,,,,,,,,,
198,,,,,,,,,,,,,,,,
199,,,,,,,,,,,,,,,,
200,,,,,,,,,,,,,,,,
201,,,,,,,,,,,,,,,,
202,,,,,,,,,,,,,,,,
203,,,,,,,,,,,,,,,,
204,,,,,,,,,,,,,,,,
205,,,,,,,,,,,,,,,,
206,,,,,,,,,,,,,,,,
207,,,,,,,,,,,,,,,,
208,,,,,,,,,,,,,,,,
209,,,,,,,,,,,,,,,,
210,,,,,,,,,,,,,,,,
211,,,,,,,,,,,,,,,,
212,,,,,,,,,,,,,,,,
213,,,,,,,,,,,,,,,,
214,,,,,,,,,,,,,,,,
215,,,,,,,,,,,,,,,,
216,,,,,,,,,,,,,,,,
217,,,,,,,,,,,,,,,,
218,,,,,,,,,,,,,,,,
219,,,,,,,,,,,,,,,,
220,,,,,,,,,,,,,,,,
221,,,,,,,,,,,,,,,,
222,,,,,,,,,,,,,,,,
223,,,,,,,,,,,,,,,,
224,,,,,,,,,,,,,,,,
225,,,,,,,,,,,,,,,,
226,,,,,,,,,,,,,,,,
227,,,,,,,,,,,,,,,,
228,,,,,,,,,,,,,,,,
229,,,,,,,,,,,,,,,,
230,,,,,,,,,,,,,,,,
231,,,,,,,,,,,,,,,,
232,,,,,,,,,,,,,,,,
233,,,,,,,,,,,,,,,,
234,,,,,,,,,,,,,,,,
235,,,,,,,,,,,,,,,,
236,,,,,,,,,,,,,,,,
