"ID","Name","Range","Area of Effect","Receiver","Duration","Cooldown","Discipline Requirement","Stamina Cost","Melee Attack Effect","Melee Defence Effect","Ranged Defence Effect","Speed Effect","Accuracy Effect","Range Effect","Reload Effect","Charge Effect","Charge Defence Bonus","HP Regeneration Bonus","Stamina Regeneration Bonus","Morale Bonus","Discipline Bonus","Critical Effect","Physical Damage Effect","Fire Damage Extra","Poison Damage Extra","Sight Bonus","Hidden Bonus","Stamina Damage Bonus","Morale Damage Bonus","Status","Enemy Status","Action","Effect Sprite","Sound Effect","Sound Distance","AI Use Condition","AI Use Restriction","Type"
"L33","Hit And Run",0,4,0,,,61,10,80,60,,145,110,,115,150,,0,0,,,,,,,,-40,,,,,"BuffAlly",,,,"troop_range",,"Buff"
"L34","Faith In Command",,60,0,,,40,5,,,,,,,,,,,,,,,,,,,,,,,,"BuffAlly",,,,"troop_melee",,"Buff"
"L35",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"L36","Final Glory",,1,0,60,3000,30,20,,,,,,,,,,0,0,,,,,,,,,,,,,"BuffAlly",,,,"melee",,"Buff"
"L37","Provoke",50,40,1,,,23,10,125,70,70,110,80,,80,140,-15,0,0,20,-20,,,,,,,,,,,"DebuffEnemy",,,,"enemy_near",,"Debuff"
"L38","Intimidate",30,40,1,60,,16,10,,,,,,,,,,0,0,,,,,,,,,,,,,"DebuffEnemy",,,,"enemy_near",,"Debuff"
"L39","Sabotage",90,20,1,30,,67,5,60,70,80,80,70,70,80,70,-10,0,0,-15,-15,,,,,,,,,,,"DebuffEnemy",,,,"enemy_near",,"Debuff"
"L40","Great Taunt",100,80,1,60,,33,10,160,20,20,130,10,10,10,130,-40,0,0,30,-40,,,,,,,,,,,"DebuffEnemy",,,,"enemy_near",,"Debuff"
"L41","Combat Aid",30,4,0,1,180,41,3,,,,,,,,,,20,5,20,,,,,,,-15,,,,,"BuffAlly",,,,"troop_melee",,"Buff"
"L42","Emergency Treatment",15,4,0,1,180,39,3,,,,,,,,,,30,10,10,,,,,,,,,,,,"BuffAlly",,,,"troop_melee",,"Buff"
"L43","Unity",0,4,0,60,300,50,5,,,,,,,,,,0,0,15,30,,,,,,,,,,,,,,,"troop_melee",,"Buff"
"L44","Fire Trap",60,30,1,,600,61,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,"enemy_near",,"Perform"
"L45","Smoke Trap",60,45,1,,600,58,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,"enemy_near",,"Perform"
"L46","On The Defensive",0,4,0,,60,34,5,,,,,,,,,,,,,,,,,,,,,,,,"BuffAlly",,,,"enemy_near",,"Buff"
"L47","Diversion",50,4,0,30,120,41,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,"enemy_near",,"Debuff"
"L48","Emperor's Decree",0,5,0,300,700,50,10,130,130,130,130,130,,130,130,25,,,50,40,,,,,,,,,,,"BuffAll",,,,"troop_melee",,"Buff"
"L49","King's Command",0,5,0,300,700,50,10,120,120,120,120,120,,120,120,15,,,40,30,,,,,,,,,,,"BuffAll",,,,"troop_melee",,"Buff"
"L50","Lord's Order",0,5,0,300,700,50,10,110,110,110,110,110,,110,110,5,,,30,20,,,,,,,,,,,"BuffAll",,,,"troop_melee",,"Buff"
"L51","Honourable Chivalry",0,5,0,300,700,50,10,105,105,105,105,,,,110,10,,,20,15,,,,,,,,,,,"BuffAlly",,,,"troop_melee",,"Buff"
"L52","Heroic Valour",0,5,0,300,700,50,10,120,125,125,115,115,,115,150,15,,,50,20,,,,,,,,,,,"BuffAll",,,,"troop_melee",,"Buff"
"L53","Marathon Sprint",0,1,0,1000,3000,70,2,50,50,50,200,50,50,50,50,,,1,25,10,,,,,,,,,,,"BuffSelf",,,,"move_far",,"Buff"
"L54",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"L55",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"L56",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"L57",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"L58",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"L59",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"L60",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"L61","Conqueror's Destiny",0,300,0,100,350,46,10,170,115,105,110,110,,110,150,,,,50,50,,,,,,,,,,,"BuffAll",,,,"unit_melee",,"Buff"
"L62","Wondrous Recovery",0,40,0,,,35,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,"troop_melee",,"Buff"
"L63","Chieftain's Guidance",0,5,0,30,260,31,10,120,,,110,,,,130,,,,30,,,,,,,,,,,,"BuffAll",,,,"troop_melee",,"Buff"
"L64","Land Supremacy",0,5,0,70,410,75,7,150,150,150,150,150,,150,150,60,,,100,20,,,,,,,,,,,"BuffAll",,,,"unit_melee",,"Buff"
"L65","Commence The Hunt",0,300,0,120,400,52,20,115,70,60,140,200,150,200,140,-50,,,50,-35,150,,,,100,100,,,,,"BuffAll",,,,"enemy_near",,"Buff"
"L66","God Of War",0,200,0,60,500,65,10,180,160,150,150,180,,150,200,50,,5,50,50,,,,,,,,,,,"BuffAll",,,,"unit_melee",,"Buff"
"L67","Liberty Or Death",0,250,0,60,400,50,5,125,140,110,115,150,,150,120,45,,,60,10,,,,,,,,,,,"BuffAll",,,,"enemy_near",,"Buff"
"L68","Masterful Ambush",0,80,0,,,72,5,,,,,,,,,,,,,,,,,,,,,,,,"BuffAlly",,,,"idle",,"Buff"
"L69","Mastermind Perpetration",100,150,1,,,77,5,,,,,,,,,,,,,,,,,,,,,,,,"DebuffAll",,,,"enemy_near",,"Debuff"
"L70",,,,,,,,,,,,,,,,,,,,,,,,,,-10,,,,,,,,,,,,
"L71","Blessing Of Heart",150,4,0,,,38,10,125,125,125,125,125,,125,125,10,,,35,20,,,,,,,,,,,"BuffAll",,,,"troop_melee",,"Buff"
"L72","Cooperation Support",60,4,0,,,60,3,,,,,,,,,,,,,,,,,,,,,,,,"BuffAlly",,,,"troop_melee",,"Buff"
"L73",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"L74","Ingenious Manipulation",100,150,1,,,65,5,,,,,,,,,,,,,,,,,,,,,,,,"DebuffAll",,,,"enemy_near",,"Debuff"
"L75","Enforce Authority",,60,0,60,180,30,10,,,,,,,,,,,,-15,50,,,,,,,,,,,"BuffAlly",,,,"unit_melee",,"Buff"
"L76","Illustrative Grandstanding",,,0,,,80,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Buff"
"L77","Sense Recover",80,50,0,,,32,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Buff"
"L78","Legend Manifestation",,,0,,,77,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Buff"
"L79",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"L80",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"L81","Triumphant Of The Worthy",0,5,0,,,76,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Buff"
"L82","Omen Of Victory",0,5,0,,,47,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Buff"
"L83","God Speed",0,5,0,,,60,10,,,,,,,,,,,,,,,,,,,,,,,,"BuffAll",,,,,,"Buff"
"L84","March Of The Four Wind",60,4,0,30,600,60,15,,115,115,400,,,,200,120,,,60,40,,,,,,,,,,,,,,,,,"Buff"
"L85","Bribery Betrayal",,,1,,,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Debuff"
"L86","Blazing Heart",,,0,,,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Buff"
"L87","Precise Execution",,5,0,,,61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"L88","Absolute Might",0,1,0,,,21,,,,,,,,,,,,,,,,,,,,,,,,,"BuffSelf",,,,"melee",,"Buff"
"L89","Dream Of Unification",,,0,,,73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Buff"
"L90","Zero To One",,1,0,,,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Buff"
"L91",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"L92","Finest Archer",0,1,0,,,50,,,,,,,,,,,,,,,,,,,,,,,,,"BuffSelf",,,,"range",,"Buff"
"L93","Grand Combat",0,1,0,,,50,,,,,,,,,,,,,,,,,,,,,,,,,"BuffSelf",,,,"melee",,"Buff"
"L94","Dread Fury",,,,,,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
"L95","Paragon Providence",,5,,,,49,,,,,,,,,,,,,,,,,,,,,,,,,"BuffAll",,,,,,0
"L96",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"L97","Salvation",,,0,,,65,,,,,,,,,,,,,,,,,,,,,,,,,"Summon",,,,,,0
"L98","Master Plan Initiative",,250,1,,,70,,,,,,,,,,,,,,,,,,,,,,,,,"DebuffAll",,,,,,1
"L99","Saint Exemplar",0,5,,,,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
"L100","Foundation Of An Empire",,5,,,,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
"L101","Great Destruction",,5,,,,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
"L102","Abandon All Hope",0,1,0,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
"L103",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"L104",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"L105","Song Of Peace",,100,2,,,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
"L106",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"L107",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"L108","Escalation Of Conflict",1,5,,300,900,50,,150,50,50,150,150,,150,200,-100,,,25,-25,,,,,,-100,,,,,,,,,,,2
"L109","Inevitable End",,,,,,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"L110","Command Collapse",,,,,,64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"L111","Web Of Deception",,,,,,86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"L112","Reign Of Order",,,,,,67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"L113",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"L114","Imperial Decree",,,,,,64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"L115","Legislate Hegemony",,,,,,62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"L116",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"L117","Crisis Measurement",,100,,2400,10000,68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"L118","Unwavering Faith",,,,,,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"L119","Military Masterpiece",,,,,,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"L120",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"L121","Winning Move",,,,,,78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"L122",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"L123",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"L124",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"L125",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"L126",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"L127",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"L128",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"L129",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"L130",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"L131",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"L132",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"L133",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"L134",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"L135",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"L136",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"L137",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"L138",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"L139",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"L140",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"L141",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"L142",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"L143",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"L144",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"L145",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"L146",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"L147",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"L148",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"L149",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"L150",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"L151",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"L152",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"L153",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"L154",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"L155",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"L156",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"L157",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"L158",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"L159",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"L160",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"L161",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"L162",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
