"ID","p1_skin","p1_face","p1_hair","p1_eyebrow","p1_eye","p1_beard","p1_mouth","p1_head","p1_neck","p1_body","p1_r_arm_up","p1_r_arm_low","p1_r_hand","p1_l_arm_up","p1_l_arm_low","p1_l_hand","p1_r_leg_up","p1_r_leg_low","p1_l_leg_up","p1_l_leg_low","p1_r_foot","p1_l_foot","p1_special","p1_primary_main_weapon","p1_primary_sub_weapon","p1_secondary_main_weapon","p1_secondary_sub_weapon","p2_skin","p2_face","p2_hair","p2_eyebrow","p2_eye","p2_beard","p2_mouth","p2_head","p2_neck","p2_body","p2_r_arm_up","p2_r_arm_low","p2_r_hand","p2_l_arm_up","p2_l_arm_low","p2_l_hand","p2_r_leg_up","p2_r_leg_low","p2_l_leg_up","p2_l_leg_low","p2_r_foot","p2_l_foot","p2_special","p2_primary_main_weapon","p2_primary_sub_weapon","p2_secondary_main_weapon","p2_secondary_sub_weapon","p3_skin","p3_face","p3_hair","p3_eyebrow","p3_eye","p3_beard","p3_mouth","p3_head","p3_neck","p3_body","p3_r_arm_up","p3_r_arm_low","p3_r_hand","p3_l_arm_up","p3_l_arm_low","p3_l_hand","p3_r_leg_up","p3_r_leg_low","p3_l_leg_up","p3_l_leg_low","p3_r_foot","p3_l_foot","p3_special","p3_primary_main_weapon","p3_primary_sub_weapon","p3_secondary_main_weapon","p3_secondary_sub_weapon","p4_skin","p4_face","p4_hair","p4_eyebrow","p4_eye","p4_beard","p4_mouth","p4_head","p4_neck","p4_body","p4_r_arm_up","p4_r_arm_low","p4_r_hand","p4_l_arm_up","p4_l_arm_low","p4_l_hand","p4_r_leg_up","p4_r_leg_low","p4_l_leg_up","p4_l_leg_low","p4_r_foot","p4_l_foot","p4_special","p4_primary_main_weapon","p4_primary_sub_weapon","p4_secondary_main_weapon","p4_secondary_sub_weapon"
"Old Egyptian Chariot","Brown","Common","Short,Black","Normal,Black","Normal,Black",,"Normal","Early",,"Early","Early","Early","Early","Early","Early","Early","Early","Early","Early","Early","Early","Early","Early","Composite","Common","Common","Common",,,"Normal,Brown",,"Normal,Black",,,"Egyptian","Egyptian","Egyptian","Egyptian","Egyptian","Egyptian","Egyptian","Egyptian","Egyptian","Egyptian","Egyptian","Egyptian","Egyptian","Egyptian","Egyptian","Egyptian",,,,,,,"Normal,Brown",,"Normal,Black",,,"Egyptian","Egyptian","Egyptian","Egyptian","Egyptian","Egyptian","Egyptian","Egyptian","Egyptian","Egyptian","Egyptian","Egyptian","Egyptian","Egyptian","Egyptian","Egyptian",,,,,,,,,,,,"Egyptian","Egyptian","Egyptian","Egyptian","Egyptian","Egyptian","Egyptian","Egyptian","Egyptian","Egyptian","Egyptian","Egyptian","Egyptian","Egyptian","Egyptian","Egyptian",,,,
"Tribal African Light","Black","Common","Short,Black","Normal,Black","Normal,Black",,"Normal","Desert Tribal",,"Desert Tribal","Desert Tribal","Desert Tribal","Desert Tribal","Desert Tribal","Desert Tribal","Desert Tribal","Desert Tribal","Desert Tribal","Desert Tribal","Desert Tribal","Desert Tribal","Desert Tribal","Desert Tribal","Common","Common","Common","Common",,,"Normal,Brown",,"Normal,Black",,,"Early","Early","Early","Early","Early","Early","Early","Early","Early","Early","Early","Early","Early","Early","Early","Early",,,,,,,"Normal,Brown",,"Normal,Black",,,"Early","Early","Early","Early","Early","Early","Early","Early","Early","Early","Early","Early","Early","Early","Early","Early",,,,,,,,,,,,"Early","Early","Early","Early","Early","Early","Early","Early","Early","Early","Early","Early","Early","Early","Early","Early",,,,
"Old Egyptian Noble","Brown","Common","Short,Black","Normal,Black","Normal,Black",,"Normal","Early",,"Early","Early","Early","Early","Early","Early","Early","Early","Early","Early","Early","Early","Early","Early","Common","Common","Common","Common",,,"Normal,Brown",,"Normal,Black",,,"Egyptian","Egyptian","Egyptian","Egyptian","Egyptian","Egyptian","Egyptian","Egyptian","Egyptian","Egyptian","Egyptian","Egyptian","Egyptian","Egyptian","Egyptian","Egyptian",,,,,,,"Normal,Brown",,"Normal,Black",,,"Egyptian","Egyptian","Egyptian","Egyptian","Egyptian","Egyptian","Egyptian","Egyptian","Egyptian","Egyptian","Egyptian","Egyptian","Egyptian","Egyptian","Egyptian","Egyptian",,,,,,,,,,,,"Egyptian","Egyptian","Egyptian","Egyptian","Egyptian","Egyptian","Egyptian","Egyptian","Egyptian","Egyptian","Egyptian","Egyptian","Egyptian","Egyptian","Egyptian","Egyptian",,,,
"Old Greek Heavy",,"Common","Short,Brown","Normal,Brown","Normal,Brown",,"Normal","Ancient Greek",,"Ancient Greek","Ancient Greek","Ancient Greek","Ancient Greek","Ancient Greek","Ancient Greek","Ancient Greek","Ancient Greek","Ancient Greek","Ancient Greek","Ancient Greek","Ancient Greek","Ancient Greek","Ancient Greek","Ancient Greek","Ancient Greek","Ancient Greek","Ancient Greek",,,"Normal,Brown",,"Normal,Black",,,,,,,,,,,,,,,,,,,,,,,,,"Normal,Brown",,"Normal,Black",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Canaan Light","Brown","Common","Short,Black","Normal,Black","Normal,Black",,"Normal","Desert Tribal",,"Desert Tribal","Desert Tribal","Desert Tribal","Desert Tribal","Desert Tribal","Desert Tribal","Desert Tribal","Desert Tribal","Desert Tribal","Desert Tribal","Desert Tribal","Desert Tribal","Desert Tribal","Desert Tribal","Common","Common","Common","Common",,,"Normal,Brown",,"Normal,Black",,,"Early","Early","Early","Early","Early","Early","Early","Early","Early","Early","Early","Early","Early","Early","Early","Early",,,,,,,"Normal,Brown",,"Normal,Black",,,"Early","Early","Early","Early","Early","Early","Early","Early","Early","Early","Early","Early","Early","Early","Early","Early",,,,,,,,,,,,"Canaan Noble","Canaan Noble","Canaan Noble","Canaan Noble","Canaan Noble","Canaan Noble","Canaan Noble","Canaan Noble","Canaan Noble","Canaan Noble","Canaan Noble","Canaan Noble","Canaan Noble","Canaan Noble","Canaan Noble","Canaan Noble",,,,
"Canaan Noble","Brown","Common","Short,Black","Normal,Black","Normal,Black",,"Normal","Early",,"Early","Early","Early","Early","Early","Early","Early","Early","Early","Early","Early","Early","Early","Early","Common","Common","Common","Common",,,"Normal,Brown",,"Normal,Black",,,"Canaan Noble","Canaan Noble","Canaan Noble","Canaan Noble","Canaan Noble","Canaan Noble","Canaan Noble","Canaan Noble","Canaan Noble","Canaan Noble","Canaan Noble","Canaan Noble","Canaan Noble","Canaan Noble","Canaan Noble","Canaan Noble",,,,,,,"Normal,Brown",,"Normal,Black",,,"Canaan Noble","Canaan Noble","Canaan Noble","Canaan Noble","Canaan Noble","Canaan Noble","Canaan Noble","Canaan Noble","Canaan Noble","Canaan Noble","Canaan Noble","Canaan Noble","Canaan Noble","Canaan Noble","Canaan Noble","Canaan Noble",,,,,,,,,,,,"Canaan Noble","Canaan Noble","Canaan Noble","Canaan Noble","Canaan Noble","Canaan Noble","Canaan Noble","Canaan Noble","Canaan Noble","Canaan Noble","Canaan Noble","Canaan Noble","Canaan Noble","Canaan Noble","Canaan Noble","Canaan Noble",,,,
"Landsknecht",,"Block","Short,Brown","Normal,Brown","Normal,Brown","Verdi,Gold","Normal","Landsknecht","Common","Landsknecht","Landsknecht","Landsknecht","Landsknecht","Landsknecht","Landsknecht","Landsknecht","Landsknecht","Landsknecht","Landsknecht","Landsknecht","Landsknecht","Landsknecht","Landsknecht","Zweihänder","Common","Common","Common",,,"Normal,Brown",,"Normal,Black",,,,,,,,,,,,,,,,,,,,,,,,,"Normal,Brown",,"Normal,Black",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Medieval Knight",,"Roman","Short,Brown","Normal,Brown","Normal,Brown",,"Normal","European",,"European","European","European","European","European","European","European","European","European","European","European","European","European","European","Common","Common","Common","Common",,,"Normal,Brown",,"Normal,Black",,,,,,,,,,,,,,,,,,,,,,,,,"Normal,Brown",,"Normal,Black",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Janissary Heavy","Brown","Hawk","Short,Black","Normal,Black","Normal,Black","Mustache,Black","Normal","Janissary Heavy",,"Janissary Heavy","Janissary Heavy","Janissary Heavy","Janissary Heavy","Janissary Heavy","Janissary Heavy","Janissary Heavy","Janissary Heavy","Janissary Heavy","Janissary Heavy","Janissary Heavy","Janissary Heavy","Janissary Heavy","Janissary Heavy","Scimitar","Leather","Scimitar","Leather",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Janissary Gun","Brown","Hawk","Short,Black","Normal,Black","Normal,Black","Mustache,Black","Normal","Janissary Gun",,"Janissary Gun","Janissary Gun","Janissary Gun",,"Janissary Gun","Janissary Gun",,"Janissary Gun","Janissary Gun","Janissary Gun","Janissary Gun","Janissary Gun","Janissary Gun","Janissary Gun","Common","Common","Common","Common",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Janissary Bow","Brown","Hawk","Short,Black","Normal,Black","Normal,Black","Mustache,Black","Normal","Janissary Bow",,"Janissary Bow","Janissary Bow","Janissary Bow",,"Janissary Bow","Janissary Bow",,"Janissary Bow","Janissary Bow","Janissary Bow","Janissary Bow","Janissary Bow","Janissary Bow","Janissary Bow","Common","Common","Common","Common",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Janissary Light","Brown","Hawk","Short,Black","Normal,Black","Normal,Black","Mustache,Black","Normal","Janissary Gun",,"Janissary Gun","Janissary Gun","Janissary Gun",,"Janissary Gun","Janissary Gun",,"Janissary Gun","Janissary Gun","Janissary Gun","Janissary Gun","Janissary Gun","Janissary Gun","Janissary Gun","Scimitar","Leather","Common","Common",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Azap","Brown","Hawk","Short,Black","Normal,Black","Normal,Black","Mustache,Black","Normal","Azap",,"Azap","Azap","Azap",,"Azap","Azap",,"Azap","Azap","Azap","Azap","Azap","Azap","Azap","Common","Common","Scimitar","Common",,,"Normal,Brown",,"Normal,Black",,,"Common","Common","Common","Common","Common","Common","Common","Common","Common","Common","Common","Common","Common","Common","Common","Common",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sipahi Light","Brown","Hawk","Short,Black","Normal,Black","Normal,Black","Mustache,Black","Normal","Sipahi",,"Janissary Bow","Janissary Bow","Janissary Bow",,"Janissary Bow","Janissary Bow",,"Janissary Bow","Janissary Bow","Janissary Bow","Janissary Bow","Janissary Bow","Janissary Bow","Janissary Bow","Janissary Bow","Janissary Bow","Janissary Bow","Janissary Bow",,,"Normal,Brown",,"Normal,Black",,,"Common","Common","Common","Common","Common","Common","Common","Common","Common","Common","Common","Common","Common","Common","Common","Common",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sipahi Heavy","Brown","Hawk","Short,Black","Normal,Black","Normal,Black","Mustache,Black","Normal","Sipahi",,"Sipahi","Sipahi","Sipahi","Sipahi","Sipahi","Sipahi","Sipahi","Sipahi","Sipahi","Sipahi","Sipahi","Sipahi","Sipahi","Sipahi","Common","Common","Common","Steel",,,"Normal,Brown",,"Normal,Black",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Kapikulu","Brown","Hawk","Short,Black","Normal,Black","Normal,Black","Mustache,Black","Normal","Sipahi",,"Sipahi","Sipahi","Sipahi","Sipahi","Sipahi","Sipahi","Sipahi","Sipahi","Sipahi","Sipahi","Sipahi","Sipahi","Sipahi","Sipahi","Common","Common","Common","Steel",,,"Normal,Brown",,"Normal,Black",,,"Ottoman","Ottoman","Ottoman","Ottoman","Ottoman","Ottoman","Ottoman","Ottoman","Ottoman","Ottoman","Ottoman","Ottoman","Ottoman","Ottoman","Ottoman","Ottoman",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ottoman Cannon","Brown","Hawk","Short,Black","Normal,Black","Normal,Black","Mustache,Black","Normal","Azap",,"Azap","Azap","Azap",,"Azap","Azap",,"Azap","Azap","Azap","Azap","Azap","Azap","Azap","Common","Common","Common","Common","Brown",,"Short,Black","Normal,Black","Normal,Black","Mustache,Black","Normal","Azap","Janissary Gun","Janissary Gun","Janissary Gun","Janissary Gun","Janissary Gun","Janissary Gun","Janissary Gun","Janissary Gun","Janissary Gun","Janissary Gun","Janissary Gun","Janissary Gun","Janissary Gun","Janissary Gun","Janissary Gun","Common","Common","Common","Common",,,,,,,,"Common",,"Common","Common","Common","Common","Common","Common","Common","Common","Common","Common","Common","Common",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Hungarian Renaissance Knight",,"Greek","Short,Brown","Normal,Brown","Normal,Brown",,"Normal","Sallet",,"Common","Common","Common","Common","Common","Common","Common","Common","Common","Common","Common","Common","Common","Common","Knight","Hungarian","Common","Common",,,"Normal,Brown",,"Normal,Black",,,"Common","Common","Common","Common","Common","Common","Common","Common","Common","Common","Common","Common","Common","Common","Common","Common",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Hungarian Renaissance Infantry",,"Greek","Short,Brown","Normal,Brown","Normal,Brown",,"Normal","Hungarian",,"Hungarian","Hungarian","Hungarian",,"Hungarian","Hungarian",,"Hungarian","Hungarian","Hungarian","Hungarian","Hungarian","Hungarian","Hungarian","Common","Hungarian","Common","Common",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Hungarian Hussar",,"Greek","Short,Brown","Normal,Brown","Normal,Brown","Mustache,Brown","Normal","Hungarian Hussar",,"Hungarian Hussar","Hungarian Hussar","Hungarian Hussar",,"Hungarian Hussar","Hungarian Hussar",,"Hungarian Hussar","Hungarian Hussar","Hungarian Hussar","Hungarian Hussar","Hungarian Hussar","Hungarian Hussar","Hungarian Hussar","Common","Hungarian","Common","Common",,,"Normal,Brown",,"Normal,Black",,,"Common","Common","Common","Common","Common","Common","Common","Common","Common","Common","Common","Common","Common","Common","Common","Common",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Hamster",,"Greek","Short,Brown","Normal,Brown","Normal,Brown","Beard,Black","Normal","Hamster",,"Hamster","Hamster","Hamster","Hamster","Hamster","Hamster","Hamster","Hamster","Hamster","Hamster","Hamster","Hamster","Hamster","Hamster","Hamster","Hamster","Hamster","Hamster",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Renaissance Mercenary",,"Greek","Short,Brown","Normal,Brown","Normal,Brown","Verdi,Brown","Normal","Medieval Mercenary","Medieval Mercenary","Medieval Mercenary","Medieval Mercenary","Medieval Mercenary","Medieval Mercenary","Medieval Mercenary","Medieval Mercenary","Medieval Mercenary","Medieval Mercenary","Medieval Mercenary","Medieval Mercenary","Medieval Mercenary","Medieval Mercenary","Medieval Mercenary","Medieval Mercenary","Common","Common","Common","Common",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
