"ID","Name","Health","Authority","Melee Command","Range Command","Cavalry Command","Combat","Social Class","Trait","Ability","Mana","Race","Description"
17,"Bigboy",2000,15,3,0,0,8,1,15,17,0,1,
18,"Rodhinbar Leafleft Rora",1100,67,5,9,2,7,3,,18,,1,"Militia trainer and leader of Leafleft village. Proficient in bow and close combat. Rodhinbar hardly ever left his village due to being far from the country's border and warzone. Such peace means that he had not fully utilised his skill and seen the horror of war.  "
19,"Savalorse",1000,50,4,7,1,3,4,,19,,1,
20,"Ladun Ladanlasia Makan Og Gumdmoiq",1450,74,8,5,3,8,7,,20,,1,
21,"Venswa",900,85,2,6,2,3,7,,21,,1,
22,"Dohejah",1000,14,3,7,1,8,2,,22,,1,
23,"Venvilov of House Tarlsov",1000,95,6,6,3,2,7,,23,,1,
24,"Garun",1300,79,7,5,2,7,7,,24,,1,
25,"Saqir the Pitiful",1000,86,8,9,8,4,7,,25,,1,"There is no other king in history more pitiful than Saqir the Pitiful. Despite his talent and ingenious rulership, he just simply cannot overcome his extraordinarily bad luck. His country will fall to ruin no matter what he accomplishes as he can only delay the inevitable and he himself aware of such fact. Can the course of history be changed by unseen external being or the card of fate cannot be turned over."
26,"Solwal",1500,64,7,4,3,7,4,,26,,1,
27,"Zy",1000,30,4,4,4,5,3,,27,,1,
28,"Old Man Hona the Sacred Flame",50000,42,1,1,1,10,2,26,28,,1,
29,"Bahmarn the Eternal",50000,68,4,1,1,10,2,27,29,,1,
30,"Elmaliern",500,22,1,1,1,1,3,,30,,1,
31,"Tulia",1100,70,5,9,4,4,4,,31,,1,
32,"Adaqua",1100,64,3,8,1,5,2,,32,,1,"De Facto leader of Saennrae (Goods Muggers) bandit gang operating near the border forest of the Ralsarn Kingdom, born of an unknown father and mother. Adaqua has a natural talent with the way of mobile archery, a gift that unfortunately has never been recognised. Her bandit gang is well-known for ambush tactics against patrols and merchant caravans with a perfect success record. However, soon the future will come when mere survival with a life of banditry will no longer be enough. Will a close-knitted group of savages be able to settle into a sustainable community? Or will they roam the earth until their descendants are wiped out by the ever-growing civilise military forces?  "
33,"Feydiavy",1300,44,5,1,1,8,3,,33,,1,
34,"Miyilya Cui An",1000,75,6,7,2,3,2,,34,,1,
35,"Parna Roldorn",1200,88,6,4,8,7,4,,35,0,1,
36,"Vraesier",10000,27,7,1,1,10,2,,36,,1,"There is a tale of an abomination entity that resides in the Forest of Skangra. This mysterious creature has one eye and wears the skin of a female clad in tattered armour and swing its monstrously huge great sword at whoever crosses its path. Rumour is that this creature once was seen talking to another similar female creature or even travelling together. Nobody knows where they came from or why they stalked the forest, but the first sighting was around 20 years ago by the hunter whose arm got chopped off."
37,"Nraesier",10000,53,5,4,1,9,2,,37,,1,
38,"Niavesia the Royal Knight",1300,85,9,5,4,8,4,8,38,,1,"Captain of the elite royal guard unit, Milingrels. The Protector of Tower Throne. She is born into a soldier family and discovers talent in fighting at a young age. After proving herself in the Trial of Giasarost at age 20, she becomes the personal bodyguard to the royal family of Werlermar House. "
39,"Eona Suermphael",400,41,2,2,1,1,3,,39,,1,
40,"Ralaviel",1500,,,,,7,4,,40,,1,
41,"Aunnial the Holy Maiden",25000,90,8,2,1,10,6,"13,21,26",41,,1,"Out of 10 Holy Maidens that show the most aptitude to ""Holy"" magic in Valle, Aunnial is the only one that passed the Night of Suffering Ritual at age 9, which make her the fourth Holy Maiden in history that passed it. Her ability to channel the magic is far above even some of the most powerful wizards. Although lacking in combat and leadership proficiency, her role as the Holy Maiden and the belief that she will protect the country from all evils make her authority reaching to the point of worshipping."
42,"Liwa of House Tarlsov",800,95,6,8,4,1,7,,42,,1,"The Empire of Flowers is at risk of invasion from all side, with the fall of Masendor and the rise of the commoner king is the foretold of the end of an era. To safeguard her empire, empress Liwa Tarlsorv strengthens her resolve to unite humanity together against the threat of corruption despite her husband more liberal rulership. Only when united against the common threat can the human race survive in this harsh and unforgiving world.  "
43,"Pao La Sin",1400,71,6,8,3,5,7,,43,,1,
44,"Sasinola",300,10,1,2,0,0,3,,44,,1,
45,"Ab",400,21,,,,1,2,,45,0,1,
46,"Unsi Ed and Ana Bi",4200,4,3,9,1,8,0,,46,,1,
47,"Cenelalenie",600,39,1,1,1,1,2,,47,,1,
48,"Sonagsha",5000,17,0,2,0,4,2,,48,,1,
49,"Mounniley Leitanonde",1800,86,8,4,2,8,6,,49,,1,"I am Mounniley Leitanonde and I am called a hero by some, even a villain by some others. This is not the story of my journey but rather the story of this world. I am a mere character in it and I will act accordingly. My hero companions will accompany me through this road of a godless dream until this world is no more."
50,"Porcehwik",1000,64,,,,,4,,50,,1,
51,"Lekinsie",1000,,,,,,5,,51,,1,
52,"Odtamile",1000,,,,,,5,,52,,1,
53,"Enshomair Aokubaredy",1000,,,,,,4,,53,,1,
54,"Da Kedeus",1000,,,,,,2,,54,,1,
55,"Amgarn Maltine",1300,35,10,0,1,9,2,,55,,1,
56,"Gonse the Small Face",1000,,,,,,2,,56,,1,
57,"Kirnharl",1100,64,7,7,3,7,1,,57,,1,
58,"Raenid the Hero",300,5,0,0,0,1,2,,58,,1,
59,"Maslilna Jarlyagun",,,,,,,1,,59,,1,
60,"Laggail Arsolases",,,,,,,5,,60,,1,
61,"Arlarges Morkilnung",1100,,6,9,2,8,1,,61,,1,
62,"Sinanliae",,,,,,,1,,62,,1,
63,"Del Ghern",,,,,,,,,63,,1,
64,"Nadvalin",,,,,,,2,,64,,1,
65,"Duhon",,,,,,,2,,65,,1,
66,"Badunoh",,,,,,,3,,66,,1,
67,"Mavilros",,,,,,,7,,67,,1,
68,"Havill",,,,,,,4,,68,,1,
69,"Nemhus",,,,,,,7,,69,,1,
70,"Luentose",,,,,,,3,,70,,1,
71,"Herlernish",,,,,,,4,,71,,1,
72,"Vurus",1100,76,7,7,6,4,4,,72,,1,
73,"Adupelel",,,,,,,1,,73,,1,
74,"Unique Bek",800,30,3,3,3,3,2,,74,,1,
75,"Op Pajulu",1100,,,,,,4,,75,,1,
76,"Taladamun",,,,,,,1,,76,,1,
77,"Ladarnsuds",,,,,,,1,,77,,1,
78,"Mohge",,,,,,,4,,78,,1,
79,"Mengkja",,,,,,,7,,79,,1,
80,"Tanrsakt",,,,,,,2,,80,,1,
81,"Benjgai",,,,,,,1,,81,,1,
82,"Kadeloner",,,,,,,3,,82,,1,
83,"Okounyethh",,,,,,,,,,,,
84,"Diagieze",,,,,,,2,,83,,1,
85,"Nadinsorn",,,,,,,2,,84,,1,
86,"Nenwu",,,,,,,4,,85,,1,
87,"Lapilna",,,,,,,2,,86,,1,
88,"Uamalilana",,,,,,,2,,87,,1,
89,"Arltii",,,,,,,4,,88,,1,
90,"Shini",1300,,,,,,2,,89,,1,
91,"Armina",,,,,,,4,,90,,1,
92,"Landemes",,,,,,,1,,91,,1,
93,"Palanaulny",,,,,,,,,92,,1,
94,"Mal Nai Larn",,,,,,,,,93,,1,
95,"Saihali",,,,,,,,,94,,1,
96,"Monnirl Maaeir",,,,,,,,,95,,1,
97,"Dellin",,,,,,,,,96,,1,
98,"Masitha",,,,,,,,,97,,1,
99,"Lannoire",,,,,,,,,98,,1,
100,"Walantah",,,,,,,,,99,,1,
101,"Sanlelly",,,,,,,,,100,,1,
102,"Thashilu the Traveller",3760,81,3,6,2,7,7,,101,,2,
103,"Amupadeble",7100,6,8,0,1,9,6,,102,,2,
104,"Mapolous",1600,61,3,7,3,2,2,,103,,2,
105,"Tetemris",2500,,8,5,4,8,3,,104,,2,
106,"Jeiloule Horgoiastes",1600,,,,,,4,,105,,2,
107,"Pakakvadi The Exalted",1730,84,,,,,5,,106,,2,
108,"Omshla",2200,,,,,,1,,107,,2,
109,"Avalkari Ulkunna",,,,,,,1,,108,,2,
110,"Toosiavi",,,,,,,2,,109,,2,
111,"Bulivanu",,,,,,,1,,110,,2,
112,"Filia",1600,22,,,,,1,,111,,2,
113,"Nalana",,,,,,,1,,112,,2,
114,"Mashalue",,,,,,,7,,113,,2,
115,"Esluoya",,,,,,,1,,114,,2,
116,"Bavala Ellsarnlelr",,96,,,,,7,,115,,2,
117,"Foarsulen Wanlastress",,,,,,,2,,116,,2,
118,"Shicilana",,,,,,,1,,117,,2,
119,"Nayedien the Traitor of Elvenkind",3405,15,8,4,1,9,1,,118,,2,
120,"Lanslina",,,,,,,3,,119,,2,
121,"Raulnarn Varnkerllamer",,,,,,,,,120,,2,
122,"Arerenalln Varnkerllamer",,,,,,,,,121,,2,
123,"Nawgela",,,,,,,,,122,,2,
124,"Dasmalon",,,,,,,,,123,,2,
125,"Lomislensa Elpoie",,,,,,,,,124,,2,
126,"Rludly",,,,,,,,,125,,2,
127,"Piaerlun Keldonanwel",,,,,,,,,126,,2,
128,"Kalimny Lokumaquin",,,,,,,,,127,,2,
129,"Vinellan",,,,,,,,,128,,2,
130,"The Forgotten",,,,,,,,,129,,2,
131,"Sarkarli the Goldenleaf",,,,,,,,,130,,2,
132,"Sofelon the Ironleaf",,,,,,,,,131,,2,
133,"Verlindas",,,,,,,,,132,,2,
134,"Maalnlious",,,,,,,,,133,,2,
135,"Banagasuk",,,,,,,,,134,,2,
136,"Migial",,,,,,,,,135,,2,
137,"Amasliare",,,,,,,,,136,,2,
138,"Laminsan",,,,,,,,,137,,2,
139,"Nunvillae",,,,,,,,,138,,2,
140,"Namena",,,,,,,,,139,,2,
141,"Vellese",,,,,,,,,140,,2,
142,"Kaweina",,,,,,,,,141,,2,
143,"Salansan",,,,,,,,,142,,2,
144,,,,,,,,,,,,,
145,,,,,,,,,,,,,
146,,,,,,,,,,,,,
147,,,,,,,,,,,,,
148,,,,,,,,,,,,,
149,,,,,,,,,,,,,
150,,,,,,,,,,,,,
151,,,,,,,,,,,,,
152,,,,,,,,,,,,,
153,,,,,,,,,,,,,
154,,,,,,,,,,,,,
155,,,,,,,,,,,,,
156,,,,,,,,,,,,,
157,,,,,,,,,,,,,
158,,,,,,,,,,,,,
159,,,,,,,,,,,,,
160,,,,,,,,,,,,,
161,,,,,,,,,,,,,
162,,,,,,,,,,,,,
163,,,,,,,,,,,,,
164,,,,,,,,,,,,,
165,,,,,,,,,,,,,
166,,,,,,,,,,,,,
167,,,,,,,,,,,,,
168,,,,,,,,,,,,,
169,,,,,,,,,,,,,
170,,,,,,,,,,,,,
171,,,,,,,,,,,,,
172,,,,,,,,,,,,,
173,,,,,,,,,,,,,
174,,,,,,,,,,,,,
175,,,,,,,,,,,,,
176,,,,,,,,,,,,,
177,,,,,,,,,,,,,
178,,,,,,,,,,,,,
179,,,,,,,,,,,,,
180,,,,,,,,,,,,,
181,,,,,,,,,,,,,
182,,,,,,,,,,,,,
183,,,,,,,,,,,,,
184,,,,,,,,,,,,,
185,,,,,,,,,,,,,
186,,,,,,,,,,,,,
187,,,,,,,,,,,,,
188,,,,,,,,,,,,,
