"ID","Name","Race","Strength","Dexterity","Agility","Constitution","Intelligence","Wisdom","Charisma","Melee Speciality","Range Speciality","Cavalry Speciality","Social Class","Primary Main Weapon","Primary Sub Weapon","Secondary Main Weapon","Secondary Sub Weapon","Armour","Mount","Charge Skill","Skill","Trait","Formation","Sprite ID","Faction","Tag"
"NOR-11","William of Warenne",1,47,60,55,58,50,58,53,5,5,5,4,"2,4",,,,"5,4","2,3,14",21,"L28",,"Line","Norman Leader",1,"Leader"
"NOR-12","William Malet",1,53,51,46,47,71,65,51,6,5,5,4,"2,4",,,,"5,4","2,3,14",21,"L19",,"Line","Norman Leader",1,"Leader"
"NOR-13","Odo of Bayeux",1,66,62,59,60,76,71,80,5,5,5,4,"7,5",,,,"5,4","2,3,14",21,"L6",,"Line","Odo",1,"Leader"
"NOR-14","Turstin FitzRolf",1,54,57,49,55,57,54,52,4,3,5,3,"52,4",,"2,4",,"5,4","2,3,14",21,"L17",,"Line","Turstin",1,"Supporter"
"NOR-15","Geoffrey of Montbray",1,69,65,64,68,42,41,67,6,5,5,4,"2,4",,,,"5,4","2,3,14",21,"L6",,"Line","Norman Leader",1,"Leader"
"NOR-16","Robert of Mortain",1,62,54,61,62,63,47,78,5,5,5,4,"2,4",,,,"5,4","2,3,14",21,"L3",,"Line","Norman Leader",1,"Leader"
"NOR-17","Wadard",1,58,60,63,59,61,58,54,4,3,5,3,"51,4","39,4",,,"5,4","2,3,14",19,"L21",,"Line","Norman Leader",1,"Warrior"
"NOR-18","Vital",1,55,62,58,52,63,57,47,5,4,6,3,"51,4","39,4",,,"5,4","2,3,14",19,"L33",,"Line","Norman Leader",1,"Warrior"
"NOR-19","Gilbert of Auffay",1,61,45,54,60,47,52,55,4,4,4,4,"2,4",,,,"5,4","2,3,14",21,"L47",,"Line","Norman Leader",1,"Warrior"
"NOR-20","Humphrey I",1,59,64,58,53,68,64,60,6,5,6,4,"2,4",,,,"5,4","2,3,14",21,"L19",,"Line","Norman Leader Brown Beard",1,"Supporter"
"NOR-21","Engenulf of Laigle",1,40,57,36,35,46,49,45,3,3,4,4,"2,4",,,,"5,4","2,3,14",21,"L21",,"Line","Norman Leader",1,"Supporter"
"NOR-22","Richard FitzGilbert",1,47,42,45,60,56,48,40,4,2,4,4,"2,4",,,,"5,4","2,3,14",21,"L17",,"Line","Norman Leader",1,"Supporter"
"NOR-23","Taillefer",1,70,89,82,74,68,71,73,1,2,1,2,"2,3",,,,"5,3","2,3,14",19,"L2",,"Bar","Taillefer",1,"Warrior"
"NOR-24",,,,,,,,,,,,,,,,,,,,,,,,,,
"NOR-25","Richard of Évreux",1,52,56,55,58,62,67,64,5,5,6,4,"2,4",,,,"5,4","2,3,14",21,"L19",,"Line","Norman Leader",1,"Leader"
"NOR-26","Baldwin FitzGilbert",1,46,49,48,60,68,70,67,4,5,4,4,"2,4",,,,"5,4","2,3,14",21,"L17",,"Line","Norman Leader",1,"Leader"
"NOR-27","Errand of Harcourt",1,64,70,71,64,60,63,61,4,7,4,4,,,,,,"2,4,14",,,,,,,
"NOR-28","Robert of Harcourt",1,80,68,73,70,58,60,65,6,5,5,4,,,,,,,,,,,,,
"NOR-29","Gilbert II Crispin",1,58,63,63,66,60,58,65,6,5,5,4,"2,4",,,,"5,4","2,3,14",21,,,"Line","Norman Leader",1,"Leader"
"NOR-30","William Crispin",1,59,60,60,68,62,60,66,5,6,6,4,"2,4",,,,"5,4","2,3,14",21,,,"Line","Norman Leader",1,"Leader"
"NOR-31","Henry of Ferrers",1,50,55,48,65,75,78,74,3,5,6,4,,,,,,,,,,,,1,
"NOR-32","Roger of Beaumont",1,63,64,52,71,86,90,86,6,7,8,4,,,,,,,,,,,"Norman Leader Brown Beard",1,
"NOR-33",,,,,,,,,,,,,,,,,,,,,,,,,,
"NOR-34","Guy of la Val II",1,,,,,,,,,,,,,,,,,,,,,,,1,
"NOR-35","Hamon of la Val",1,,,,,,,,,,,,,,,,,,,,,,,1,
"NOR-36","Guy of la Val III",1,,,,,,,,,,,,,,,,,,,,,,,1,
"NOR-37","Rogier of Montgomeri",1,54,53,57,58,80,91,88,7,7,7,4,,,,,,,,,,,,1,
"NOR-38","Roger Bigod",1,64,67,46,51,57,53,68,4,4,6,4,,,,,,,,,,,,1,
"NOR-39","Richard of Courcy",1,58,61,68,70,63,71,60,4,3,6,4,,,,,,,,,,,,1,
"NOR-40","William of Aubigny",1,,,,,,,,,,,,,,,,,,,,,,,1,
"NOR-41","William of Vieuxpont",1,,,,,,,,,,,,,,,,,,,,,,,1,
"NOR-42","Raoul II of Taisson",1,,,,,,,,,,,,,,,,,,,,,,,1,
"NOR-43","William of Molins",1,81,86,75,83,47,44,38,8,6,8,4,,,,,,,,,,,,1,
"NOR-44","Hugh III of Gournay",1,,,,,,,,,,,,,,,,,,,,,,,1,
"NOR-45","William I of Moyon",1,,,,,,,,,,,,,,,,,,,,,,,1,
"NOR-46","Eudo al Chapel",1,,,,,,,,,,,,,,,,,,,,,,,1,
"NOR-47","Fulk of Aulney",1,53,47,59,54,48,45,40,2,2,4,4,,,,,,,,,,,,1,
"NOR-48","Robert I FitzErneis",1,55,43,41,43,50,53,46,4,3,4,4,,,,,,,,,,,,1,
"NOR-49","Richard of Neville",1,,,,,,,,,,,,,,,,,,,,,,,1,
"NOR-50","Niel II of Saint-Sauveur",1,64,68,70,71,65,70,64,6,3,6,4,,,,,,,,,,,,1,
"NOR-51","Urse D’Abitot",1,,,,,,,,,,,,,,,,,,,,,,,1,
"NOR-52","Walter of Lacy ",1,73,37,42,60,58,65,63,5,4,6,4,,,,,,,,,,,,1,
"NOR-53","Ilbert of Lacy ",1,64,68,67,65,51,53,54,4,5,6,4,,,,,,,,,,,,1,
"NOR-54","Robert of Vassy",1,62,58,60,62,64,60,68,5,5,5,4,,,,,,,,,,,,1,
"NOR-55","Ivo of Vassy",1,60,55,67,67,60,64,62,3,4,6,,,,,,,,,,,,,1,
"NOR-56","Robert Marmion",1,62,64,53,64,58,64,63,5,4,5,4,,,,,,,,,,,,1,
"NOR-57","William of Percy",1,,,,,,,,,,,,,,,,,,,,,,,1,
"NOR-58","William Patrie",1,64,62,58,68,63,59,63,5,5,7,4,,,,,,,,,,,,1,
"NOR-59","William Avenel",1,48,56,52,57,65,54,46,4,4,3,4,,,,,,,,,,,,1,
"NOR-60","Bernard of St.Valeri",1,,,,,,,,,,,,,,,,,,,,,,,1,
"NOR-61","Robert of Oyly",1,53,62,58,64,71,75,81,6,5,7,4,,,,,,,,,,,,1,
"NOR-62","Jean of Ivri",1,51,58,60,58,67,61,63,4,4,5,4,,,,,,,,,,,,1,
"NOR-63","Raoul of Fougeres",1,,,,,,,,,,,,,,,,,,,,,,,1,
"NOR-64",,,,,,,,,,,,,,,,,,,,,,,,,1,
"NOR-65","William Painel",1,75,68,71,70,60,53,61,6,5,5,4,,,,,,,,,,,,1,
"NOR-66","Avenel of Biarz",1,,,,,,,,,,,,,,,,,,,,,,,1,
"NOR-67","Robert Bertram the Crooked",1,72,79,80,67,58,51,31,3,3,8,,,,,,,,,,,,,1,
"NOR-68","Walter of Aincourt",1,,,,,,,,,,,,,,,,,,,,,,,1,
"NOR-69","Samson of Ansneville",1,,,,,,,,,,,,,,,,,,,,,,,1,
"NOR-70","William of Say",1,62,62,56,62,60,58,58,5,4,5,4,,,,,,,,,,,,1,
"NOR-71","Robert of Say",1,57,60,58,66,65,62,64,4,5,5,4,,,,,,,,,,,,1,
"NOR-72","Hugh of Port",1,54,53,50,65,72,75,72,6,3,6,4,,,,,,,,,,,,1,
"NOR-73","William Paverel",1,52,58,42,68,64,72,70,6,7,6,4,,,,,,,,,,,,1,
"NOR-74","William of Ferrers",1,45,50,46,54,60,57,55,2,5,4,4,,,,,,,,,,,,1,
"NOR-75","Guy of Burgundy",1,,,,,,,,,,,,,,,,,,,,,,,1,
"NOR-76","Rannulf of the Bessin,",1,,,,,,,,,,,,,,,,,,,,,,,1,
"NOR-77","Hamon Dentatus",1,,,,,,,,,,,,,,,,,,,,,,,1,
"NOR-78","Grimoald of Plessis",1,,,,,,,,,,,,,,,,,,,,,,,1,
"NOR-79","Ralph Tesson",1,,,,,,,,,,,,,,,,,,,,,,,1,
,,1,,,,,,,,,,,,,,,,,,,,,,,,
"BRT-1","Alan the Red",1,70,64,58,68,75,80,77,6,6,6,4,"2,4",,,,"5,4","2,3,14",21,"L21",,"Line","Alan The Red",12,"Leader"
"BRT-2",,,,,,,,,,,,,,,,,,,,,,,,,12,
"BRT-3","Alan the Black",1,,,,,,,,,,,,,,,,,,,,,,,12,
"BRT-4","Brian of Brittany",1,,,,,,,,,,,,,,,,,,,,,,,12,
"BRT-5","Conan II of Brittany",1,,,,,,,,,,,,,,,,,,,,,,,12,
"BRT-6","Rivallon I of Dol",1,,,,,,,,,,,,,,,,,,,,,,,12,
"BRT-7","Ralph of Gael",1,71,70,67,67,64,68,81,7,6,6,4,"2,4",,,,"5,4","2,3,14",21,"L3,L46",,"Line","Breton Leader",12,"Leader"
"FR-1","Henry I of France",1,,,,,,,,,,,,,,,,,,,,,,,13,
"FR-2",,1,,,,,,,,,,,,,,,,,,,,,,,13,
"FR-3",,1,,,,,,,,,,,,,,,,,,,,,,,13,
"FR-4","Hamo of Crevecceur",1,48,49,55,60,54,58,42,5,4,2,4,,,,,,,,,,,,13,
"FR-5","Drogo of Brevere",1,62,60,68,63,76,85,74,5,5,7,4,,,,,,,,,,,,13,
"FR-6","Aimery IV of Thouars",1,56,54,58,47,51,48,68,6,4,5,4,"2,4",,,,"5,4","2,3,14",21,"L21",,"Line","Norman Leader",13,"Supporter"
"FR-7","Gerbod the Fleming",1,44,51,47,64,60,54,48,5,5,4,4,"2,4",,,,"5,4","2,3,14",21,"L26",,"Line","Norman Leader",13,"Leader"
"FR-8","Odo of Champagne",1,63,70,72,67,63,62,68,5,6,4,4,"2,4",,,,"5,4","2,3,14",21,"L18",,"Line","Norman Leader",1,"Warrior"
,,,,,,,,,,,,,,,,,,,,,,,,,,
"SAX-1","Harold Godwinson",1,77,68,70,73,78,80,85,8,2,6,7,"2,5","39,4",,,"5,5",,21,"L26,L49",,"Line,Square","Harold",2,"Leader"
"SAX-2","Gyrth Godwinson",1,70,60,53,54,70,67,74,6,4,5,5,"2,5","39,4",,,"5,5",,21,"L3",,"Line","Saxon Leader",2,"Leader"
"SAX-3","Leofwine Godwinson",1,72,51,60,58,68,64,73,6,4,5,5,"2,5","39,4",,,"5,5",,21,"L3",,"Line","Saxon Leader",2,"Leader"
"SAX-4","Godric of Berkshire",1,63,58,63,42,49,54,60,4,4,4,4,"2,4",,,,"5,3",,21,"L19",,"Line","Saxon Leader",2,"Warrior"
"SAX-5","Thurkill",1,65,55,68,48,42,51,44,4,3,1,4,"2,4",,,,"5,3",,21,"L29",,"Line","Saxon Leader",2,"Warrior"
"SAX-6","Edric the Deacon",1,59,60,62,58,60,58,48,4,3,2,4,"2,4",,,,"5,3",,21,"L46",,"Line","Saxon Leader",2,"Warrior"
"SAX-7","Breme",1,67,41,40,51,48,51,62,4,4,1,4,"2,4",,,,"5,3",,21,"L19",,"Line","Saxon Leader",2,"Warrior"
"SAX-8","Aelfwig of New Minster",1,61,58,55,60,75,71,55,5,1,1,5,"8,4",,,,"5,3",,19,"L6",,"Line","Christian Monk Leader",2,"Supporter"
"SAX-9","Aelfric",1,58,46,48,52,60,62,50,5,4,1,4,"2,4",,,,"5,3",,21,"L17",,"Line","Saxon Leader",2,"Leader"
"SAX-10","Son of Helloc",1,70,68,69,71,51,48,41,5,3,3,3,"2,4",,,,"5,3",,19,"L18",,"Line","Saxon Leader",2,"Warrior"
"SAX-11","Morcar of Northumbria",,,,,,,,,,,,,,,,,,,,,,,,,
"SAX-12","Edwin of Mercia",,,,,,,,,,,,,,,,,,,,,,,,,
"NK-1","Thutmose III",1,69,84,71,75,95,94,95,6,5,8,7,"32,5",,"6,4",,"6,4","100,4,13",21,"L49,L61",,"Line,Wedge","Pharaoh",3,"Leader"
"CNA-1","King of Kadesh",1,51,72,64,73,64,70,75,7,5,5,7,"25,4",,"6,4",,"6,4","99,4,13",21,"L19",,"Line","Canaan Leader",4,"Leader"
"CNA-2","Prince of Megiddo",1,60,75,68,71,68,68,70,6,6,6,5,"25,4",,"6,4",,"6,4","99,4,13",21,"L3",,"Line","Canaan Leader",4,"Leader"
"HUN-1","Lajos II of Hungary",1,62,64,56,65,70,72,83,7,7,8,5,"8,5",,,,"8,5","2,3,7",21,"L28,L49",,"Line","Louis II",6,"Leader"
"HUN-2","Pál Tomori",1,65,66,54,66,75,76,85,7,8,7,4,"8,4",,,,"8,4","2,3,7",,"L3,L6",,"Line",,6,"Leader"
"HUN-3","György Szapolyai",1,60,53,58,62,68,72,80,8,7,7,4,,,,,,,,,,,,,
"HUN-4","Stephen VII Báthory",1,64,55,60,68,76,70,82,7,7,7,4,,,,,,,,,,,,,
"HUN-5","Jován Cserni",1,71,63,61,70,62,79,85,6,6,8,3,,,,,,,,,,,,,
"HUN-6","Ferenc Perényi",1,52,54,55,56,85,84,72,8,7,6,4,,,,,,,,,,,,,
"HUN-7","Péter Perényi",1,60,63,61,64,70,75,68,6,5,8,4,,,,,,,,,,,,,
"HUN-8","Péter Korláthkői",1,48,46,44,48,60,57,58,5,5,4,4,,,,,,,,,,,,,
"HUN-9","Pavle Bakić",1,53,60,59,62,71,73,71,6,7,6,4,,,,,,,,,,,,,
"HUN-10","Radics Bosics",1,56,57,53,66,65,68,76,7,5,6,4,,,,,,,,,,,,,
"HUN-11","Ferenc Batthyány",1,72,63,60,78,76,82,83,8,4,5,4,,,,,,,,,,,,,
"HUN-12","Gáspár Ráskai",1,61,68,62,69,86,83,80,3,5,7,4,,,,,,,,,,,,,
"HUN-13","Bálint Török",1,66,62,65,65,71,78,81,5,6,6,4,,,,,,,,,,,,,
"HUN-14","János Kállay",1,63,60,61,68,64,63,60,5,4,7,4,,,,,,,,,,,,,
"HUN-15","László Szalkai",1,61,71,50,54,70,73,74,4,4,5,4,,,,,,,,,,,,,
"HUN-16","Móré Fülöp of Pécs",1,52,67,43,49,76,75,71,4,5,4,4,,,,,,,,,,,,,
"HUN-17","Balázs Paksi of Győr",1,55,56,41,43,53,55,52,3,4,4,4,,,,,,,,,,,,,
"HUN-18","Ferencz Csáholi of Csanád",1,44,48,50,45,58,53,48,5,3,3,4,,,,,,,,,,,,,
"HUN-19","György Palinai of Bosnia",1,43,52,43,44,52,51,60,4,4,4,4,,,,,,,,,,,,,
"HUN-20","János Drágfi",1,52,58,46,53,82,71,72,5,4,6,4,51.5,,,,,,,,,,,,
"HUN-21","Ferenc Ország",1,44,56,42,48,65,68,64,5,3,5,4,,,,,,,,,,,,,
"HUN-22","Péter Korlátkői",1,54,55,56,54,57,56,65,5,6,5,4,,,,,,,,,,,,,
"HUN-23","András Trepka",1,56,54,55,54,56,57,67,6,5,5,4,,,,,,,,,,,,,
"HUN-24","Tamás II Szécsy",1,47,41,46,48,52,50,49,3,4,3,4,,,,,,,,,,,,,
"HUN-25","Gábor Perényi",1,43,46,48,52,51,44,68,4,4,3,4,,,,,,,,,,,,,
"HUN-26","Zsigmond Bánfy",1,49,47,44,45,52,53,58,4,3,4,4,,,,,,,,,,,,,
"HUN-27","János Bánfy",1,57,53,51,67,59,68,63,4,4,5,4,,,,,,,,,,,,,
"HUN-28","Sándor Bakács",1,65,58,62,69,55,61,59,2,2,3,3,,,,,,,,,,,,,
"HUN-29","Ferencz Hampó",1,41,42,41,47,52,58,62,4,3,4,4,,,,,,,,,,,,,
"HUN-30","János Batthyányi",1,38,46,42,41,55,51,58,4,4,3,4,,,,,,,,,,,,,
"HUN-31","István Schlick",1,40,42,41,44,53,48,52,5,4,4,4,,,,,,,,,,,,,
"HUN-32","Ferenc Balázsi",1,45,38,37,48,47,52,55,3,3,4,4,,,,,,,,,,,,,
"HUN-33","Miklós Tarczay",1,54,61,57,56,48,44,50,5,4,4,4,,,,,,,,,,,,,
"HUN-34","János Paksy",1,50,43,51,52,50,46,55,4,4,4,4,,,,,,,,,,,,,
"HUN-35","János Istvánfy",1,44,48,43,49,56,50,59,4,3,5,4,,,,,,,,,,,,,
"HUN-36","Imre Várady",1,40,43,42,41,55,60,44,3,3,4,4,,,,,,,,,,,,,
"HUN-37","Mihály Podmaniczky",1,64,60,53,54,78,75,70,7,6,4,4,,,,,,,,,,,,,
"HUN-38","István Podmaniczky",1,61,65,58,62,75,71,75,5,6,5,4,,,,,,,,,,,,,
"HUN-39","György Orlovsics",1,63,68,66,65,42,44,58,3,3,5,3,,,,,,,,,,,,,
"HUN-40","István Aczél",1,46,43,44,47,61,58,54,4,3,4,4,,,,,,,,,,,,,
"HUN-41","Zsigmond Pogány",1,44,41,40,59,50,60,57,3,4,4,4,,,,,,,,,,,,,
"HUN-42","János Tornally",1,46,50,44,48,44,52,45,5,3,3,4,,,,,,,,,,,,,
"HUN-43","István Kállay",1,40,45,53,41,50,44,41,4,5,4,4,,,,,,,,,,,,,
"HUN-44","Miklós Forgács",1,48,53,51,46,56,50,57,3,4,3,4,,,,,,,,,,,,,
"HUN-45","Lenart Gnoiński",1,65,52,57,65,48,52,64,5,5,7,3,,,,,,,,,,,,,
"HUN-46","István Brodarics",1,60,57,62,62,91,86,84,7,7,6,4,,,,,,,,,,,,,
"HUN-47","Hannibal of Cyprus",1,58,68,68,67,42,59,58,5,6,2,3,,,,,,,,,,,,,
"HUN-48","Simon Horváth",1,41,53,42,48,60,64,56,4,3,5,4,,,,,,,,,,,,,
"HUN-49","Ambrus Sárkány",1,49,51,45,45,65,64,70,4,5,6,4,,,,,,,,,,,,,
"HUN-50","Antal Palóczi",1,45,47,52,56,58,47,56,5,5,4,4,,,,,,,,,,,,,
"HUN-51","Mátyás Czetrini",1,51,40,42,48,44,40,54,4,4,3,4,,,,,,,,,,,,,
"HUN-52","Frangepán",1,41,58,42,45,40,60,55,5,5,3,,,,,,,,,,,,,,
"HUN-53","Gáspár Horváth",1,52,55,61,52,55,58,60,,,,,,,,,,,,,,,,,
"HUN-54","Czettritz Ulrich",1,53,52,65,54,53,55,57,,,,,,,,,,,,,,,,,
"HUN-55","István Majláth",1,,,,,,,,,,,,,,,,,,,,,,,,
"HUN-56","Ferenc Homonnay",1,,,,,,,,,,,,,,,,,,,,,,,,
"HUN-57","András Báthory",1,,,,,,,,,,,,,,,,,,,,,,,,
"HUN-58","Imre Czibak",1,,,,,,,,,,,,,,,,,,,,,,,,
"HUN-59","János Bánffi",1,,,,,,,,,,,,,,,,,,,,,,,,
"HUN-60","Kelemen Szemere",1,52,41,47,40,53,50,52,4,4,2,4,,,,,,,,,,,,,
"HUN-61","Simon Erdődy",1,,,,,,,,,,,,,,,,,,,,,,,,
"HUN-62","Péter Erdődy",1,,,,,,,,,,,,,,,,,,,,,,,,
"HUN-63","Simon Pogány",1,,,,,,,,,,,,,,,,,,,,,,,,
"HUN-64","János Szerecsen",1,,,,,,,,,,,,,,,,,,,,,,,,
"HUN-65","János Bornemissza",1,,,,,,,,,,,,,,,,,,,,,,,,
"OTTO-1","Suleiman the Magnificent",1,62,65,55,72,91,93,95,7,9,8,7,"8,5",,,,,,,"L12,L48",,,"Suleiman",5,"Leader"
"OTTO-2","Pargalı Ibrahim Pasha",1,66,68,53,68,83,74,75,8,8,8,4,,,,,,,,,,,,5,"Leader"
"OTTO-3","Malkoçoğlu Bali Bey",1,,,,,,,,,,,4,,,,,,,,,,,,5,
"OTTO-4","Gazi Hüsrev Bey",1,,,,,,,,,,,4,,,,,,,,,,,,5,
"OTTO-5","Behram Pasha",1,,,,,,,,,,,4,,,,,,,,,,,,5,
"OTTO-6","Sehagic Chieftain",1,71,64,68,60,52,50,56,4,3,1,3,,,,,,,,,,,,5,
"TEST-1","Bowguy Deletelater",1,72,68,60,70,81,83,92,7,4,7,5,"32,5","3,3","3,3",,,,21,"L3,L61",,"Line,Wedge","Landsknecht Leader",0,"Test"
"TEST-2","Testguy Deletelater",1,72,68,60,70,81,83,92,7,4,7,5,"33,5","37,4","39,4","3,3","12,3",,21,"L3,L4",,"Line,Wedge","Landsknecht Leader",0,"Test"
"TEST-3","Cannonguy Deletelater",1,55,55,55,55,55,55,55,3,8,1,4,"M14,3","M15,3","M16,3",,"12,3","81,8,19",21,,,,"Landsknecht Cannon Leader",0,"Test"
"TEST-4","Hamster Man",1,80,80,80,80,80,80,80,7,7,7,4,"71,4",,,,"20,4",,21,,,,"Hamster",0,"Joke"
,,,,,,,,,,,,,,,,,,,,,,,,,,
"NW-1","Harald Hardrada",1,95,70,63,70,53,55,76,10,7,2,7,,,,,,,,,,,,,
"NW-2","Magnus Haraldsson",1,,,,,,,,,,,,,,,,,,,,,,,,
"NW-3","Olaf Haraldsson",1,,,,,,,,,,,,,,,,,,,,,,,,
"NW-4","Paul Thorfinnsson",1,,,,,,,,,,,,,,,,,,,,,,,,
"NW-5","Erlend Thorfinnsson",1,,,,,,,,,,,,,,,,,,,,,,,,
"NW-6","Eystein Orre",1,,,,,,,,,,,,,,,,,,,,,,,,
"NW-7","Tostig Godwinson",1,,,,,,,,,,,,,,,,,,,,,,,,
"NW-8","Frírek ",1,,,,,,,,,,,,,,,,,,,,,,,,
