"ID","p1_skin","p1_face","p1_hair","p1_eyebrow","p1_eye","p1_beard","p1_mouth","p1_head","p1_neck","p1_body","p1_r_arm_up","p1_r_arm_low","p1_r_hand","p1_l_arm_up","p1_l_arm_low","p1_l_hand","p1_r_leg_low","p1_r_leg_up","p1_l_leg_up","p1_l_leg_low","p1_r_foot","p1_l_foot","p1_special","p1_primary_main_weapon","p1_primary_sub_weapon","p1_secondary_main_weapon","p1_secondary_sub_weapon","p2_skin","p2_face","p2_hair","p2_eyebrow","p2_eye","p2_beard","p2_mouth","p2_head","p2_neck","p2_body","p2_r_arm_up","p2_r_arm_low","p2_r_hand","p2_l_arm_up","p2_l_arm_low","p2_l_hand","p2_r_leg_up","p2_r_leg_low","p2_l_leg_up","p2_l_leg_low","p2_r_foot","p2_l_foot","p2_special","p2_primary_main_weapon","p2_primary_sub_weapon","p2_secondary_main_weapon","p2_secondary_sub_weapon","p3_skin","p3_face","p3_hair","p3_eyebrow","p3_eye","p3_beard","p3_mouth","p3_head","p3_neck","p3_body","p3_r_arm_up","p3_r_arm_low","p3_r_hand","p3_l_arm_up","p3_l_arm_low","p3_l_hand","p3_r_leg_up","p3_r_leg_low","p3_l_leg_up","p3_l_leg_low","p3_r_foot","p3_l_foot","p3_special","p3_primary_main_weapon","p3_primary_sub_weapon","p3_secondary_main_weapon","p3_secondary_sub_weapon","p4_skin","p4_face","p4_hair","p4_eyebrow","p4_eye","p4_beard","p4_mouth","p4_head","p4_neck","p4_body","p4_r_arm_up","p4_r_arm_low","p4_r_hand","p4_l_arm_up","p4_l_arm_low","p4_l_hand","p4_r_leg_up","p4_r_leg_low","p4_l_leg_up","p4_l_leg_low","p4_r_foot","p4_l_foot","p4_special","p4_primary_main_weapon","p4_primary_sub_weapon","p4_secondary_main_weapon","p4_secondary_sub_weapon"
"Harold",,"Greek","Short,Brown","Normal,Brown","Normal,Brown","Mustache,Yellow","Normal","Early","Common","Common","Common","Common",,"Common","Common",,"Common","Common","Common","Common","Common","Common","Common","Common","Common","Common","Common",,,"Normal,Brown",,"Normal,Brown",,,"Common","Common","Common","Common","Common","Common","Common","Common","Common","Common","Common","Common","Common","Common","Common","Common",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Saxon Leader",,"Greek","Short,Brown","Normal,Brown","Normal,Brown","Beard,Yellow","Normal","Early","Common","Common","Common","Common",,"Common","Common",,"Common","Common","Common","Common","Common","Common","Common","Common","Common","Common","Common",,,"Normal,Brown",,"Normal,Brown",,,"Common","Common","Common","Common","Common","Common","Common","Common","Common","Common","Common","Common","Common","Common","Common","Common",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Christian Monk Leader",,"Greek","Short,Brown","Normal,Brown","Normal,Brown",,"Normal","Early","Common","Christian Monk","Christian Monk","Christian Monk","Christian Monk","Christian Monk","Christian Monk",,"Christian Monk","Christian Monk","Christian Monk","Christian Monk","Early","Early","Christian Monk","Common","Common","Common","Common",,,"Normal,Brown",,"Normal,Brown",,,"Common","Common","Common","Common","Common","Common","Common","Common","Common","Common","Common","Common","Common","Common","Common","Common",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Pharaoh","Brown","Common","Short,Brown","Normal,Black","Normal,Black",,"Normal","Pharoah",,"Pharoah","Pharoah","Pharoah","Pharoah","Pharoah","Pharoah","Pharoah","Pharoah","Pharoah","Pharoah","Pharoah","Pharoah","Pharoah","Pharoah","Common","Common","Common","Common",,,"Normal,Brown",,"Normal,Black",,,"Egyptian","Egyptian","Egyptian","Egyptian","Egyptian","Egyptian","Egyptian","Egyptian","Egyptian","Egyptian","Egyptian","Egyptian","Egyptian","Egyptian","Egyptian","Egyptian",,,,,,,"Normal,Brown",,"Normal,Black",,,"Egyptian","Egyptian","Egyptian","Egyptian","Egyptian","Egyptian","Egyptian","Egyptian","Egyptian","Egyptian","Egyptian","Egyptian","Egyptian","Egyptian","Egyptian","Egyptian",,,,,,,,,,,,"Pharaoh","Pharaoh","Pharaoh","Pharaoh","Pharaoh","Pharaoh","Pharaoh","Pharaoh","Pharaoh","Pharaoh","Pharaoh","Pharaoh","Pharaoh","Pharaoh","Pharaoh","Pharaoh",,,,
"Old Desert Leader","Brown","Common","Short,Brown","Normal,Black","Normal,Black",,"Normal","Egyptian",,"Egyptian","Egyptian","Egyptian","Egyptian","Egyptian","Egyptian","Egyptian","Egyptian","Egyptian","Egyptian","Egyptian","Egyptian","Egyptian","Egyptian","Common","Common","Common","Common",,,"Normal,Brown",,"Normal,Brown",,,"Early","Early","Early","Early","Early","Early","Early","Early","Early","Early","Early","Early","Early","Early","Early","Early",,,,,,,"None,Brown",,"Normal,Brown",,,"Early","Early","Early","Early","Early","Early","Early","Early","Early","Early","Early","Early","Early","Early","Early","Early",,,,,,,,,,,,"Early","Early","Early","Early","Early","Early","Early","Early","Early","Early","Early","Early","Early","Early","Early","Early",,,,
"Taillefer",,"Greek","Short,Brown","Normal,Brown","Normal,Brown",,"Normal","Early","Common","Common","Common","Common",,"Common","Common",,"Common","Common","Common","Common","Common","Common","Common","Common","Common","Common","Common","True White",,"Normal,White",,"Normal,Brown",,,"Common","Common","Common","Common","Common","Common","Common","Common","Common","Common","Common","Common","Common","Common","Common","Common",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Landsknecht Leader",,"Block","Short,Brown","Normal,Brown","Normal,Brown","Beard,Gold","Normal","Landsknecht",,"Landsknecht","Landsknecht","Landsknecht","Landsknecht","Landsknecht","Landsknecht","Landsknecht","Landsknecht","Landsknecht","Landsknecht","Landsknecht","Landsknecht","Landsknecht","Landsknecht","Common","Common","Common","Common",,,"Normal,Brown",,"Normal,Black",,,"Common","Common","Common","Common","Common","Common","Common","Common","Common","Common","Common","Common","Common","Common","Common","Common",,,,,,,,,"Normal,Black",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Landsknecht Cannon Leader",,"Block","Short,Brown","Normal,Brown","Normal,Brown","Beard,Gold","Normal","Landsknecht",,"Landsknecht","Landsknecht","Landsknecht","Landsknecht","Landsknecht","Landsknecht","Landsknecht","Landsknecht","Landsknecht","Landsknecht","Landsknecht","Landsknecht","Landsknecht","Landsknecht","Common","Common","Common","Common",,"Common","Short,Brown","Normal,Brown","Normal,Brown","Beard,Gold","Normal","Landsknecht","Landsknecht","Landsknecht","Landsknecht","Landsknecht","Landsknecht","Landsknecht","Landsknecht","Landsknecht","Landsknecht","Landsknecht","Landsknecht","Landsknecht","Landsknecht","Landsknecht","Landsknecht","Common","Common","Common","Common",,,,,,,,,,"Common","Common","Common","Common","Common","Common","Common","Common","Common","Common","Common","Common","Common",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Canaan Leader","Brown","Common","Short,Black","Normal,Black","Normal,Black",,"Normal","Early",,"Early","Early","Early","Early","Early","Early","Early","Early","Early","Early","Early","Early","Early","Early","Common","Common","Common","Common",,,"Normal,Brown",,"Normal,Black",,,"Canaan Noble","Canaan Noble","Canaan Noble","Canaan Noble","Canaan Noble","Canaan Noble","Canaan Noble","Canaan Noble","Canaan Noble","Canaan Noble","Canaan Noble","Canaan Noble","Canaan Noble","Canaan Noble","Canaan Noble","Canaan Noble",,,,,,,"Normal,Brown",,"Normal,Black",,,"Canaan Noble","Canaan Noble","Canaan Noble","Canaan Noble","Canaan Noble","Canaan Noble","Canaan Noble","Canaan Noble","Canaan Noble","Canaan Noble","Canaan Noble","Canaan Noble","Canaan Noble","Canaan Noble","Canaan Noble","Canaan Noble",,,,,,,,,,,,"Canaan Leader","Canaan Leader","Canaan Leader","Canaan Leader","Canaan Leader","Canaan Leader","Canaan Leader","Canaan Leader","Canaan Leader","Canaan Leader","Canaan Leader","Canaan Leader","Canaan Leader","Canaan Leader","Canaan Leader","Canaan Leader",,,,
"Old Egyptian Leader","Brown","Common","Short,Black","Normal,Black","Normal,Black",,"Normal","Egyptian Noble",,"Egyptian Noble","Egyptian Noble","Egyptian Noble","Egyptian Noble","Egyptian Noble","Egyptian Noble","Egyptian Noble","Egyptian Noble","Egyptian Noble","Egyptian Noble","Egyptian Noble","Egyptian Noble","Egyptian Noble","Egyptian Noble","Common","Common","Common","Common",,,"Normal,Brown",,"Normal,Black",,,"Egyptian","Egyptian","Egyptian","Egyptian","Egyptian","Egyptian","Egyptian","Egyptian","Egyptian","Egyptian","Egyptian","Egyptian","Egyptian","Egyptian","Egyptian","Egyptian",,,,,,,"Normal,Brown",,"Normal,Black",,,"Egyptian","Egyptian","Egyptian","Egyptian","Egyptian","Egyptian","Egyptian","Egyptian","Egyptian","Egyptian","Egyptian","Egyptian","Egyptian","Egyptian","Egyptian","Egyptian",,,,,,,,,,,,"Egyptian","Egyptian","Egyptian","Egyptian","Egyptian","Egyptian","Egyptian","Egyptian","Egyptian","Egyptian","Egyptian","Egyptian","Egyptian","Egyptian","Egyptian","Egyptian",,,,
"Suleiman",,"Hawk","Short,Brown","Normal,Brown","Normal,Brown","Mustache,Black","Normal","Suleiman",,"Suleiman","Suleiman","Suleiman","Suleiman","Suleiman","Suleiman","Suleiman","Suleiman","Suleiman","Suleiman","Suleiman","Suleiman","Suleiman","Suleiman","Silver","Common","Common","Common","True White",,"Normal,White",,"Normal,Brown",,,"Common","Common","Common","Common","Common","Common","Common","Common","Common","Common","Common","Common","Common","Common","Common","Common",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ottoman Noble",,"Hawk","Short,Brown","Normal,Brown","Normal,Brown","Beard,White","Normal","Vizier",,"Vizier","Vizier","Vizier","Vizier","Vizier","Vizier","Vizier","Vizier","Vizier","Vizier","Vizier","Vizier","Vizier","Vizier","Scimitar","Common","Common","Common",,,"Normal,Brown",,"Normal,Black",,,"Common","Common","Common","Common","Common","Common","Common","Common","Common","Common","Common","Common","Common","Common","Common","Common",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Hamster",,"Common","Short,Brown","Normal,Brown","Normal,Brown","Beard,Black","Normal","Hamster",,"Hamster","Hamster","Hamster","Hamster","Hamster","Hamster","Hamster","Hamster","Hamster","Hamster","Hamster","Hamster","Hamster","Hamster","Hamster","Hamster","Hamster","Hamster",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Louis II",,"Hawk","Short,Brown","Normal,Brown","Normal,Brown","Beard,Black","Normal","Golden",,"Golden","Golden","Golden","Golden","Golden","Golden","Golden","Golden","Golden","Golden","Golden","Golden","Golden","Golden","Gold","Common","Common","Common",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
