"ID","Name","Description"
31,"Stone","Nothing is more simple than a stick and stone to break some bones. Existed since the dawn of time as a preferred ranged weapon, throwing stones can hurt someone without armour or even kill them instantly if hit in the head with strong enough force."
32,"Composite Bow",
33,"Matchlock Musket",
34,"Arquebus",
35,"Blunderbuss",
36,"Flintlock Musket",
37,"Flintlock Pistol",
38,"Matchlock Pistol",
39,"Kite Shield",
40,"Buckler",
41,"Round Shield",
42,"Tower Shield",
43,"Heater Shield",
44,"Pavise Shield",
45,"Spiked Shield",
46,"Bouche Shield",
47,"Oval Shield",
48,"Parry Dagger",
49,"Parry Club",
50,"Barrier Shield",
51,,
52,,
53,,
54,,
55,"Light Crossbow (Heavy)","Light crossbow equipped with bolts specifically made to pierce heavy armour. Less ideal for other uses due to its weight."
56,"Light Crossbow (Poison)",
57,"Heavy Crossbow (Heavy)",
58,"Heavy Crossbow (Poison)",
59,"Longbow (Fire)",
60,"Shortbow (Fire)",
61,"Greatbow (Fire)","A fire arrow tactic is often used to ignite a structure, ship or siege machine. It is also used to inflict damage to enemy morale."
62,"Composite Bow (Fire)","The greatest tool of cowardice. Unleash hell to the enemy from safety and see them suffer."
63,"Longbow (Poison)",
64,"Shortbow (Poison)",
65,"Greatbow (Poison)",
66,"Composite Bow (Poison)","Whistle arrow by itself does little to no physical damage. The sound, though, does have a superstitious belief attached to it."
67,"Longbow (Whistle)",
68,"Greatbow (Whistle)",
69,"Throwing Knife",
70,"Throwing Knife (Poison)",
71,"Hamster Food",
