"ID","Name","Buff Range","Buff Modifier","Melee Attack Effect","Melee Defence Effect","Ranged Defence Effect","Speed Effect","Accuracy Effect","Reload Effect","Charge Effect","Charge Defence Bonus","HP Regeneration Bonus","Stamina Regeneration Bonus","Morale Bonus","Discipline Bonus","Critical Bonus","Siege Effect","Sight Bonus","Hidden Bonus","Physical Resistance Bonus","Fire Resistance Bonus","Water Resistance Bonus","Air Resistance Bonus","Earth Resistance Bonus","Poison Resistance Bonus","Magic Resistance Bonus","Heat Resistance Bonus","Cold Resistance Bonus","Supply Effect","Upkeep Effect","Mental Bonus","Status","Enemy Status","Special Effect","Cost","Element","Type"
22,"Shield Expert",1,,,120,120,,,,,15,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,,,0,,0,,,,"Buff"
23,"Superb Flanker",1,,,,,,,,,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,,,0,,0,37,,,"Buff"
24,"Causes Fear",1,,,,,,,,,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,,,0,0,2,,,,"Buff"
25,"Causes Terror",2,,,,,,,,,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,,,0,0,2,,,,"Area Buff"
26,"Inspires Hope",2,,,,,,,,,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,,,10,3,0,,,,"Area Buff"
27,"Inspires Bravery",3,,,,,,,,,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,,,10,3,0,,,,"Area Buff"
28,"Glorious Appearance",,,,,,,,,,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,,,0,,0,,,,
29,"Long Range Accuracy",1,,,,,,,,,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,,,0,0,0,31,,,"Buff"
30,"Royal Banner",,,,,,,,,,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,,,0,,0,,,,
31,"Cold Resistance",1,,,,,,,,,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,50,,,0,0,0,,,,"Buff"
32,"Heat Resistance",1,,,,,,,,,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,50,0,,,0,0,0,,,,"Buff"
33,"Battle Preparation",,,115,115,115,110,,115,115,10,0,0,20,10,0,15,,,0,0,0,0,0,0,0,0,0,,,0,0,0,,,,
34,"Unbreakable",1,,,110,110,,,,,0,0,0,100,20,0,,,,0,0,0,0,0,0,0,0,0,,,50,0,0,38,,,"Buff"
35,"Savage Looter",1,,,,,,,,,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,,,0,0,0,,,,"Buff"
36,"Catcher Expert",1,,,,,,,,,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,,,0,0,0,,,,"Buff"
37,"Marvelous Athletic",1,,,,,,,,,0,0,1,0,0,0,,,,0,0,0,0,0,0,0,0,0,,,0,,0,,,,"Buff"
38,"Iron Discipline",1,,,,,,,,,0,0,0,0,20,0,,,,0,0,0,0,0,0,0,0,0,,,20,0,0,,,,"Buff"
39,"Impetuous",1,,,,,,,,,0,0,0,0,-20,0,,,,0,0,0,0,0,0,0,0,0,,,0,0,0,41,,,"Debuff"
40,"Fragile Will",1,,,,,,,,,0,0,0,0,0,0,,,,0,,,,,,,,,,,0,,0,,,,"Debuff"
41,"Personal Escort",,,,,,,,,,20,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,,,0,,0,,,,
42,"Gallant Example",,,,,,,,,,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,,,0,,0,,,,
43,"Field Medic",,,,,,,,,,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,,,0,0,0,,,,
44,"Forestry",,,,,,,,,,0,0,0,0,0,0,,,,0,,,,,,,,,,,0,0,0,,,,
45,"Seamate",,,,,,,,,,0,0,0,0,0,0,,,,0,,,,,,,,,,,0,0,0,,,,
46,"Mountaineer",,,,,,,,,,0,0,0,0,0,0,,,,0,,,,,,,,,,,0,0,0,,,,
47,"Cave Crawling",,,,,,,,,,0,0,0,0,0,0,,,,0,,,,,,,,,,,0,0,0,,,,
48,"Pathfinder",,,,,,,,,,0,0,0,0,0,0,,,,0,,,,,,,,,,,0,0,0,,,,
49,"Cold Exposure",1,,,,,,,,,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,-50,,,0,0,0,,,,"Debuff"
50,"Heat Exposure",1,,,,,,,,,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,-50,0,,,0,0,0,,,,"Debuff"
51,"Cowardice",1,,,,,,,,,0,,,0,0,0,,,,0,0,0,0,0,0,0,0,0,,,0,0,0,,,,"Debuff"
52,"Treachery",1,,,,,,,,,0,,,0,0,0,,,,0,0,0,0,0,0,0,0,0,,,0,0,0,,,,"Debuff"
53,"Stationary Placement",1,,,,,,,,,0,,,0,0,0,,,,,,,,,,,,,,,0,0,0,39,,,
54,"Mountain Hiding",1,,,,,,,,,0,,,0,0,0,,,,0,,,,,,,,,,,0,0,0,,,,"Buff"
55,"Hill Hiding",1,,,,,,,,,0,,,0,0,0,,,,0,,,,,,,,,,,0,0,0,,,,"Buff"
56,"Forest Hiding",1,,,,,,,,,0,,,0,0,0,,,,0,,,,,,,,,,,0,0,0,,,,"Buff"
57,"Desert Hiding",1,,,,,,,,,0,,,0,0,0,,,,0,,,,,,,,,,,0,0,0,,,,"Buff"
58,"Snow Hiding",1,,,,,,,,,0,,,0,0,0,,,,0,,,,,,,,,,,0,0,0,,,,"Buff"
59,"Plain Hiding",1,,,,,,,,,0,,,0,0,0,,,,0,,,,,,,,,,,0,0,0,,,,"Buff"
60,"Swamp Hiding",1,,,,,,,,,0,,,0,0,0,,,,0,,,,,,,,,,,0,0,0,,,,"Buff"
61,"Urban Hiding",1,,,,,,,,,0,,,0,0,0,,,,0,,,,,,,,,,,0,0,0,,,,"Buff"
62,"Night Stalking",1,,,,,,,,,0,,,0,0,0,,,,0,,,,,,,,,,,0,0,0,,,,"Buff"
63,"Ambush Expert",1,,,,,,,,,0,,,0,0,0,,,50,0,,,,,,,,,,,0,0,0,,,,"Buff"
64,"Scare Mount",1,,,,,,,,,0,,,0,0,0,,,,0,0,0,0,0,0,0,0,0,,,0,0,0,,,,"Buff"
65,"Fearless Mount",1,,,,,,,,,0,,,0,0,0,,,,0,0,0,0,0,0,0,0,0,,,0,0,0,,,,"Buff"
66,"Assassination",1,,,,,,,,,0,,,,,0,,,,0,0,0,0,0,0,0,0,0,,,0,0,0,,,,"Buff"
67,"Sniping",1,,,,,,,,,0,,,,,0,,,,0,0,0,0,0,0,0,0,0,,,0,0,0,,,,"Buff"
68,"Partial Awareness",1,,,,,,,,,0,,,,,0,,,,0,0,0,0,0,0,0,0,0,,,0,0,0,,,,"Buff"
69,"Swift Swimmer",,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,,,0,,0,,,,"Buff"
70,"Landlubber",,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,,,0,,0,,,,"Debuff"
71,"Immortal",1,,,,,,,,,,"inf",,,,,,,,,,,,,,,,,,,0,,0,10,,,"Buff"
72,"Gunpowder Weapon",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,13,,,"Buff"
73,"Camouflage",1,,,,,,,,,,,,,,,,,60,,,,,,,,,,,,,,,,,,"Buff"
74,"Arc Shot Only",1,,,,,,,,,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,,,0,0,0,"22,25",,,"Buff"
75,"Cone Shot",1,,,,,,,,,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,,,0,0,0,15,,,"Buff"
76,"Inferior Weapon Quality",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,,,"Debuff"
