"ID","Name","Description","para1","para2","para3","para4","para5","para6","para7","para8","para9","para10"
18,"Breton Knights","Breton Knights were the cavalries that should be reckoned not less than the Norman Conrois or French Knights. They were proficient in the skirmishing tactic to harass the enemy with javelins and feign retreat to lure the enemy away from an advantageous position, making them capable of fulfilling both light and heavy cavalry roles. ",,,,,,,,,,
19,"Saxon Fyrd","Fryds were a group of local militias in the Anglo-Saxon military organisation. They were called in the time of emergency, usually against Viking raidings, by their lords. Poorly equipped with very light armour and a farming tool, club or spear as a weapon, Fryds typically served as a boost to troop number more than the main component of an army.",,,,,,,,,,
20,"Saxon Axemen","Axe was a cultural weapon of the Vikings and their descendants. Saxon Axemen were great shock troops capable of dealing savage blows against unprepared enemies. Their fine offensive capability makes up for their subpar defensive power.",,,,,,,,,,
21,"Saxon Spearmen","Saxon Spearmen were the essential forefront against superior Norman and French cavalry force. They were capable of forming a spear and shield wall to create an impregnable wall even for a charging cavalry force. Of course, they are no match to the superb prowess of Saxon Huscarls and other specialised infantries. The lack of offensive skill also makes them great only for defensive roles.",,,,,,,,,,
22,"Saxon Archers","Just like the Norman, the Saxon army also employed archers in their ranks to provide skirmish and range support to its melee frontline. Although, they still could not overwhelmingly replace the still reliable slingers yet in the early Middle age due to the demanding skill requirement to use the weapon accurately.",,,,,,,,,,
23,"Saxon Slingers","Slings were still popular weapons used in Medieval armies despite the creeping domination of bows and crossbows. Exceedingly cheap to produce and effective against lightly armoured troops, Slingers provided basic range support for an early era army that lacked specialised archers or crossbowmen.",,,,,,,,,,
24,"Saxon Skirmishers","These Saxon Skirmishers are packed with javelins, throwing axes and any other throwable tools. Although called ""skirmishers"", they were typically employed behind the infantry lines to provide support from safety, which is completely different from the other specialised skirmishers, such as Greek Peltasts or Roman Veliteses. ",,,,,,,,,,
25,"Saxon Knights","A rare sight on a battlefield. Most Saxons did not fight on horseback and even nobles dismounted before the battle. A decent cavalry force but do not expect advantageous prolonged melee combat against enemy spearmen.","Saxon Huscarls or Húskarlar were household bodyguards and retainers for Medieval Scandinavian culture. Tradionally, they were free men (unlike thralls and slaves) that served their lord in various tasks. The roles of Huscarls differ depending on the culture. For example, English or Saxon Huscarls duty ranged from civil administrative to the military, while Scadinavian Huscarls also refer to manservants of noble. ","The Huscarls nevertheless played an important role as elite heavy infantries in the Saxon armies during the time High Medieval period. Often compared to the legendary Jomsvikings in the old writing, it is believed that Huscarls were even more organised and highly paid by their contractors. They maintain yearly contracts with their employers and are free to leave at any time. The Huscarl order has its own code of law and organisation similar to those of the Medieval guilds.",,,,,,,,
26,"Saxon Huscarl","Huscarls or Housecarls were the royal retinues of nordic origin and the main force of Anglo-Saxon English. They were equipped with the finest quality chainmail, a shield and a two-handed Dane axe. Their fierceness in close combat is said to be unmatched in Europe, and they will fight to the death if their lord fell in the battle for revenge.",,,,,,,,,,
27,"Veteran Huscarl","These veteran Huscarls were the fiercest warriors that survived multiple battles and wars. There is not much left required to prove their worth in combat. The only downside is that not many, even the finest soldiers, can survive such brutal combats and still remain combat effective. Especially in a time when medical progress was lacking, to say the least. ",,,,,,,,,,
28,"Huscarl Bodyguard","Exclusively the finest chosen group of Huscarls to be the royal bodyguard for the king in battle, these men were equipped with the best equipment the blacksmiths at the time could offer. With a strict training regiment to retain martial ability to destroy anyone that dares to bring harm to their lord, they were unmatched in most melee engagements.",,,,,,,,,,
29,"New Kingdom Archers","The newly invented composite bow allowed the New Kingdom to become one of the ancient powerhouses in the Levant. Superior firepower but high maintenance cost that only the most wealthy country could acquire en-mass for military purposes. These New Kingdom archers could let loose a rain of arrows never before seen in the history of mankind.",,,,,,,,,,
30,"Egyptian Slingers","The favourite weapon of the ancient military. Egyptian Slingers used the abundance of rocks as a weapon of war. Even a rock can easily incapacitate an elite soldier without armour and a steady shield. For thousands of years, slings remained a ranged weapon used by almost every civilisation across the globe.",,,,,,,,,,
31,"New Kingdom Spearmen","A standard well-round Egyptian infantry troop. Despite the lack of true cavalry force in the bronze age warfare (except for chariots), New Kingdom Spearmen is still an essential force for the expanding empire.",,,,,,,,,,
32,"New Kingdom Swordsmen","Equipped with a recently invented Khopesh sword,  New Kingdom Swordsmen were a force to be reckoned with. Part of a professional army employed under the Pharoah, they were swift and versatile troops that excelled in close combat. These infantries were the finest soldiers in the Bronze age that no other civilisations could imitate.",,,,,,,,,,
33,"Egyptian War Chariots","Ancient Egyptians were certainly fond of their war chariots. Manufactured and maintained by the public servants under the employment of Pharoah himself. These chariots were an unmatched cavalry force in the whole world. Typically rode by Two Maryannus (elite chariot warriors) consisting of a rider and an archer. They were well-suited for shock and skirmish tactics due to their nimble design.",,,,,,,,,,
34,"African Spearmen","These African Spearmen were mercenaries well paid by the Egyptians both for foreign government and conquest. Their combat prowess was no less than that of the professional Egyptian infantries. The lacking discipline and defensive capability were somewhat offset by cheap recruitment and maintenance costs. When there is money to be made, even the ancients wage war against their own kins.",,,,,,,,,,
35,"Egyptian Pitati","Ancient Egypt also employed mercenaries from nearby countries to wage their war of conquest. Pitati were one of the most famous examples. Hailed from the Kingdom of Kush or Nubia, south of Egypt, these Nubian archers were very proficient in their weaponry. Equipped with a bow and an axe to be ready for all forms of combat, they were an essential part of the Egyptian army in the foreign land.",,,,,,,,,,
36,"Royal War Chariots","The very symbol of Ancient Egypt's wealth and military power lied in these war chariots. Pharoah and nobles alike rode them into battle and crush the inferior infantries with ease. In the desert plain, they were the unstoppable instrument of a massacre. Why resist the Gods when you can submit to their will and let the righteous ruler govern the world?",,,,,,,,,,
37,"Mycenaean Promachois ","Mycenaean Promachois were elite infantries from Mycenaean Greece. Their services outside of their motherland as mercenaries were well-recorded throughout the bronze age history. Their ferocity in the Battle of Megiddo is so renowned that they gained the title of ""Demons of Armageddon"".",,,,,,,,,,
38,"Canaanite Archers","Bow and arrow were still in the early development period. Unlike the Egyptian archers, Canaanite Archers still wielded a simple short bow. Their range prowess was only suitable for minor skirmishing and providing fire support for the friendly infantry troops in combat.",,,,,,,,,,
39,"Canaanite Slingers","A flying stone against an unprotected body or head? Fatality! A rain of stone from Canaanite Slingers can be deadly to a target without a shield. The only issue is that they are extremely venerable to any incoming attack, both melee and ranged alike.",,,,,,,,,,
40,"Canaanite Spearmen","A somewhat primitive spear troop. Canaanite Spearmen provided a good defensive frontline against charging enemy infantries, but they would not be able to match against war chariots.",,,,,,,,,,
41,"Canaanite Swordsmen","The development of the new type of bronze sword, “Khopesh”, saw its spread throughout the Middle East region. Canaanite Kingdoms, being former vassal states of the New Kingdom, also adopted Khopesh as part of the infantry weapon. Canaanite Swordsmen were great and balanced troops that provided the military edge that their kingdom needed to contest against the conquering empire.",,,,,,,,,,
42,"Canaanite War Chariots","Chariots are dominant cavalry forces in the Bronze age. They are very much an unstoppable force in the desert plain. Canaanite War Chariots are superb at charging enemies and rout them in a swift manner. ",,,,,,,,,,
43,"Canaanite Tribal Warriors","Still in transition from tribal states to civilisation in the Bronze age, many communities in Canaan were primitive compared to the rising empire of Egypt. This is not to say that Canaanite Tribal Warriors were ineffective in combat. While lacking the discipline of well-trained troops, these tribal warriors fought bravely. Nevertheless, do not expect them to survive against a charging chariot head-on.",,,,,,,,,,
44,"Warrior Monks",,,,,,,,,,,
45,"Landsknecht Pikemen","Landsknechts, or servants of the land, are germanic mercenaries that operate during the Late Medieval age. Their unique appearances comprising colourful clothes, hats, and armours, make them particularly well-known in the history of European warfare. The mercenary order was created by Emperor Maximilian I and Georg von Frundsberg as part of the Holy Roman Empire's army in the year 1486. These mercenaries were well-armed with good quality pike and well-versed in pike warfare.",,,,,,,,,,
46,"Landsknecht Heavy Infantries",,,,,,,,,,,
47,"Landsknecht Halberdiers",,,,,,,,,,,
48,"Landsknecht Arquebusiers",,,,,,,,,,,
49,"Landsknecht Musketeers",,,,,,,,,,,
50,"Hungarian Knights",,,,,,,,,,,
51,"Hungarian Heavy Spearmen",,,,,,,,,,,
52,"Hungarian Arquebusiers",,,,,,,,,,,
53,"Hungarian Royal Knights",,,,,,,,,,,
54,"Hungarian Royal Guards",,,,,,,,,,,
55,"Hungarian Pikemen",,,,,,,,,,,
56,,,,,,,,,,,,
57,,,,,,,,,,,,
58,,,,,,,,,,,,
59,"Polish Knights",,,,,,,,,,,
60,,,,,,,,,,,,
61,,,,,,,,,,,,
62,,,,,,,,,,,,
63,,,,,,,,,,,,
64,,"Light cavalry",,,,,,,,,,
65,,,,,,,,,,,,
66,,,,,,,,,,,,
67,,,,,,,,,,,,
68,,,,,,,,,,,,
69,,"Elite sultan bodyguard",,,,,,,,,,
70,,"Cannon ",,,,,,,,,,
71,,,,,,,,,,,,
72,,,,,,,,,,,,
73,,,,,,,,,,,,
74,,,,,,,,,,,,
75,,,,,,,,,,,,
76,,,,,,,,,,,,
77,"European Early Cannons",,,,,,,,,,,
78,,,,,,,,,,,,
79,"Janissary Arquebusiers",,,,,,,,,,,
80,"Janissary Halberdiers",,,,,,,,,,,
81,"Janissary Swordsmen",,,,,,,,,,,
82,"Janissary Musketeers",,,,,,,,,,,
83,"Sipahi Horse Archer",,,,,,,,,,,
84,"Sipahi Heavy Cavalries",,,,,,,,,,,
85,"Akindji Cavalries",,,,,,,,,,,
86,"Rumelian Cavalries",,,,,,,,,,,
87,"Kapikulu Cavalries",,,,,,,,,,,
88,"Kapikulu Infantries",,,,,,,,,,,
89,"Kapikulu Artilleries",,,,,,,,,,,
90,"Silahdars",,,,,,,,,,,
91,"Topçu Ocağı",,,,,,,,,,,
92,"Azap Conscripts",,,,,,,,,,,
93,"Azap Skirmishers",,,,,,,,,,,
94,"Başıbozuk",,,,,,,,,,,
95,,,,,,,,,,,,
96,,,,,,,,,,,,
97,,,,,,,,,,,,
98,,,,,,,,,,,,
99,,,,,,,,,,,,
100,,,,,,,,,,,,
101,"French Gendarmes",,,,,,,,,,,
102,,,,,,,,,,,,
103,,,,,,,,,,,,
104,,,,,,,,,,,,
105,,,,,,,,,,,,
106,,,,,,,,,,,,
107,,,,,,,,,,,,
108,,,,,,,,,,,,
109,,,,,,,,,,,,
110,,,,,,,,,,,,
111,,,,,,,,,,,,
112,,,,,,,,,,,,
113,,,,,,,,,,,,
114,,,,,,,,,,,,
115,,,,,,,,,,,,
116,,,,,,,,,,,,
117,,,,,,,,,,,,
118,,,,,,,,,,,,
119,,,,,,,,,,,,
120,,,,,,,,,,,,
121,,,,,,,,,,,,
122,,,,,,,,,,,,
123,,,,,,,,,,,,
124,,,,,,,,,,,,
125,,,,,,,,,,,,
126,,,,,,,,,,,,
127,,,,,,,,,,,,
128,,,,,,,,,,,,
129,,,,,,,,,,,,
130,,,,,,,,,,,,
131,,,,,,,,,,,,
132,,,,,,,,,,,,
133,,,,,,,,,,,,
134,,,,,,,,,,,,
135,,,,,,,,,,,,
136,,,,,,,,,,,,
137,,,,,,,,,,,,
138,,,,,,,,,,,,
139,,,,,,,,,,,,
140,,,,,,,,,,,,
141,,,,,,,,,,,,
142,,,,,,,,,,,,
143,,,,,,,,,,,,
144,,,,,,,,,,,,
145,,,,,,,,,,,,
146,,,,,,,,,,,,
147,,,,,,,,,,,,
148,,,,,,,,,,,,
149,,,,,,,,,,,,
150,,,,,,,,,,,,
151,,,,,,,,,,,,
152,,,,,,,,,,,,
153,,,,,,,,,,,,
154,,,,,,,,,,,,
155,,,,,,,,,,,,
156,,,,,,,,,,,,
157,,,,,,,,,,,,
158,,,,,,,,,,,,
159,,,,,,,,,,,,
160,,,,,,,,,,,,
161,,,,,,,,,,,,
162,,,,,,,,,,,,
163,,,,,,,,,,,,
164,,,,,,,,,,,,
165,,,,,,,,,,,,
166,,,,,,,,,,,,
167,,,,,,,,,,,,
168,,,,,,,,,,,,
169,,,,,,,,,,,,
170,,,,,,,,,,,,
171,,,,,,,,,,,,
172,,,,,,,,,,,,
173,,,,,,,,,,,,
174,,,,,,,,,,,,
175,,,,,,,,,,,,
176,,,,,,,,,,,,
177,,,,,,,,,,,,
178,,,,,,,,,,,,
179,,,,,,,,,,,,
180,,,,,,,,,,,,
181,,,,,,,,,,,,
182,,,,,,,,,,,,
183,,,,,,,,,,,,
184,,,,,,,,,,,,
185,,,,,,,,,,,,
186,,,,,,,,,,,,
187,,,,,,,,,,,,
188,,,,,,,,,,,,
189,,,,,,,,,,,,
190,,,,,,,,,,,,
191,,,,,,,,,,,,
192,,,,,,,,,,,,
193,,,,,,,,,,,,
194,,,,,,,,,,,,
195,,,,,,,,,,,,
196,,,,,,,,,,,,
197,,,,,,,,,,,,
198,,,,,,,,,,,,
199,,,,,,,,,,,,
200,,,,,,,,,,,,
201,,,,,,,,,,,,
202,,,,,,,,,,,,
203,,,,,,,,,,,,
204,,,,,,,,,,,,
205,,,,,,,,,,,,
206,,,,,,,,,,,,
207,,,,,,,,,,,,
208,,,,,,,,,,,,
209,,,,,,,,,,,,
210,,,,,,,,,,,,
211,,,,,,,,,,,,
212,,,,,,,,,,,,
213,,,,,,,,,,,,
214,,,,,,,,,,,,
215,,,,,,,,,,,,
216,,,,,,,,,,,,
217,,,,,,,,,,,,
218,,,,,,,,,,,,
219,,,,,,,,,,,,
220,,,,,,,,,,,,
221,,,,,,,,,,,,
222,,,,,,,,,,,,
223,,,,,,,,,,,,
224,,,,,,,,,,,,
225,,,,,,,,,,,,
226,,,,,,,,,,,,
227,,,,,,,,,,,,
228,,,,,,,,,,,,
229,,,,,,,,,,,,
230,,,,,,,,,,,,
231,,,,,,,,,,,,
232,,,,,,,,,,,,
233,,,,,,,,,,,,
234,,,,,,,,,,,,
235,,,,,,,,,,,,
