"ID","Name","Strength Bonus Scale","Dexterity Bonus Scale","Damage Balance","Physical Damage","Fire Damage","Poison Damage","Armour Penetration","Impact","Defence","Charge","Weight","Skill","Trait","Cooldown","Ammunition","Magazine","Shot Number","Range","Cost","Hand","Damage Stat Scaling","Damage Sprite","Travel Speed","Damage Sprite Effect","After Reach Effect","After Attack Effect","Sound Effect","Sound Distance","Bullet Sound Distance","Common","Attack","Replace Sprite","Properties","Type"
16,"Pike",2,8,35,18,0,0,35,13,2,30,13,,14,2.3,0,0,0,30,,2,"TRUE","Pierce Big (team)",0,,,,,10,,"2pole","Pierce",,"hold,chargeblock","Melee"
17,"Glaive",4,6,40,17,0,0,30,13,2,25,17,24,14,2.4,0,0,0,21,,2,"TRUE","Slash Big (team)",0,,,,,12,,"2pole","Slash",,"hold,power","Melee"
18,"Whip",2,8,50,7,0,0,5,9,1,1,3,,,1.9,0,0,0,19,,1,"TRUE","Slash Medium (team)",0,,,,,15,,"1hand","Slash",,,"Melee"
19,"Quarterstaff",4,6,70,8,0,0,35,15,5,5,6,,,1.8,0,0,0,18,,2,"TRUE","Crush Medium (team)",0,,,,,9,,"2pole","Smash",,"hold,power","Melee"
20,"Sling",3,7,70,10,0,0,30,18,0,0,5,,"9,53",5,120,1,1,170,,1,"TRUE","Stone",80,,,,,12,44,"1hand","Swing",,,"Long Range"
21,"Blowgun",1,9,35,8,0,0,10,6,0,0,3,,,3,60,1,1,50,,1,"FALSE","Dart",80,,,,,5,16,"1hand","Blow",,,"Short Range"
22,"Javelin",4,6,65,16,0,0,40,12,0,0,12,47,,5,10,1,1,90,,1,"TRUE","self",60,"spin",,,,10,28,"1pole","Throw",,"hold,timing_1_2","Short Range"
23,"Throwing Axe",4,6,50,14,0,0,45,15,0,0,11,,13,4,15,1,1,80,,1,"TRUE","self",55,"spin",,,,8,28,"1hand","Throw",,"hold,timing_1_2","Short Range"
24,"Longbow",3,7,70,35,0,0,40,15,0,0,15,62,9,8,80,1,1,270,,2,"TRUE","Arrow",200,,,,"bow_big_loose",7,32,"bow","Draw",,"hold,timing_2_4","Long Range"
25,"Shortbow",2,8,75,25,0,0,15,11,0,0,7,,9,6,80,1,1,150,,2,"TRUE","Arrow",170,,,,"bow_small_loose",3,20,"bow","Draw",,"hold,timing_1_3","Long Range"
26,"Greatbow",4,6,65,50,0,0,60,30,0,0,29,,9,13,60,1,1,350,,2,"TRUE","Arrow Big",230,,,,"bow_big_loose",10,40,"bow","Draw",,"hold,power,timing_2_3","Long Range"
27,"Light Crossbow",1,9,90,22,0,0,30,14,0,0,12,51,,9,80,1,1,120,,2,"FALSE","Bolt",200,,,,"crossbow_small_shot",5,24,"2gun","Shoot",,"hold","Long Range"
28,"Heavy Crossbow",2,8,85,30,0,0,50,20,0,0,20,51,,13,80,1,1,170,,2,"FALSE","Bolt",220,,,,"crossbow_big_shot",7,28,"2gun","Shoot",,"hold","Long Range"
29,"Repeater Crossbow",1,9,80,15,0,0,10,7,0,0,16,,,13,120,5,1,100,,2,"FALSE","Bolt",200,,,,"crossbow_small_shot",3,16,"2gun","Shoot",,"hold","Long Range"
30,"Arbalest",3,7,75,45,0,0,70,40,0,0,25,51,,18,70,1,1,250,,2,"FALSE","Bolt",240,,,,"crossbow_big_shot",10,48,"2gun","Shoot",,"hold","Long Range"
31,"Stone",4,6,70,7,0,0,40,9,0,0,5,47,,3,120,1,1,70,,1,"TRUE","self",60,,,,,5,36,"1hand","Throw",,"hold,timing_1_2","Short Range"
32,"Composite Bow",2,8,77,26,0,0,25,12,0,0,7,,9,6,80,1,1,170,,2,"TRUE","Arrow",100,,,,"bow_small_loose",6,20,"bow","Draw",,"hold,timing_1_2","Long Range"
33,"Matchlock Musket",1,9,80,40,0,0,80,15,0,0,24,51,"53,72",18,80,1,1,110,,2,"FALSE","Bullet",500,,,"Gun Smoke Medium","musket_shot",80,80,"2gun","RestFire",,"hold","Long Range"
34,"Arquebus",1,9,60,35,0,0,60,13,0,0,17,"50,51",72,16,80,1,1,100,,2,"FALSE","Bullet",500,,,"Gun Smoke Medium","musket_shot",60,80,"2gun","Shoot",,"hold","Long Range"
35,"Blunderbuss",1,9,30,37,0,0,70,25,0,0,21,50,"72,75",20,50,2,4,80,,2,"FALSE","Bullet",500,,,"Gun Smoke Medium","musket_shot",90,80,"2gun","Shoot",,"hold","Long Range"
36,"Flintlock Musket",1,9,70,45,0,0,90,16,0,0,21,51,72,16,80,1,1,150,,2,"FALSE","Bullet",500,,,"Gun Smoke Medium","musket_shot",80,80,"2gun","Shoot",,"hold","Long Range"
37,"Flintlock Pistol",0,10,70,30,0,0,75,10,0,0,4,50,72,8,80,1,1,90,,1,"FALSE","Bullet",500,,,"Gun Smoke Small","old_pistol_shot",50,56,"1gun","Shoot",,"hold","Short Range"
38,"Matchlock Pistol",0,10,80,28,0,0,50,8,0,0,4,50,72,11,80,1,1,70,,1,"FALSE","Crush Medium (team)",500,,,"Gun Smoke Small","old_pistol_shot",50,56,"1gun","Shoot",,"hold","Short Range"
39,"Kite Shield",8,2,85,3,0,0,4,25,20,4,10,,,1,0,0,0,7,,1,"TRUE","Crush Medium (team)",0,,,,,9,,"shield","Bash",,"hold,block","Shield"
40,"Buckler",5,5,70,2,0,0,5,20,10,1,4,,,1,0,0,0,7,,1,"TRUE","Crush Medium (team)",0,,,,,7,,"shield","Bash",,"parry","Shield"
41,"Round Shield",6,4,85,4,0,0,5,23,15,5,5,,,1,0,0,0,7,,1,"TRUE","Crush Medium (team)",0,,,,,8,,"shield","Bash",,"hold,block","Shield"
42,"Tower Shield",10,0,90,3,0,0,2,35,35,1,25,31,,2.5,0,0,0,7,,1,"TRUE","Crush Big (team)",0,,,,,10,,"shield","Bash",,"hold,block","Shield"
43,"Heater Shield",,,80,4,0,0,6,25,18,7,14,29,,1.5,0,0,0,7,,1,"TRUE","Crush Medium (team)",0,,,,,9,,"shield","Bash",,"hold,block","Shield"
44,"Pavise Shield",10,0,90,3,0,0,2,20,35,1,23,30,,2.5,0,0,0,7,,1,"TRUE","Crush Medium (team)",0,,,,,10,,"shield","Bash",,"hold,block","Shield"
45,"Spiked Shield",5,5,65,7,0,0,20,18,9,10,11,,,1,0,0,0,7,,1,"TRUE","Crush Medium (team)",0,,,,,8,,"shield","Bash",,"hold,block","Shield"
46,"Bouche Shield",,,,,,,,20,13,3,8,,,,,,,,,,"TRUE","Crush Medium (team)",0,,,,,8,,"shield","Bash",,"hold,block","Shield"
47,"Oval Shield",7,3,85,4,0,0,4,22,17,5,8,29,,1.5,0,0,0,7,,1,"TRUE","Crush Medium (team)",0,,,,,8,,"shield","Bash",,"hold,block","Shield"
48,"Parry Dagger",1,9,70,4,0,0,40,6,5,1,1,,,0.5,0,0,0,6,,1,"TRUE","Slash Small (team)",0,,,,,5,,"1hand","Slash",,"parry","Melee"
49,"Parry Club",3,7,,,0,0,30,16,7,2,5,,,1.2,0,0,0,9,,1,"TRUE","Crush Medium (team)",0,,,,,8,,"1hand","Smash",,"parry","Melee"
50,"Barrier Shield",10,0,90,1,0,0,0,20,40,1,30,30,,2.5,0,0,0,7,,2,"TRUE","Crush Big (team)",0,,,,,10,,"shield","Bash",,"hold,block","Shield"
51,"Lance",1,9,40,16,,,,12,4,45,12,,14,3,0,0,0,25,,1,"TRUE","Pierce Big (team)",0,,,,,8,,"1hand","Pierce",,,"Melee"
52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,"Light Crossbow (Heavy)",1,9,80,22,0,0,40,19,0,0,15,,,11,,1,1,90,,2,"FALSE","Bolt",180,,,,"crossbow_small_shot",5,24,"2gun","Shoot","Light Crossbow","hold","Long Range"
56,"Light Crossbow (Poison)",1,9,90,22,0,10,40,14,0,0,13,,,15,,1,1,120,,2,"FALSE","Bolt Poison",200,,,,"crossbow_small_shot",5,24,"2gun","Shoot","Light Crossbow","hold","Long Range"
57,"Heavy Crossbow (Heavy)",2,8,75,30,0,0,60,25,0,0,25,,,13,,1,1,120,,2,"FALSE","Bolt",200,,,,"crossbow_big_shot",7,28,"2gun","Shoot","Heavy Crossbow","hold","Long Range"
58,"Heavy Crossbow (Poison)",2,8,85,30,0,10,60,20,0,0,21,,,18,,1,1,150,,2,"FALSE","Bolt Poison",220,,,,"crossbow_big_shot",7,28,"2gun","Shoot","Heavy Crossbow","hold","Long Range"
59,"Longbow (Fire)",2,8,60,15,20,0,9,15,0,0,17,62,,15,,1,1,270,,2,"FALSE",,200,,,,"bow_big_loose",8,44,"bow","Draw",,"hold,timing_2_4","Long Range"
60,"Shortbow (Fire)",1,9,65,8,15,0,4,11,0,0,9,,,12,,1,1,150,,2,"FALSE",,180,,,,"bow_small_loose",4,36,"bow","Draw",,"hold,timing_1_3","Long Range"
61,"Greatbow (Fire)",4,6,55,30,35,0,15,30,0,0,31,,,20,,1,1,350,,2,"FALSE",,220,,,,"bow_big_loose",11,56,"bow","Draw",,"hold,power,timing_2_3","Long Range"
62,"Composite Bow (Fire)",,,67,9,15,0,,12,0,0,8,,,12,,1,1,170,,2,"FALSE",,200,,,,"bow_small_loose",4,36,"bow","Draw",,"hold,timing_1_3","Long Range"
63,"Longbow (Poison)",2,8,60,35,0,10,9,15,0,0,16,62,,13,,1,1,270,,2,"FALSE","Arrow Poison",200,,,,"bow_big_loose",7,32,"bow","Draw","Longbow","hold,timing_2_4","Long Range"
64,"Shortbow (Poison)",1,9,65,25,0,10,4,11,0,0,8,,,10,,1,1,150,,2,"FALSE","Arrow Poison",180,,,,"bow_small_loose",3,20,"bow","Draw","Shortbow","hold,timing_1_3","Long Range"
65,"Greatbow (Poison)",4,6,55,50,0,10,15,30,0,0,30,,,18,,1,1,350,,2,"FALSE","Arrow Poison",220,,,,"bow_big_loose",10,40,"bow","Draw","Greatbow","hold,power,timing_2_3","Long Range"
66,"Composite Bow (Poison)",,,67,25,0,10,,12,0,0,7,,,10,,1,1,170,,2,"FALSE","Arrow Poison",200,,,,"bow_small_loose",3,20,"bow","Draw","Composite Bow","hold,timing_1_3","Long Range"
67,"Longbow (Whistle)",2,8,60,25,0,0,9,15,0,0,16,62,,10,,1,1,270,,2,"FALSE",,200,,,,"bow_big_loose",7,80,"bow","Draw","Longbow","hold,timing_2_4","Long Range"
68,"Greatbow (Whistle)",4,6,55,40,0,0,15,30,0,0,30,,,15,,1,1,350,,2,"FALSE",,220,,,,"bow_big_loose",10,120,"bow","Draw","Greatbow","hold,power,timing_2_3","Long Range"
69,"Throwing Knife",3,7,,10,0,0,20,7,0,0,6,,,5,30,1,1,50,,1,"TRUE","self",90,"spin",,,,5,20,"1hand","Throw",,"hold,timing_1_2","Short Range"
70,"Throwing Knife (Poison)",3,7,,10,0,10,20,7,0,0,7,,,8,20,1,1,50,,1,"TRUE","self",90,"spin",,,,5,20,"1hand","Throw",,"hold,timing_1_2","Short Range"
71,"Hamster Food",2,8,50,20,0,0,50,5,0,0,5,,9,3,50,3,3,100,,1,"TRUE","self",150,,"Hamster",,"hamster",15,5,"1hand","Throw",,,"Joke"
