"ID","Name","stat1","stat2","stat3","Description"
27,"Combat Statistic",,,,"Each sub-unit possess a different combat capability that is presented in the form of combat statistics such as melee attack or speed. These statistics represent how well the sub-unit can perform specific tasks. For example, a sub-unit with a high melee attack but low melee defence is well suited for a flanking attack rather than a frontal assault. "
28,"Skill","Skills often require a specific amount of stamina and discipline to be activated. Sub-units will not use skill if either of their discipline or stamina does not meet the requirement. ",,,"Each sub-unit usually possess a specific set of skill it can perform. Each skill has a specific condition, cooldown, duration and effect. While the player cannot activate the units’ skill directly, it is possible to set a specific behaviour for each battalion between reserving the uses of skills or using them as often as possible. For example, one of the most common skill is “Charge” where a squad uses during running to attack its enemy. Charge skill allows the units to temporally boost their melee combat efficiency and also use special stat “Charge Power”, which increase the damage for a short duration. Charge skill cannot be activated if the units are already in melee combat."
29,"Trait",,,,"Trait or property represent a unique characteristic that the troops possess. The characteristic can influence the troop statistic and bahaviour either negatively or positively. Some equipments, mounts and other aspects such as troop grade also have their own trait that will be add to the troop's trait as well."
30,"Status Effect",,,,"The status effect represents a special effect that currently affects the sub-unit at the time. The effect can range from beneficial to detrimental depending on the situation. The status effect can be originated from many sources such as sub-unit skill, weather effect, terrain effect or leader tactic."
31,"Equipment",,,,"Sub-unit's equipment is divided into 3 categories: Weapon, Armour and Mount. Equipment has a direct effect on the sub-unit's combat capability. A well-equipped sub-unit is always better than the ill-equipped one regardless of their own statistic. The equipment also has a weight that slows down the sub-unit movement speed."
32,"Leader",,,,"A leader is a person who leads a unit into battle. At least one leader is always required for a unit to be combat effective. The overall combat effectiveness of a unit is directly affected by its leader skill, which exists in two categories: Authority and command. A leader is embedded in one of the sub-unit in the unit they lead and will also enter the combat if that sub-unit is in combat. "
33,"Role",,,,
34,"Commander",,,,"Commander is the king of an army. His existence keep the whole army in order and act as one. Commander provides authority bonus to every battalion controlled by him and can issues special tactical command that affect command battalion in battlefield. There will be always one battalion directly controlled by the commander called command battalion and if that battalion is routed or destroyed, the whole army will suffer major morale penalty. In the command battalion, the commander will have one bodyguard squad that represent him in the battlefield. If that squad is destroyed, the commander will be considered as dead. The position of the bodyguard squad in the battalion also affect the authority as the leader who lead their troops at the front will assure confidence in his leadership, while leading from the back guarantee his safety but is often viewed as cowardice. Therefore, consider the selection and position of the commander wisely or you may lose the battle before it even start."
35,"Strategist",,,,
36,"General",,,,
37,"Sub-General",,,,"Sub-general is the knight of an army. Sub-general is not required when creating battalion but they can bring many benefits to the battalion. Their main role is to support the general of battalion in his control and command and become his replacement if the general falls in battle. The replacement order is from left to right and there is no morale penalty for replacement until there is no general left leading the battalion. The authority bonus from sub-general is 50\% of the leader authority and command ability. Similar to the general, sub-generals also have their own bodyguard squads in the battalion. The position of the sub-general's squads do not affect the authority until they become general. Additionally, sub-generals can also use their unique abilities in the same way as general."
38,"Special",,,,"Special advisor is considered the bishop of an army. Although having the least important role in the battalion, special advisor can bring additional benefit to the battalion that may change the course of battle. The special advisor also has his own squad in the battalion but can provides only 25\% of the leader's authority and do not provide any benefit from the command ability at all. However, their special ability can still be used in the same way as general and sub-general, this make the role suitable for leaders that have good or unconventional ability but lousy command or authority. Nevertheless, special advisor will become general only if there are no general and sub-general left, so choose wisely who to be employed in special advisor role. "
39,"Authority",,,,
40,"Command",,,,"Command represent a leader’s skill in leading certain type of unit in battle "
41,"Social Class",,,,
42,"Battle Map",,,,
43,"Terrain",,,,"The terrain represents the type of ground or climate that the sub-unit locate at. Each terrain type has a different effect not only on the statistic of the sub-unit but also inflict status effect. For example, water-based terrain can cause sub-units to become wet or even drown."
44,"Terrain Feature",,,,"The terrain feature represents the second characteristic of the base terrain. Each feature type combines with the base terrain indicate the type of battlefield that plays an important role for both attackers and defenders. For example, temperate terrain and plant field create bushland that is good for hiding and defence against range attacks while the desert equivalent is somewhat less effective due to the barren nature of the desert."
45,"Weather",,,,"The weather represents the current weather on the battlefield which affect all sub-units equally. Weather can dynamically change during the battle and affect sub-units in a different way. Weather also has a level of strength that further indicates its exact characteristic. For example, light rain may not has many effects on sub-units besides causing a wet status effect compared to heavy rain, which greatly reduces range combat capability and quickly causes a drench status effect."
46,,,,,
47,,,,,
48,,,,,
49,"Command",,,,
50,,,,,
51,,,,,
52,"Custom Development",,,,
53,,,,,
54,,,,,
55,,,,,
56,,,,,
57,,,,,
