"ID","Name","Description","para1","para2","para3","para4","para5","para6","para7","para8","para9","para10"
"SAX+8","Saxon Huscarl","Huscarls or Housecarls were the royal retinues of nordic origin and the main force of Anglo-Saxon English. They were equipped with the finest quality chainmail, a shield and a two-handed Dane axe. Their fierceness in close combat is said to be unmatched in Europe, and they will fight to the death if their lord fell in the battle for revenge.","Saxon Huscarls or Húskarlar were household bodyguards and retainers for Medieval Scandinavian culture. Tradionally, they were free men (unlike thralls and slaves) that served their lord in various tasks. The roles of Huscarls differ depending on the culture. For example, English or Saxon Huscarls duty ranged from civil administrative to the military, while Scadinavian Huscarls also refer to manservants of noble. ","The Huscarls nevertheless played an important role as elite heavy infantries in the Saxon armies during the time High Medieval period. Often compared to the legendary Jomsvikings in the old writing, it is believed that Huscarls were even more organised and highly paid by their contractors. They maintain yearly contracts with their employers and are free to leave at any time. The Huscarl order has its own code of law and organisation similar to those of the Medieval guilds.",,,,,,,,
"SAX+9","Veteran Huscarl","These veteran Huscarls were the fiercest warriors that survived multiple battles and wars. There is not much left required to prove their worth in combat. The only downside is that not many, even the finest soldiers, can survive such brutal combats and still remain combat effective. Especially in a time when medical progress was lacking, to say the least. ",,,,,,,,,,
"SAX+10","Huscarl Bodyguard","Exclusively the finest chosen group of Huscarls to be the royal bodyguard for the king in battle, these men were equipped with the best equipment the blacksmiths at the time could offer. With a strict training regiment to retain martial ability to destroy anyone that dares to bring harm to their lord, they were unmatched in most melee engagements.",,,,,,,,,,
"CHR+1","Christian Warrior Monk","Even the men of peace must arm themselves in the time of war. The participation of Christian Monks in war can be seen many times in the history of warfare. They were often garbed in monk robes on the outside with armour protection like chainmail on the inside. These monks rarely wield bladed weapons due to the doctrine of forbidding drawing blood. Instead, they utilised blunt weapons such as maces to eliminate any threat in their way.",,,,,,,,,,
"NK+1","New Kingdom Archer","The newly invented composite bow allowed the New Kingdom to become one of the ancient powerhouses in the Levant. Superior firepower but high maintenance cost that only the most wealthy country could acquire en-mass for military purposes. These New Kingdom archers could let loose a rain of arrows never before seen in the history of mankind.",,,,,,,,,,
"NK+2","Egyptian Slinger","The favourite weapon of the ancient military. Egyptian Slingers used the abundance of rocks as a weapon of war. Even a rock can easily incapacitate an elite soldier without armour and a steady shield. For thousands of years, slings remained a ranged weapon used by almost every civilisation across the globe.",,,,,,,,,,
"NK+3","New Kingdom Spearman","A standard well-round Egyptian infantry troop. Despite the lack of true cavalry force in the bronze age warfare (except for chariots), New Kingdom Spearmen is still an essential force for the expanding empire.",,,,,,,,,,
"NK+4","New Kingdom Swordsman","Equipped with a recently invented Khopesh sword,  New Kingdom Swordsmen were a force to be reckoned with. Part of a professional army employed under the Pharoah, they were swift and versatile troops that excelled in close combat. These infantries were the finest soldiers in the Bronze age that no other civilisations could imitate.",,,,,,,,,,
"NK+5","Egyptian War Chariot","Ancient Egyptians were certainly fond of their war chariots. Manufactured and maintained by the public servants under the employment of Pharoah himself. These chariots were an unmatched cavalry force in the whole world. Typically rode by Two Maryannus (elite chariot warriors) consisting of a rider and an archer. They were well-suited for shock and skirmish tactics due to their nimble design.",,,,,,,,,,
"NK+6","African Spearman","These African Spearmen were mercenaries well paid by the Egyptians both for foreign government and conquest. Their combat prowess was no less than that of the professional Egyptian infantries. The lacking discipline and defensive capability were somewhat offset by cheap recruitment and maintenance costs. When there is money to be made, even the ancients wage war against their own kins.",,,,,,,,,,
"NK+7","Egyptian Pitati","Ancient Egypt also employed mercenaries from nearby countries to wage their war of conquest. Pitati were one of the most famous examples. Hailed from the Kingdom of Kush or Nubia, south of Egypt, these Nubian archers were very proficient in their weaponry. Equipped with a bow and an axe to be ready for all forms of combat, they were an essential part of the Egyptian army in the foreign land.",,,,,,,,,,
"NK+8","Royal War Chariot","The very symbol of Ancient Egypt's wealth and military power lied in these war chariots. Pharoah and nobles alike rode them into battle and crush the inferior infantries with ease. In the desert plain, they were the unstoppable instrument of a massacre. Why resist the Gods when you can submit to their will and let the righteous ruler govern the world?",,,,,,,,,,
"NK+9","Mycenaean Promachoi","Mycenaean Promachois were elite infantries from Mycenaean Greece. Their services outside of their motherland as mercenaries were well-recorded throughout the bronze age history. Their ferocity in the Battle of Megiddo is so renowned that they gained the title of ""Demons of Armageddon"".",,,,,,,,,,
"NK+10","Kenyt-­Nesu","Kenyt-­Nesu, or King's Braves, were the elite of the elites for the New Kingdom infantries. They were normal infantries who were promoted for exceptional valour and skill in combat. These troops sometimes were foreign warriors who were a prisoner of war or mercenaries that were granted a minor noble title and a small fief by the Pharoah.",,,,,,,,,,
"NK+11","Nakhtu-aa","Nakhtu-aa, or strong-arm boys, were a unit of heavy shock infantries equipped with a Kopesh and an Egyptian bull hide shield. They also used javelins for close-range skirmishing before melee engagement, similar to Roman's pilum tactic. These elite troops are somewhat more semi-professional soldiers, which makes them more discipline than the standard troops.",,,,,,,,,,
"CNA+1","Canaanite Archer","Bow and arrow were still in the early development period. Unlike the Egyptian archers, Canaanite Archers still wielded a simple short bow. Their range prowess was only suitable for minor skirmishing and providing fire support for the friendly infantry troops in combat.",,,,,,,,,,
"CNA+2","Canaanite Slinger","A flying stone against an unprotected body or head? Fatality! A rain of stone from Canaanite Slingers can be deadly to a target without a shield. The only issue is that they are extremely venerable to any incoming attack, both melee and ranged alike.",,,,,,,,,,
"CNA+3","Canaanite Spearman","A somewhat primitive spear troop. Canaanite Spearmen provided a good defensive frontline against charging enemy infantries, but they would not be able to match against war chariots.",,,,,,,,,,
"CNA+4","Canaanite Swordsman","The development of the new type of bronze sword, “Khopesh”, saw its spread throughout the Middle East region. Canaanite Kingdoms, being former vassal states of the New Kingdom, also adopted Khopesh as part of the infantry weapon. Canaanite Swordsmen were great and balanced troops that provided the military edge that their kingdom needed to contest against the conquering empire.",,,,,,,,,,
"CNA+5","Canaanite War Chariot","Chariots are dominant cavalry forces in the Bronze age. They are very much an unstoppable force in the desert plain. Canaanite War Chariots are superb at charging enemies and rout them in a swift manner. ",,,,,,,,,,
"CNA+6","Canaanite Tribal Warrior","Still in transition from tribal states to civilisation in the Bronze age, many communities in Canaan were primitive compared to the rising empire of Egypt. This is not to say that Canaanite Tribal Warriors were ineffective in combat. While lacking the discipline of well-trained troops, these tribal warriors fought bravely. Nevertheless, do not expect them to survive against a charging chariot head-on.",,,,,,,,,,
"CNA+7","Canaanite Maryannu Warrior","Maryannu is a caste of chariot noble warriors in ancient middle eastern societies. They were elites in the Canaanite army equipped with fine weaponry and fought with the support of infantries. Their existence can be found throughout Ancient Egyptian conquest history as prized hostages after victory.",,,,,,,,,,
"CNA+8","Na’arun","Na'arun (Picked Men) are elites of the warrior caste Maryannu. They were under the direct command of a chief of chariotry and typically rode in a chariot to battle. Similar to other Maryannu warriors, these elites also possessed fief holdings and acted as nobles in the court.",,,,,,,,,,
"CNA+9","Maryannu King Bodyguard","A few elite Maryannu Warriors were also selected to serve as the king's bodyguards. With the finest training in the art of charioteer and superb (for its time) heavy bronze scale armour, they are one of the first heavy cavalry forces to smash the lines of infantry in the history of warfare.",,,,,,,,,,
"HRE+1","Landsknecht Pikeman","Landsknechts, or servants of the land, are germanic mercenaries that operate during the Late Medieval age. Their unique appearances comprising colourful clothes, hats, and armours, make them particularly well-known in the history of European warfare. The mercenary order was created by Emperor Maximilian I and Georg von Frundsberg as part of the Holy Roman Empire's army in the year 1486. These mercenaries were well-armed with good quality pike and well-versed in pike warfare.",,,,,,,,,,
"HRE+2","Landsknecht Doppelsöldner","A mercenary life is a dangerous one, especially for those on the frontline. This is why a Landsknecht band had a specific unit that served in that role. Doppelsöldners were volunteer Landsknechts that wielded a two-handed greatsword called Zweihänder. These soldiers received double payment as they were the first to charge into enemies and break their lines.",,,,,,,,,,
"HRE+3","Landsknecht Halberdier",,,,,,,,,,,
"HRE+4","Landsknecht Arquebusier",,,,,,,,,,,
"HRE+5","Landsknecht Crossbowman",,,,,,,,,,,
"HUN+1","Hungarian Knight","Feudal Europe society can not function without knights. They were lower rank nobles that are trained to become elite warriors. They served as a spear and shield of the country, protecting the people with honour and chivalry. Medieval Hungary is also no exception. Equipped with heavy plate armour and armed with a lance along with the experience of equestrian since the Magyar tribes, these Hungarian knights were among the finest warriors in Medieval history.",,,,,,,,,,
"HUN+2","Hungarian Heavy Spearman",,,,,,,,,,,
"HUN+3","Hungarian Arquebusier",,,,,,,,,,,
"HUN+4","Hungarian Banderium","Banderium was a unit of elite knights made up of high-ranking nobles and clergies in the Kingdom of Hungary during the Medieval and Renaissance era. They typically served directly under the royal family, similar to knights in other European countries at the time. Banderium is derived from the Latin word ""Bandiera"", which means military banner.",,,,,,,,,,
"HUN+5","Hungarian Royal Guard",,,,,,,,,,,
"HUN+6","Hungarian Pikeman",,,,,,,,,,,
"HUN+7","Hungarian Hussar","Hussar was a unit of light cavalry in many East European countries. Originated from a group of Serb immigrants who fled from the terror of the Ottoman Empire to the Kingdom of Hungary in the 14th Century. They were adopted into the Hungarian army by King Matthias Corvinus as part of the Black Army. Their victories against the Ottoman's Sipahi cavalries popularised them to be adopted by other European countries. They typically served as skirmishers, raiders and scouts rather than shock forces. ",,,,,,,,,,
"HUN+8","Hungarian Crossbowman",,,,,,,,,,,
"HUN+9","Hungarian Pavise Crossbowman",,,,,,,,,,,
"HUN+10","Hungarian Militia",,,,,,,,,,,
"HUN+11","Hungarian Foot Royal Guard",,,,,,,,,,,
"POL+1","Polish Knight",,,,,,,,,,,
"POL+2","Polish Heavy Spearman",,,,,,,,,,,
"POL+3","Polish Pikeman",,,,,,,,,,,
"POL+4","Polish Crossbowman",,,,,,,,,,,
"POL+5","Polish Arquebusier",,,,,,,,,,,
"POL+6","Polish Royal Guard",,,,,,,,,,,
"POL+7","Polish Hussar",,,,,,,,,,,
"POL+8","Polish Militia",,,,,,,,,,,
"PAP+1","Pontifical Swiss Guard",,,,,,,,,,,
"EG+1","European Organ Gun",,,,,,,,,,,
"EG+2","European Early Light Cannon",,,,,,,,,,,
"OTTO+1","Janissary Archer","Janissaries were elite infantries under the direct command of the Ottoman Sultan. They were among the first professional standing army in Europe and was founded in the late 14th Century. Predating the infamous musket variant was archer Janissaries, who were skilful with composite bows. These Janissary archers managed to dominate the battlefield until the end of the 16th Century. ",,,,,,,,,,
"OTTO+2","Janissary Arquebusier","The Ottoman Empire was among the earliest adopter of gunpowder weapons. Equipped with the newly developed arquebus, these Janissary Arquebusiers were capable of unleashing a forum of lead balls against enemies with incredible discipline.",,,,,,,,,,
"OTTO+3","Janissary Halberdier","Harberds were the favourite polearm weapon for Ottoman Janissary infantries. Unlike many other cultures, polearms are rarely employed by Turkish infantries due to their equestrian and nomadic culture in the early time. These Jannisary Halberdiers were employed to fight against heavy armoured infantries and cavalries alike, both offensively and defensively.",,,,,,,,,,
"OTTO+4","Janissary Swordsman","Janissay swordsmen were the core of the Ottoman army from its foundation until the 17th Century. Equipped with a curved sword and a leather round shield, their skill in melee combat can match even the heavier armour counterpart of European infantries. Conscripted and recruited solely from Christian slaves, these elite warriors were paid with salary and can rose to become high-ranking officers with enough merit.",,,,,,,,,,
"OTTO+5","Janissary Musketeer","The greatest among musketeers were Janissary musketeers. These elite infantries gave victories to the Ottoman Empire for four centuries across Europe and Africa. None of the European counterparts could match their discipline and training until the 18th Century. It is no exaggeration to say that they were the foundation of the Ottoman Empire itself.",,,,,,,,,,
"OTTO+6","Zirhli Nefer","Zihril Nefers, which means armoured soldiers, were elite janissary infantries in Ottoman empires. Only janissaries who volunteer for the role can join. They received double payment for their service and served as the first offensive group in charging assault during a siege or open battlefield. Despite the danger involved, these troops were extremely courageous and rarely retreated. Hence, they were also given the nickname, Serdengeçi, meaning the one who doesn’t care for their lives.",,,,,,,,,,
"OTTO+7","Sipahi Horse Archer","Light cavalry",,,,,,,,,,
"OTTO+8","Sipahi Heavy Cavalry",,,,,,,,,,,
"OTTO+9","Akindji Cavalry","Akindji or Akıncı were a unit of light cavalry force employed by the Ottoman Empire. Their missions were to scout ahead of the main army and initiate a skirmish to inflict damage on unprepared enemies. They were well-versed in the hit-and-run and guerrilla tactics with exceptional speed. Despite being militias with no salary compared to the other Ottoman units, they were ferocious and could operate independently from the main army.",,,,,,,,,,
"OTTO+11","Kapikulu Cavalry",,,,,,,,,,,
"OTTO+12","Kapikulu Infantry","Elite sultan bodyguard",,,,,,,,,,
"OTTO+13","Kapikulu Artillery","Cannon ",,,,,,,,,,
"OTTO+14","Silahdar Cavalry",,,,,,,,,,,
"OTTO+15","Silahdar Infantry","Silahdar infantry corps consisted of Janissaries who volunteered for suicide missions and fought courageously. They served as Sultan's personal bodyguard troops and were extremely skilled in all forms of combat. However, they were considered traitors by their former Janissary comrades and disrespected by Silahdar Sipahi because of their previous slavery.",,,,,,,,,,
"OTTO+16","Topçu Ocağı","The Topçu Ocağı, which means artillery corps, were ottoman empire military engineers who operated the artilleries in both the field of battle and siege. The Ottoman Empire's primary artilleries incorporated cannons of various sizes, from small to supersize ones, which they used with such superb effectiveness that it can be said the Ottoman Empire was the pioneer of a new type of siege warfare.",,,,,,,,,,
"OTTO+17","Azap Conscript","Azap Conscripts, unlike in the name, could also be irregular volunteers for the reward of gold and war spoil. They were an infantry counterpart of the Akindji Cavalry in the Ottoman Empire's army. These conscripts were typically unmarried young men recruited from various provinces based on a quota of one man from every 20 households. Volunteers could also join the unit if they brought their own equipment. With a rank that is lower than Janissary, Azap Consscript served as frontline cannon fodder and skirmish troops. ",,,,,,,,,,
"OTTO+18","Azap Skirmisher","Azap Skirmishers, usually equipped with a bow and arrows, were parts of light infantries that can fight in both the skirmish and melee phases of the battle. Lightly armoured but with decent courage and skill, they can hold a line against other melee troops with some support.",,,,,,,,,,
"EMER+1","Renaissance Crossbow Merc.",,,,,,,,,,,
"EMER+2","Renaissance Light Merc.",,,,,,,,,,,
"EMER+3","Renaissance Heavy Merc.",,,,,,,,,,,
"EMER+4","Renaissance Arquebus Merc.",,,,,,,,,,,
"CRT+1",,"Armoured ",,,,,,,,,,
"CRT+2",,,,,,,,,,,,
"CRT+3",,,,,,,,,,,,
"CRT+1","Croat",,,,,,,,,,,
"CRT+2","Croatian Arquebusier",,,,,,,,,,,
"CRT+3","Croatian Militia",,,,,,,,,,,
"CRT+4","Haramije",,,,,,,,,,,
"CRT+5","Uskok",,,,,,,,,,,
"BHM+1","Czech War Wagon",,,,,,,,,,,
"BHM+2","Czech Cannon Wagon",,,,,,,,,,,
"BHM+3","Czech Pikeman",,,,,,,,,,,
"BHM+4","Czech Heavy Spearman",,,,,,,,,,,
"BHM+5","Czech Arquebusier",,,,,,,,,,,
"BHM+6","Czech Pavise Crossbowman",,,,,,,,,,,
"BHM+7","Czech Heavy Infantry",,,,,,,,,,,
"BHM+8","Czech Billman",,,,,,,,,,,
"BHM+9","Czech Spearman",,,,,,,,,,,
"BHM+10","Czech Crossbowman",,,,,,,,,,,
"BHM+11","Czech Knight",,,,,,,,,,,
"BHM+12","Czech Militia",,,,,,,,,,,
"FR+1","French Gendarme",,,,,,,,,,,
"TEST+1","Hamster Boy","A group of hamster fanatics wearing a fursuit to worship the hamster god. They are equipped with hamster robots that will pursue the targeted bomb (food) and explode on contact.",,,,,,,,,,
