"ID","Name","ImageID","Grade","Race","Properties","Abilities","Cost","Upkeep","Melee Attack","Melee Defense","Range Defense","Armour","Accuracy","Range","Ammunition","Reload","Charge","Charge Skill","Health","Stamina","Mana","Melee Weapon","Range Weapon","Morale","Discipline","Sight","Size","Troop","Unit Type","Mount","Spell","Item","Description"
15,"Breton Spearmen",0,1,1,0,"33,36",0,0,25,45,20,"5,3",0,0,0,0,50,21,1000,1000,,"6,3","1,0",95,45,5,1,100,1,1,,,
16,"Breton Archers",1,1,1,0,0,0,0,14,20,0,"21,3",45,150,80,15,5,19,1000,1000,,"5,3","25,3",100,50,5,1,50,2,1,,,
17,"Breton Crossbowmen",1,1,1,0,0,0,0,11,16,0,"21,3",45,120,80,20,5,19,1000,1000,,"5,3","27,3",100,50,5,1,50,2,1,,,
18,"Breton Knights",0,2,1,0,0,0,0,40,40,20,"5,3",40,70,20,7,35,21,1000,1000,,"2,4","22,3",100,50,5,1,50,6,2,,,"Feign retreat and harassment"
19,"Saxon Fyrd",0,1,1,0,0,0,0,30,35,30,"21,3",0,0,0,0,35,21,1000,1000,,"6,3","1,0",100,50,5,1,100,1,1,,,"Fryds were a group of local militias in the Anglo-Saxon military organisation. They were called in the time of emergency, usually against Viking raidings, by their lords. Poorly equipped with very light armour and a farming tool, club or spear as a weapon, Fryds typically served as a boost to troop number more than the main component of an army."
20,"Saxon Axemen",0,1,1,0,36,0,0,45,45,30,"21,3",0,0,0,0,45,21,1000,1000,,"13,3","1,0",100,50,5,1,100,1,1,,,
21,"Saxon Spearmen",0,1,1,0,"33,36",0,0,30,50,30,"21,3",0,0,0,0,50,21,1000,1000,,"6,3","1,0",100,50,5,1,100,1,1,,,
22,"Saxon Archers",1,1,1,0,0,0,0,10,20,0,"21,3",40,150,80,15,5,19,1000,1000,,"5,3","25,3",100,50,5,1,50,2,1,,,
23,"Saxon Slingers",1,1,1,0,0,0,0,15,20,0,"21,3",40,110,120,10,5,19,1000,1000,,"5,3","20,3",100,50,5,1,50,2,1,,,
24,"Saxon Skirmishers",1,1,1,0,0,0,0,20,30,15,"21,3",40,70,60,6,15,21,1000,1000,,"5,3","22,3",100,50,5,1,50,2,1,,,
25,"Saxon Knights",0,2,1,0,0,0,0,,,,"5,4",0,0,0,0,,21,1000,1000,,"2,4","1,0",100,50,5,1,100,6,2,,,
26,"Saxon Huscarl",0,2,1,111,36,0,0,50,25,15,"5,4",0,0,0,0,65,21,1000,1100,,"14,4","1,0",100,70,5,1,50,1,1,,,"Huscarls or Housecarls are the royal retinues of nordic origin and the main force of Anglo-Saxon English. They are equipped with the finest quality chainmail, a shield and a two-handed Dane axe. Their fierceness in close combat is said to be unmatched in Europe and they will fight to the death if their lord fell in the battle for revenge."
27,"Veteran Huscarl",0,3,1,111,0,0,0,55,25,0,"5,4",0,0,0,0,65,21,1000,1100,,"14,4","1,0",100,80,5,1,30,1,1,,,"These veteran Huscarls are fiercest warriors that yet survive multiple battles and even wars. There is nothing much left required to prove their worth in combat. The only downside is that not many, even for the finest soldiers, can survive combats and still remain combat effective. Especially in the time when medical progress was lacking to say the least. "
28,"Huscarl Bodyguard",0,4,1,111,0,0,0,60,40,10,"5,5",0,0,0,0,70,21,1000,1200,,"14,5","1,0",100,90,5,1,20,1,1,,,"Exclusively finest chosen group of Huscarls to be the royal bodyguard for the king in battle, these men are equipped with the best equipment the blacksmiths at the time can offer. With strict training regiment to retain martial ability to destroy anyone that dares to bring harm to the leader, they are unmatched in melee engagement."
29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
