"ID","p1_skin","p1_face","p1_hair","p1_eyebrow","p1_eye","p1_beard","p1_mouth","p1_head","p1_body","p1_r_arm_up","p1_r_arm_low","p1_r_hand","p1_l_arm_up","p1_l_arm_low","p1_l_hand","p1_r_leg","p1_l_leg","p1_r_foot","p1_l_foot","p1_special","p1_primary_main_weapon","p1_primary_sub_weapon","p1_secondary_main_weapon","p1_secondary_sub_weapon","p2_skin","p2_face","p2_hair","p2_eyebrow","p2_eye","p2_beard","p2_mouth","p2_head","p2_body","p2_r_arm_up","p2_r_arm_low","p2_r_hand","p2_l_arm_up","p2_l_arm_low","p2_l_hand","p2_r_leg","p2_l_leg","p2_r_foot","p2_l_foot","p2_special","p2_primary_main_weapon","p2_primary_sub_weapon","p2_secondary_main_weapon","p2_secondary_sub_weapon","p3_skin","p3_face","p3_hair","p3_eyebrow","p3_eye","p3_beard","p3_mouth","p3_head","p3_body","p3_r_arm_up","p3_r_arm_low","p3_r_hand","p3_l_arm_up","p3_l_arm_low","p3_l_hand","p3_r_leg","p3_l_leg","p3_r_foot","p3_l_foot","p3_special","p3_primary_main_weapon","p3_primary_sub_weapon","p3_secondary_main_weapon","p3_secondary_sub_weapon","p4_skin","p4_face","p4_hair","p4_eyebrow","p4_eye","p4_beard","p4_mouth","p4_head","p4_body","p4_r_arm_up","p4_r_arm_low","p4_r_hand","p4_l_arm_up","p4_l_arm_low","p4_l_hand","p4_r_leg","p4_l_leg","p4_r_foot","p4_l_foot","p4_special","p4_primary_main_weapon","p4_primary_sub_weapon","p4_secondary_main_weapon","p4_secondary_sub_weapon"
"Old Desert Leader","brown","common","short,brown","normal,black","normal,black","none,none","normal","Egyptian","Egyptian","Egyptian","Egyptian","Egyptian","Egyptian","Egyptian","Egyptian","Egyptian","Egyptian","Egyptian","Egyptian","Egyptian","Common","Common","Common","Common","none",,"normal,brown","none,none","normal,brown","none,none","none","Early","Early","Early","Early","Early","Early","Early","Early","Early","Early","Early","Early","Early",,,,,"none",,"none,brown","none,none","normal,brown","none,none","none","Early","Early","Early","Early","Early","Early","Early","Early","Early","Early","Early","Early","Early",,,,,,,,,,,,"Early","Early","Early","Early","Early","Early","Early","Early","Early","Early","Early","Early","Early",,,,
"Taillefer","none","greek","short,brown","normal,brown","normal,brown","none,none","normal","None","European","European","European","European","European","European","European","European","European","European","European","European","Common","Common","Common","Common","true white",,"normal,white","none,none","normal,brown","none,none","none","Common","Common","Common","Common","Common","Common","Common","Common","Common","Common","Common","Common","Common",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Landsknecht Leader","none","block","short,brown","normal,brown","normal,brown","beard,gold","normal","Landsknecht","Landsknecht","Landsknecht","Landsknecht","Landsknecht","Landsknecht","Landsknecht","Landsknecht","Landsknecht","Landsknecht","Landsknecht","Landsknecht","Landsknecht","Common","Common","Common","Common","none",,"normal,brown","none,none","normal,black","none,none","none","Common","Common","Common","Common","Common","Common","Common","Common","Common","Common","Common","Common","Common",,,,,,,,"none,none","normal,black","none,none","none",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Landsknecht Cannon Leader","none","block","short,brown","normal,brown","normal,brown","beard,gold","normal","Landsknecht","Landsknecht","Landsknecht","Landsknecht","Landsknecht","Landsknecht","Landsknecht","Landsknecht","Landsknecht","Landsknecht","Landsknecht","Landsknecht","Landsknecht","Common","Common","Common","Common","none",,"normal,brown","normal,brown","normal,brown","beard,gold","normal","Landsknecht","Landsknecht","Landsknecht","Landsknecht","Landsknecht","Landsknecht","Landsknecht","Landsknecht","Landsknecht","Landsknecht","Landsknecht","Landsknecht","Landsknecht","Common","Common","Common","Common",,,,,,,,,"Common","Common","Common","Common","Common","Common","Common","Common","Common","Common","Common",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Canaan Leader","brown","common","short,black","normal,black","normal,black","none,none","normal","Canaan","Canaan","Canaan","Canaan","Canaan","Canaan","Canaan","Canaan","Canaan","Canaan","Canaan","Canaan","Canaan","Common","Common","Common","Common","none",,"normal,brown","none,none","normal,black","none,none","none","Canaan Noble","Canaan Noble","Canaan Noble","Canaan Noble","Canaan Noble","Canaan Noble","Canaan Noble","Canaan Noble","Canaan Noble","Canaan Noble","Canaan Noble","Canaan Noble","Canaan Noble",,,,,"none",,"normal,brown","none,none","normal,black","none,none","none","Canaan Noble","Canaan Noble","Canaan Noble","Canaan Noble","Canaan Noble","Canaan Noble","Canaan Noble","Canaan Noble","Canaan Noble","Canaan Noble","Canaan Noble","Canaan Noble","Canaan Noble",,,,,,,,,,,,"Canaan Leader","Canaan Leader","Canaan Leader","Canaan Leader","Canaan Leader","Canaan Leader","Canaan Leader","Canaan Leader","Canaan Leader","Canaan Leader","Canaan Leader","Canaan Leader","Canaan Leader",,,,
"Old Egyptian Leader","brown","common","short,black","normal,black","normal,black","none,none","normal","Egyptian Noble","Egyptian Noble","Egyptian Noble","Egyptian Noble","Egyptian Noble","Egyptian Noble","Egyptian Noble","Egyptian Noble","Egyptian Noble","Egyptian Noble","Egyptian Noble","Egyptian Noble","Egyptian Noble","Common","Common","Common","Common","none",,"normal,brown","none,none","normal,black","none,none","none","Egyptian","Egyptian","Egyptian","Egyptian","Egyptian","Egyptian","Egyptian","Egyptian","Egyptian","Egyptian","Egyptian","Egyptian","Egyptian",,,,,"none",,"normal,brown","none,none","normal,black","none,none","none","Egyptian","Egyptian","Egyptian","Egyptian","Egyptian","Egyptian","Egyptian","Egyptian","Egyptian","Egyptian","Egyptian","Egyptian","Egyptian",,,,,,,,,,,,"Egyptian","Egyptian","Egyptian","Egyptian","Egyptian","Egyptian","Egyptian","Egyptian","Egyptian","Egyptian","Egyptian","Egyptian","Egyptian",,,,
"Canaan Leader","brown","common","short,black","normal,black","normal,black","none,none","normal","Canaan","Canaan","Canaan","Canaan","Canaan","Canaan","Canaan","Canaan","Canaan","Canaan","Canaan","Canaan","Canaan","Common","Common","Common","Common","none",,"normal,brown","none,none","normal,black","none,none","none","Canaan Noble","Canaan Noble","Canaan Noble","Canaan Noble","Canaan Noble","Canaan Noble","Canaan Noble","Canaan Noble","Canaan Noble","Canaan Noble","Canaan Noble","Canaan Noble","Canaan Noble",,,,,"none",,"normal,brown","none,none","normal,black","none,none","none","Canaan Noble","Canaan Noble","Canaan Noble","Canaan Noble","Canaan Noble","Canaan Noble","Canaan Noble","Canaan Noble","Canaan Noble","Canaan Noble","Canaan Noble","Canaan Noble","Canaan Noble",,,,,,,,,,,,"Canaan Noble","Canaan Noble","Canaan Noble","Canaan Noble","Canaan Noble","Canaan Noble","Canaan Noble","Canaan Noble","Canaan Noble","Canaan Noble","Canaan Noble","Canaan Noble","Canaan Noble",,,,
"Suleiman","none","hawk","short,brown","normal,brown","normal,brown","mustache,black","normal","Suleiman","Suleiman","Suleiman","Suleiman","Suleiman","Suleiman","Suleiman","Suleiman","Suleiman","Suleiman","Suleiman","Suleiman","Suleiman","Silver","Common","Common","Common","true white",,"normal,white","none,none","normal,brown","none,none","none","Common","Common","Common","Common","Common","Common","Common","Common","Common","Common","Common","Common","Common",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ottoman Noble","none","hawk","short,brown","normal,brown","normal,brown","beard,white","normal","Vizier","Vizier","Vizier","Vizier","Vizier","Vizier","Vizier","Vizier","Vizier","Vizier","Vizier","Vizier","Vizier","Scimitar","Common","Common","Common","none",,"normal,brown","none,none","normal,black","none,none","none","Common","Common","Common","Common","Common","Common","Common","Common","Common","Common","Common","Common","Common",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Hamster","none","common","short,brown","normal,brown","normal,brown","beard,black","normal","Hamster","Hamster","Hamster","Hamster","Hamster","Hamster","Hamster","Hamster","Hamster","Hamster","Hamster","Hamster","Hamster","Hamster","Hamster","Hamster","Hamster",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Louis II","none","hawk","short,brown","normal,brown","normal,brown","beard,black","normal","Golden","Golden","Golden","Golden","Golden","Golden","Golden","Golden","Golden","Golden","Golden","Golden","Golden","Gold","Common","Common","Common",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
