"ID","Name","Description","para1","para2","para3","para4","para5","para6","para7","para8","para9","para10","para11","para12","para13","para14","para15"
10019,"Guard",,,,,,,,,,,,,,,,
10020,"Admiral",,,,,,,,,,,,,,,,
10021,"Mercenary Captain",,,,,,,,,,,,,,,,
10022,"Mercenary",,,,,,,,,,,,,,,,
10023,"Citizen","It is hard to tell what can a simple Citizen accomplish in battle let alone warfare. Maybe they are a hidden gem waiting to be polished or simply a nuisance?",,,,,,,,,,,,,,,
10024,"Slave","Slave revolt can signal the end of an empire. Even those with the worst malnutrition can fight if their lives are upon it. Nevertheless, expect nothing too extravagant. ",,,,,,,,,,,,,,,
10025,"Mayor",,,,,,,,,,,,,,,,
10026,"Slave Master","Slaves are properties. They are trained to obey every command of their master even if that command is to die. A Slave Master will make sure that their servitude is absolute. ",,,,,,,,,,,,,,,
10027,"Logistic Expert",,,,,,,,,,,,,,,,
10028,"Combat Expert",,,,,,,,,,,,,,,,
10029,"Ranger",,,,,,,,,,,,,,,,
10030,"Strategist",,,,,,,,,,,,,,,,
10031,"Standard-bearer","An army or royal standard represents the symbol of an army and its leader. Such a symbol not only boost soldiers' morale but can even inflict fear into the enemy heart. A standard-bearer will make sure that everyone on the battlefield can spot this magnificent symbol without fail.",,,,,,,,,,,,,,,
10032,"Shaman",,,,,,,,,,,,,,,,
10033,"Paladin",,,,,,,,,,,,,,,,
10034,"Inquisitor",,,,,,,,,,,,,,,,
10035,"Veteran",,,,,,,,,,,,,,,,
10036,"Bandit",,,,,,,,,,,,,,,,
10037,"Chieftain","Even the most basic form of human society has seen the face of war. A Chieftain knows full well that the very survival of their community is not only to fence off nature but also other hostile civilisation.",,,,,,,,,,,,,,,
10038,"Berserker","A brave warrior that does not fear death inspire courage in friends and inflict fear on enemies at the same time. A Berserker will fight to their last breath before facing their own death.",,,,,,,,,,,,,,,
10039,"Scout",,,,,,,,,,,,,,,,
10040,"Royal Guard",,,,,,,,,,,,,,,,
10041,"Merchant",,,,,,,,,,,,,,,,
10042,"Military Engineer",,,,,,,,,,,,,,,,
10043,"Medic",,,,,,,,,,,,,,,,
10044,"Bard","A good song to inspire bravery and morale. A Bard and their melody may not be that useful in combat but everyone loves an epic battle theme.",,,,,,,,,,,,,,,
10045,"Steward","The economy is as crucial as the military might in warfare. A careful calculation will go a long way to prevent the country from going bankrupt even if victory is assured.",,,,,,,,,,,,,,,
10046,"Spy","Knowing enemy plan is two steps ahead toward victory. A Spy will let you informed of every move the enemy is taking so a counter plan can be formed. Even if those moves are simply enemy charging head-on.",,,,,,,,,,,,,,,
10047,"Assassin","All is fair in love and all. Dishonourable does not matter for a victory that can prevent death. An Assassin will undertake this honour to accomplish what none can.",,,,,,,,,,,,,,,
10048,"Adventurer",,,,,,,,,,,,,,,,
10049,"Patrician",,,,,,,,,,,,,,,,
10050,"Hunter","The problem of the logistical supply route can be circumvented somewhat by either pillaging or scavenging. The latter option allows an army to proceed in a less noticeable march and of course create less hatred among the local populace. A Hunter skilled enough in this task can lead a fruitful hunt to fill the bellies of the troops.",,,,,,,,,,,,,,,
10051,"Sniper","If a battle can be won by a single death then there is no need for an army. A Sniper can gamble with their skill to kill a general from faraway and cause panic among enemies.",,,,,,,,,,,,,,,
10052,"Messenger","Information is one of the most crucial components of any strategy. A Messenger can make sure that the chain of command is never broken even in the midst of a battle.",,,,,,,,,,,,,,,
10053,"Raider",,,,,,,,,,,,,,,,
10054,"Pirate",,,,,,,,,,,,,,,,
10055,"Blacksmith",,,,,,,,,,,,,,,,
10056,"Dancer",,,,,,,,,,,,,,,,
10057,"Animal Handler",,,,,,,,,,,,,,,,
10058,"Monk","Even a man of faith can partake in a war that is righteous. The presence of a Monk in battle reassure the soldiers that God is indeed on their side.",,,,,,,,,,,,,,,
10059,"Squire",,,,,,,,,,,,,,,,
10060,"Artist","Who can capture the glorious victory than those who have seen it with their owns eyes? With superb ability to translate the greatest deed any leader can accomplish into eternal memory, Artist will make sure your name is forever etched into the fabric of history until the end of time. ",,,,,,,,,,,,,,,
10061,"Historian","Humanity's history is incomplete without the subject of conflict. And what is a better way to be remembered with a Historian on your side? All deeds must not be left unwritten lest your enemies will write them for you.",,,,,,,,,,,,,,,
10062,"Diviner","A Diviner can observe and interpret any sign from heaven beyond human calculation. A positive sign can greatly boost the morale of the entire army, while a negative one allows a leader to recalculate their move to avoid catastrophe.  ",,,,,,,,,,,,,,,
10063,"Cartographer",,,,,,,,,,,,,,,,
10064,"Builder","Sometimes war cannot be won in a day or a single battle. Having a Builder accompany the army to war can make the encampment process much more efficient or maybe they can even assist in the rebuilding of the conquered city or fort.",,,,,,,,,,,,,,,
10065,"Chef","Soldiers cannot fight at their best with a hungry stomach. Even though a Chef cannot provide any assistance directly in a battle or combat. They can greatly improve the rations and quality of mealtime.",,,,,,,,,,,,,,,
10066,"Procurer",,,,,,,,,,,,,,,,
10067,"Inventor","A glimpse into the weakness and practicality of inventions in warfare can only be gained from direct experience, not in a peaceful box of a building that knows no bloodshed. Bringing an Inventor into battle will allow them to absorb all necessary knowledge to bring forth true destruction.",,,,,,,,,,,,,,,
10068,"Explorer",,,,,,,,,,,,,,,,
10069,"Herald",,,,,,,,,,,,,,,,
10070,"Mentor",,,,,,,,,,,,,,,,
10071,"Forger","Deception to create confusion. A Forger can fabricate a command letter or intelligence. The direction of force is prone to manipulation when such force can not even think for itself.",,,,,,,,,,,,,,,
10072,"Jester",,,,,,,,,,,,,,,,
10073,"Musician",,,,,,,,,,,,,,,,
10074,"Navigator",,,,,,,,,,,,,,,,
10075,"Fisherman",,,,,,,,,,,,,,,,
10076,"Barbarian",,,,,,,,,,,,,,,,
10077,"Beastmaster",,,,,,,,,,,,,,,,
10078,"Trickster",,,,,,,,,,,,,,,,
10079,"Farmer",,,,,,,,,,,,,,,,
10080,"Fletcher",,,,,,,,,,,,,,,,
10081,"Zealot",,,,,,,,,,,,,,,,
10082,"Scholar",,,,,,,,,,,,,,,,
10083,"Duelist",,,,,,,,,,,,,,,,
10084,"Saboteur",,,,,,,,,,,,,,,,
10085,"Thief",,,,,,,,,,,,,,,,
10086,"Woodcutter","Some war machine and building materials are just impossible to transport along the army's march. A Woodcutter will ensure that the resource gather process of the most important base material, namely wood, is as efficient as possible.",,,,,,,,,,,,,,,
10087,"Judge",,,,,,,,,,,,,,,,
10088,"Executioner",,,,,,,,,,,,,,,,
10089,"Jailor",,,,,,,,,,,,,,,,
10090,"imy-rA mSa","Ancient egypt army overseer or vizier.",,,,,,,,,,,,,,,
10091,"Ur","Ur is one of the word that refer to a person of status in the Ancient Egypt language. Nobles in the Ancient Egypt society are only below the Pharoah himself and usually serve as a high ranking leader of the military.",,,,,,,,,,,,,,,
10092,"Late Medieval Minor Noble",,,,,,,,,,,,,,,,
10093,"Late Medieval Noble",,,,,,,,,,,,,,,,
