"ID","Name","Type","Range","Area of Effect","Duration","Cooldown","Restriction","Condition","Discipline Requirement","Stamina Cost","Melee Attack Effect","Melee Defence Effect","Ranged Defence Effect","Speed Effect","Accuracy Effect","Range Effect","Reload Effect","Charge Effect","Charge Defence Bonus","HP Regeneration Bonus","Stamina Regeneration Bonus","Morale Bonus","Discipline Bonus","Critical Effect","Physical Damage Effect","Fire Damage Extra","Water Damage Extra","Air Damage Extra","Earth Damage Extra","Poison Damage Extra","Magic Damage Extra","Sight Bonus","Hidden Bonus","Stamina Damage Bonus","Morale Damage Bonus","Status","Enemy Status","Element","Spell","Action","Ruleset"
"L56","Divine Potency",0,0,5,,,,,30,,,,,,,,,,,5,10,300,75,,,,,,,,,,-60,,,,,,,"BuffAll",
"L57","Great Enlightenment",0,0,5,,,,,67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"BuffAll",
"L58","Divine Purity",0,,1,,,,,62,,160,160,160,120,200,,200,250,50,20,30,500,100,,,,,,,,,,,,,,,,,"BuffAll",
"L59","Devout Submission",0,,,,,,,74,,70,70,70,,10,,70,120,,,,100,100,,,,,,,,,-80,,,,,,,,"DebuffUnit",
"L60",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"L61","Conqueror's Destiny",0,0,300,,,,,46,,170,115,105,110,110,,110,150,,,,50,50,,,,,,,,,,,,,,,,,"BuffAll",0
"L62","Wondrous Recovery",,,,,,,,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"L63","Chieftain's Guidance",0,0,5,,,,,31,,120,,,110,,,,130,,,,30,,,,,,,,,,,,,,,,,,"BuffAll",0
"L64","Land Supremacy",0,0,5,,,,,75,,150,150,150,150,150,,150,150,60,,,100,20,,,,,,,,,,,,,,,,,"BuffAll",0
"L65","Commence The Hunt",0,0,300,120,600,,,52,,115,70,60,140,200,150,200,140,-50,,,50,-35,150,,,,,,,,100,100,,,,,,,"BuffAll",
"L66","God Of War",0,0,5,60,600,,,65,,180,160,150,150,180,,150,200,50,,5,50,50,,,,,,,,,,,,,,,,,"BuffAll",0
"L67","Liberty Or Death",0,0,250,60,600,,,50,,125,140,110,115,150,,150,120,45,,,60,10,,,,,,,,,,,,,,,,,"BuffAll",0
"L68","Masterful Ambush",0,0,4,,,,,72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"BuffUnit",0
"L69","Mastermind Perpetration",0,100,150,,,,,77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"DebuffAll",0
"L70","Demon Curse",1,200,4,,,,,32,,25,50,50,30,20,,40,30,-50,-5,-5,-60,-30,,,,,,,,,-10,,,,,,,,,
"L71","Blessing Of Heart",0,150,4,,,,,38,,125,125,125,125,125,,125,125,10,,,35,20,,,,,,,,,,,,,,,,,"BuffAll",
"L72","Cooperation Support",0,60,4,,,,,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"BuffUnit",
"L73","New Choosing",,,,,,,,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"L74","Ingenious Manipulation",1,100,150,,,,,65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"DebuffAll",0
"L75","Enforce Authority",0,,4,,,,,30,,,,,,,,,,,,,-15,50,,,,,,,,,,,,,,,,,"BuffUnit",0
"L76","Illustrative Grandstanding",,,,,,,,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"L77","Sense Recover",0,80,4,,,,,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"L78","Legend Manifestation",,,,,,,,77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"L79","Unleash Hell",,,,,,,,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Summon",
"L80","Undead Rising",,,100,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Summon",
"L81","Triumphant Of The Worthy",0,0,5,,,,,76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"L82","Omen Of Victory",0,0,5,,,,,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"L83","God Speed",0,0,5,,,,,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"BuffAll",
"L84","March Of The Four Wind",0,60,4,30,1500,,,60,,,115,115,400,,,,200,120,,,60,40,,,,,,,,,,,,,,,,,,
"L85","Bribery Betrayal",1,,,,,,,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"L86","Blazing Heart",0,,,,,,,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"L87","Precise Execution",,,5,,,,,61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"L88","Absolute Might",0,0,1,,,,,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"BuffSelf",
"L89","Dream Of Unification",,,,,,,,73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"L90","Zero To One",0,,1,,,,,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"L91","Guardian Star",0,,,,,,,68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"L92","Finest Archer",0,0,1,,,,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"BuffSelf",0
"L93","Grand Combat",0,0,1,,,,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"BuffSelf",0
"L94","Dread Fury",0,,,,,,,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"L95","Paragon Providence",0,,5,,,,,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"BuffAll",
"L96","Will Domination",1,,,,,,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"DebuffUnit",
"L97","Salvation",0,,,,,,,65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Summon",
"L98","Master Plan Initiative",1,,250,,,,,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"DebuffAll",
"L99","Saint Exemplar",0,0,5,,,,,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"L100","Foundation Of An Empire",0,,5,,,,,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"L101","Great Destruction",1,,5,,,,,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"L102","Abandon All Hope",0,0,1,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
"L103","Feast Of Death",,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"L104","Blood Dance",1,,200,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"L105","Song Of Peace",2,,100,,,,,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"L106","Handicap",0,1,0,600,300,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"L107","Challenge Creation",0,1,0,1200,600,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"L108","Escalation Of Conflict",2,1,5,300,1200,,,50,,150,50,50,150,150,,150,200,-100,,,25,-25,,,,,,,,,,-100,,,,,,,,
"L109","Inevitable End",,,,,,,,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"L110","Command Collapse",,,,,,,,64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"L111","Web Of Deception",,,,,,,,86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"L112","Reign Of Order",,,,,,,,67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"L113","Natural Chaos ",,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"L114","Imperial Decree",,,,,,,,64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"L115","Legislate Hegemony",,,,,,,,62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"L116","Forgotten Pain",,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"L117","Crisis Measurement",,,100,2400,,,,68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"L118","Unwavering Faith",,,,,,,,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"L119","Military Masterpiece",,,,,,,,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"L120","Miracle Fortuity",,,,,,,,63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"L121","Winning Move",,,,,,,,78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"L122","Torment Tempest",,,,,,,,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"L123",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"L124",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"L125",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"L126",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"L127",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"L128",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"L129",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"L130",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"L131",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"L132",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"L133",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"L134",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"L135",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"L136",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"L137",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"L138",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"L139",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"L140",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"L141",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"L142",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"L143",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"L144",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"L145",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"L146",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"L147",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"L148",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"L149",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"L150",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"L151",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"L152",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"L153",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"L154",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"L155",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"L156",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"L157",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"L158",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"L159",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"L160",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"L161",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"L162",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
