"ID","Name","Replace","Type","Range","Area of Effect","Duration","Cooldown","Restriction","Condition","Discipline Requirement","Stamina Cost","Melee Attack Effect","Melee Defence Effect","Ranged Defence Effect","Speed Effect","Accuracy Effect","Range Effect","Reload Effect","Charge Effect","Authority Bonus","Charge Defence Bonus","HP Regeneration Bonus","Stamina Regeneration Bonus","Morale Bonus","Discipline Bonus","Critical Effect","Physical Damage Effect","Fire Damage Extra","Water Damage Extra","Air Damage Extra","Earth Damage Extra","Poison Damage Extra","Magic Damage Extra","Sight Bonus","Hidden Bonus","Stamina Damage Bonus","Morale Damage Bonus","Status","Enemy Status","Element","Spell"
"C17","Vanquish Terror","L16",0,50,100,60,300,,,0,,,,,,,,,,,0,0,0,,0,,,,,,,,,,,0,0,1,,0,
"C18",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"C19",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"C20",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"C21",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"C22",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"C23",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"C24",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"C25",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"C26",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"C27",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"C28",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"C29",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"C30",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"C31",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"C32",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"C33",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"C34","Direct Command","L1",0,0,4,120,,,,25,,110,110,110,110,110,,110,110,-30,15,0,0,10,5,,,,,,,,,-40,-30,,,,,,
"C35","Great Maneuver","L21",0,0,5,,,,,32,,,,,135,,,,,5,,0,0,,5,,,,,,,,,,,,,,,,
"C36",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"C37",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"C38",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"C39",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"C40",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"C41",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"C42",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"C43",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"C44",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"C45",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"C46",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"C47",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"C48",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"C49",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"C50",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"C51",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"C52",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"C53",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"C54",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"C55",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"C56",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"C57",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"C58",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"C59",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"C60","Commander's Duty",,0,0,5,,,,,,,110,135,125,120,140,,140,115,30,20,,,20,35,,,,,,,,,,,,,,,,
"C61",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"C62","Command To Obey",,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"C63",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"C64",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"C65",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"C66",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"C67",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"C68",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"C69",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"C70",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"C71",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"C72",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"C73",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"C74",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"C75",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"C76","Bestow Duty",,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"C77",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"C78","Warhorn Signal",,0,0,300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"C79",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"C80",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"C81",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"C82",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"C83",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"C84",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"C85",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"C86",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"C87",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"C88",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"C89","Absolute Command",,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"C90",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"C91",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"C92",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"C93",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"C94",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"C95",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"C96",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"C97",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"C98",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"C99",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"C100",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"C101",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"C102",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"C103",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"C104",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"C105",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"C106",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"C107",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"C108",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"C109",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"C110",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"C111",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"C112",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"C113",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"C114",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"C115",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"C116",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"C117",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"C118",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"C119",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"C120",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"C121",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"C122",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"C123",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"C124",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"C125",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
