"ID","Name","Buff Range","Buff Modifier","Melee Attack Effect","Melee Defence Effect","Ranged Defence Effect","Speed Effect","Accuracy Effect","Reload Effect","Charge Effect","Charge Defence Bonus","HP Regeneration Bonus","Stamina Regeneration Bonus","Morale Bonus","Discipline Bonus","Critical Bonus","Siege Effect","Sight Bonus","Hidden Bonus","Physical Resistance Bonus","Fire Resistance Bonus","Water Resistance Bonus","Air Resistance Bonus","Earth Resistance Bonus","Poison Resistance Bonus","Magic Resistance Bonus","Heat Resistance Bonus","Cold Resistance Bonus","Supply Effect","Upkeep Effect","Mental Bonus","Status","Enemy Status","Special Effect","Cost","Element","Type","Ruleset"
14,"Evasive",1,,,130,130,,,,,30,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,,,0,0,0,,,,"Buff",2
15,"Divine Connection",1,190,,,,,,,,0,0,0,100,0,0,,,,0,0,0,0,0,0,0,0,0,,,0,,0,,,,"Buff",2
16,"Arc Shot",1,,,,,,,,,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,,,0,0,0,25,,,"Buff",0
17,"Agile Aims",1,,,,,,,,,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,,,0,0,0,29,,,"Buff",0
18,"Can Shoot While Moving",1,,,,,,,,,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,,,0,0,0,28,,,"Buff",0
19,"Concentrated Aims",1,,,,,,,,,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,,,0,0,0,,,,"Buff",0
20,"Concentrated Chant",1,,,,,,,,,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,,,0,0,0,,,,"Buff",2
21,"Anti-Infantry",1,,,,,,,,,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,,,0,0,0,26,,,"Buff",0
22,"Anti-Flyer",1,,,,,,,,,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,,,0,0,0,,,,"Buff",0
23,"Anti-Cavalry",1,,,,,,,,,20,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,,,0,0,0,27,,,"Buff",0
24,"Anti-Mage",1,,,,,,,,,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,,,0,0,0,,,,"Buff",2
25,"Anti-Machine",1,,,,,,,,,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,,,0,0,0,,,,"Buff",2
26,"Anti-Large",1,,,,,,,,,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,,,0,0,0,,,,"Buff",2
27,"Anti-All",1,,,,,,,,,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,,,0,0,0,,,,"Buff",0
28,"Anti-Structure",1,,,,,,,,,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,,,0,0,0,,,,"Buff",0
29,"Ignore Charge Defense",1,,,,,,,,,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,,,0,0,0,32,,,"Buff",2
30,"Ignore Defense",1,,,,,,,,,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,,,0,0,0,33,,,"Buff",2
31,"Cannibal",1,,,,,,,,,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,,,0,,0,,,,"Buff",2
32,"Defiant Defense",1,,110,130,130,,,,,0,0,0,25,10,0,,,,0,0,0,0,0,0,0,0,0,,,0,,0,,,,"Buff",0
33,"Backstaber",1,,,,,,,,,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,,,0,,0,35,,,"Buff",2
34,"Battle Master",1,,,,,,,,,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,,,0,0,0,34,,,"Buff",0
35,"Absolute Defense",1,,,150,150,,,,,50,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,,,0,0,0,,,,"Buff",0
36,"Great Saint",1,,,,,,,,,0,0,0,10000,0,0,,,,10,0,0,0,0,0,0,0,0,,,0,,0,,,,"Buff",2
37,"Battle Saint",1,,,,,,,,,0,0,0,0,0,0,,,,20,0,0,0,0,0,0,0,0,,,0,,0,,,,"Buff",2
38,"No Hunger",1,,,,,,,,,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,-100,30,0,,0,,,,"Buff",2
39,"Patriotic",1,,,,,,,,,0,0,0,30,0,0,,,,0,0,0,0,0,0,0,0,0,,50,0,,0,,,,"Buff",0
40,"Siege Expert",1,,,,,,,,,0,0,0,0,0,0,150,,,0,0,0,0,0,0,0,0,0,,,0,0,0,,,,"Buff",0
41,"Unadvancable",1,,,,,,,,,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,,,0,0,0,,,,"Buff",2
42,"Hunger Instinct",1,,140,80,80,130,,,,0,0,0,-10,0,0,,,,0,0,0,0,0,0,0,0,0,,,0,,0,,,,"Buff",2
43,"Famed",2,,,,,,,,,0,0,0,10,10,0,,,,0,0,0,0,0,0,0,0,0,,,0,3,0,,,,"Area Buff",0
44,"Armistice Bringer",3,,,,,,,,,0,0,0,-50,0,0,,,,0,0,0,0,0,0,0,0,0,,,0,,0,,,,"Area Buff",2
45,"Shield Expert",1,,,120,120,,,,,15,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,,,0,,0,,,,"Buff",0
46,"Crumble",1,,60,60,100,60,60,60,60,-100,0,0,60,0,0,,,,-70,0,0,0,0,0,0,0,0,,,0,,0,,,,"Debuff",2
47,"Superb Flanker",1,,,,,,,,,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,,,0,,0,37,,,"Buff",0
48,"Bandit Honour",1,,,,,,,,,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,,,0,,0,,,,"Buff",2
49,"Indomitable",1,,,,,,,,,0,0,0,0,0,0,,,,5,0,0,0,0,0,0,0,0,,,0,,0,,,,"Buff",2
50,"Endearing Performance",3,,,,,,,,,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,,,0,,0,,,,"Area Buff",2
51,"True Hero",,,,,,,,,,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,,,50,,0,,,,,2
52,"Legendary Might",1,,150,130,,120,,,150,0,0,0,0,0,0,,,,20,0,0,0,0,0,0,0,0,,,0,,0,,,,"Buff",2
53,"Innocence Grace",,,70,130,130,,,70,,20,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,,,0,,0,,,,,2
54,"Magical Weapon",1,,,,,,,,,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,,,0,,0,,,,"Buff",2
55,"Oblivious To Unexpected",1,,,,,,,,,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,,,0,,0,36,,,"Debuff",2
56,"Causes Fear",1,,,,,,,,,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,,,0,0,2,,,,"Buff",0
57,"Causes Terror",2,,,,,,,,,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,,,0,0,2,,,,"Area Buff",0
58,"Inspires Hope",2,,,,,,,,,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,,,10,3,0,,,,"Area Buff",0
59,"Inspires Bravery",3,,,,,,,,,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,,,10,3,0,,,,"Area Buff",0
60,"Heart Of Steel",1,,,,,,,,,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,,,0,,0,,,,"Buff",2
61,"Hope And Despair",,,,,,,,,,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,,,0,3,2,,,,,2
62,"Healing Mucus",1,,,,,,,,,0,0.5,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,,,0,,0,,,,"Buff",2
63,"Ancestral Bond",,,,,,,,,,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,,,0,,0,,,,,2
64,"True Chosen",,,,,,,,,,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,,,0,,0,,,,,2
65,"The War Of Love",,,,,,,,,,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,,,0,,0,,,,,2
66,"Final Flame",,,,,,,,,,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,,,0,,0,,,,,2
67,"Glorious Appearance",,,,,,,,,,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,,,0,,0,,,,,0
68,"Holy Defense",,,,110,110,,,,,10,0,0,0,0,0,,,,20,0,0,0,0,0,0,0,0,,,0,,0,,,,,2
69,"Vile Veil",,,,105,120,,,,,40,0,0,0,0,0,,,,5,0,0,0,0,0,0,0,0,,,0,,0,,,,,2
70,"Xenophobic Bunch",1,,,,,,,,,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,,,0,0,0,,,,"Debuff",2
71,"Eyes Of Satiens",,,,,,,,,,0,0,0,0,0,0,,25,,0,0,0,0,0,0,0,0,0,,,0,0,0,,,,,2
72,"Farsight",1,,,,110,,,,,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,,,0,0,0,,,,"Buff",2
73,"No Range Penalty",1,,,,,,,,,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,,,0,0,0,30,,,"Buff",2
74,"Long Range Accuracy",1,,,,,,,,,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,,,0,0,0,31,,,"Buff",0
75,"Entertainer",3,,,,,,,,,0,0,0,15,0,0,,,,0,0,0,0,0,0,0,0,0,,,0,,0,,,,"Area Buff",2
76,"Virtue Of Honour",,,,,,,,,,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,,,0,,0,,,,,2
77,"Royal Banner",,,,,,,,,,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,,,0,,0,,,,,0
78,"Missile Resistance",1,,,,,,,,,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,,,0,0,0,,,,"Buff",2
79,"Pain Resistance",1,,,,,,,,,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,,,0,0,0,,,,"Buff",2
80,"Poison Resistance",1,,,,,,,,,0,0,0,0,0,0,,,,0,0,0,0,0,50,0,0,0,,,0,0,0,,,,"Buff",2
81,"Cold Resistance",1,,,,,,,,,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,50,,,0,0,0,,,,"Buff",0
82,"Heat Resistance",1,,,,,,,,,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,50,0,,,0,0,0,,,,"Buff",0
83,"Fire Resistance",1,,,,,,,,,0,0,0,0,0,0,,,,0,50,0,0,0,0,0,30,0,,,0,0,0,,,,"Buff",2
84,"Water Resistance",1,,,,,,,,,0,0,0,0,0,0,,,,0,0,50,0,0,0,0,0,30,,,0,0,0,,,,"Buff",2
85,"Air Resistance",1,,,,,,,,,0,0,0,0,0,0,,,,0,0,0,50,0,0,0,0,0,,,0,0,0,,,,"Buff",2
86,"Earth Resistance",1,,,,,,,,,0,0,0,0,0,0,,,,0,0,0,0,50,0,0,0,0,,,0,0,0,,,,"Buff",2
87,"Fatigue Resistance",1,,,,,,,,,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,,,0,0,0,,,,"Buff",2
88,"Magic Resistance",1,,,,,,,,,0,0,0,0,0,0,,,,0,0,0,0,0,0,50,0,0,,,0,0,0,,,,"Buff",2
89,"Swamp Crosser",1,,,,,,,,,0,0,0,0,0,0,,,,0,0,0,0,0,30,0,0,20,,,0,0,0,,,,"Buff",2
90,"Sylvan",1,,,,,,,,,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,,,0,0,0,,,,"Buff",2
91,"Blight Habitat",1,,,,,,,,,0,0,0,0,0,0,,,,0,0,0,0,0,70,0,0,0,,,0,0,0,,,,"Buff",2
92,"Aquatic",1,,,,,,,,,0,0,0,0,0,0,,,,0,0,70,0,0,0,0,0,50,,,0,0,0,,,,"Buff",2
93,"Urban Guerrilla",1,,,,,,,,,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,,,0,0,0,,,,"Buff",2
94,"Sand Scavenger",1,,,,,,,,,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,30,0,,,0,0,0,,,,"Buff",2
95,"First Blood",1,,,,,,,,,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,,,0,,0,,,,"Buff",2
96,"Fervent Devotion",1,,,,,,,,,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,,,0,,0,,,,"Buff",2
97,"Horror Of War",,,,,,,,,,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,,,0,,0,,,,,2
98,"No Morale",1,,,,,,,,,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,,,0,,0,,,,"Buff",2
99,"Unholy Valour",,,,,,,,,,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0,0,,,0,,0,,,,,2
100,"Knightly Valour",,,,,,,,,,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0,0,,,0,,0,,,,,2
101,"Thorny Armour",,,,,,,,,,10,0,0,0,0,0,,,,,0,0,0,0,0,0,0,0,,,0,,0,,,,,2
102,"Unstoppable",,,,150,150,,,,130,20,0,0,50,0,0,,,,30,0,0,0,0,0,0,0,0,,,20,0,0,,,,,2
103,"Battle Preparation",,,115,115,115,110,,115,115,10,0,0,20,10,0,15,,,0,0,0,0,0,0,0,0,0,,,0,0,0,,,,,0
104,"Blessed",1,,,,,,,,,0,0,0,0,0,0,,,,0,,,,,,,,,,,0,18,0,,,,"Buff",2
105,"Cursed",1,,,,,,,,,0,0,0,0,0,0,,,,0,,,,,,,,,,,0,19,0,,,,"Debuff",2
106,"Lucky",1,,,,,,,,,0,0,0,0,0,0,,,,0,,,,,,,,,,,0,0,0,,,,"Buff",2
107,"Unlucky",1,,,,,,,,,0,0,0,0,0,0,,,,0,,,,,,,,,,,0,0,0,,,,"Debuff",2
108,"Inner Demon",,,,,,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,0,,0,,,,,2
109,"Fanatical Backstabbing",,,,,,,,,,0,0,0,0,0,0,,,,0,,,,,,,,,,,0,,0,,,,,2
110,"Tireless",1,,,,,,,,,0,0,100,0,0,0,,,,0,0,0,0,0,0,0,0,0,,,0,0,0,,,,"Buff",2
111,"Unbreakable",1,,,110,110,,,,,0,0,0,100,20,0,,,,0,0,0,0,0,0,0,0,0,,,50,0,0,38,,,"Buff",0
112,"Savage Looter",1,,,,,,,,,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,,,0,0,0,,,,"Buff",0
113,"Catcher Expert",1,,,,,,,,,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,,,0,0,0,,,,"Buff",0
114,"Marvelous Athletic",1,,,,,,,,,0,0,1,0,0,0,,,,0,0,0,0,0,0,0,0,0,,,0,,0,,,,"Buff",0
115,"Iron Discipline",1,,,,,,,,,0,0,0,0,20,0,,,,0,0,0,0,0,0,0,0,0,,,20,0,0,,,,"Buff",0
116,"Sticky Attack",1,,,,,,,,,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,,,0,0,24,,,,"Buff",2
117,"Curse Strike",1,,,,,,,,,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,,,0,0,19,,,,"Buff",2
118,"Infective Touch",1,,,,,,,,,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,,,0,0,0,,,,"Buff",2
119,"Stunning Blast",1,,,,,,,,,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,,,0,0,23,,,,"Buff",2
120,"Mana Stealer",1,,,,,,,,,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,,,0,,0,,,,"Buff",2
121,"Maiden Of Meldolea",,,,,,,,,,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0,0,,,0,,0,,,,,2
122,"Perverted Agony",,,,,,,,,,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,,,0,,0,,,,,2
123,"Battlelust",,,,,,,,,,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,,,0,0,0,,,,,2
124,"Justice Order",,,,,,,,,,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,,,0,0,0,,,,,2
125,"Unbreakable Bond",,,,,,,,,,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,,,0,0,0,,,,,2
126,"Dread Challenger",,,,,,,,,,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,,,0,0,0,,,,,2
127,"Headtaker",1,,,,,,,,,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,,,0,0,0,,,,"Buff",2
128,"Nasty Smell",2,,,,,,,,,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,,,0,,0,,,,"Area Debuff",2
129,"Scourge Of The Land",,,,,,,,,,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,,,0,,0,,,,,2
130,"Poison Blood",,,,,,,,,,0,0,0,0,0,0,,,,0,0,0,0,0,100,0,0,0,,,0,0,26,,,,,2
131,"Mirage Trickery",1,,,135,150,,,,,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,,,0,0,0,,,,"Buff",2
132,"Martial Perfection ",1,,150,150,150,110,150,150,150,30,0,0,0,50,0,,,,0,0,0,0,0,0,0,0,0,,,0,0,0,,,,"Buff",2
133,"Unparalleled Mind",1,,,,,,,,,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,,,0,0,0,,,,"Buff",2
134,"Forgetful",1,,,,,,,,,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,,,0,,0,,,,"Debuff",2
135,"Joyful Departure",,,,,,,,,,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,,,0,0,0,,,,,2
136,"High Jumper",1,,,,,,,,,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,,,0,,0,,,,"Buff",2
137,"Unkillable",1,,,,,,,,,0,0,0,0,0,0,,,,1000,100,100,100,100,100,100,0,0,,,0,,0,,,,"Buff",2
138,"Panic Rampage",,,,,,,,,,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,,,0,,0,,,,,2
139,"Life Steal",,,,,,,,,,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,,,0,,0,,,,,2
140,"Epic Esoteric",,,,,,,,,,0,0,0,50,0,0,,,,0,0,0,0,0,0,0,0,0,,,0,,0,,,,,2
141,"Death Bound",,,,,,,,,,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0,0,,,0,,0,,,,,2
142,"Lone Wolf",1,,,,,,,,,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,,,0,,0,,,,"Buff",2
143,"Jolly Flock",,,,,,,,,,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,,,0,,0,,,,,2
144,"Great Eater",,,,,,,,,,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,,,0,,0,,,,,2
145,"Rotten Smell",,,,,,,,,,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,,,0,,0,,,,,2
146,"Wall Climbing",,,,,,,,,,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,,,0,,0,,,,,2
147,"Hero Killer",,,,,,,,,,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,,,0,,0,,,,,2
148,"Command Independent",1,,,,,,,,,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,,,0,0,0,,,,"Buff",2
149,"Impetuous",1,,,,,,,,,0,0,0,0,-20,0,,,,0,0,0,0,0,0,0,0,0,,,0,0,0,41,,,"Debuff",0
150,"Greslanoul's Mastery",,,,,,,,,,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,,,0,,0,,,,,2
151,"Hearty Competition",,,,,,,,,,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,,,0,,0,,,,,2
152,"Battle Juggernaut",,,130,150,150,,,,,30,0,200,25,0,0,,,,20,0,0,0,0,0,0,0,0,,,0,,0,,,,,2
153,"Fury Of Abalkael",,,,,,,,,,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,,,0,,0,,,,,2
154,"Kelsilious's Zeal",,,,,,,,,,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0,0,,,0,,0,,,,,2
155,"Epganates's Persistence",,,,,,,,,,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0,0,,,0,,0,,,,,2
156,"Arcane Protection",,,,,,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,0,,0,,,,,2
157,"Heroic Spirit",4,,120,120,,120,120,120,120,120,0,0,100,20,0,,,,40,,,,,,,,,,,0,,0,,,,"Area Buff",2
158,"Deathwish",,,,,,,,,,0,0,0,0,0,0,,,,0,,,,,,,,,,,0,,0,,,,,2
159,"Algolga's Disciple",,,,,,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,0,,0,,,,,2
160,"Troll Blood",,,,,,,,,,0,0,0,0,0,0,,,,0,,,,,,,,,,,0,0,0,,,,,2
161,"Hope Crusher",,,,,,,,,,0,0,0,0,0,0,,,,0,,,,,,,,,,,0,0,0,,,,,2
162,"Merciless",1,,,,,,,,,0,0,0,0,0,0,,,,0,,,,,,,,,,,0,,0,,,,"Buff",2
163,"Fragile Will",1,,,,,,,,,0,0,0,0,0,0,,,,0,,,,,,,,,,,0,,0,,,,"Debuff",0
164,"Overwhelming Presence",,,,,,,,,,15,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,,,0,,0,,,,,2
165,"Headshotter",,,,,,,,,,0,0,0,0,0,25,,,,0,0,0,0,0,0,0,0,0,,,0,,0,,,,,2
166,"Perfect Aims",,,,,,,,,,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,,,0,,0,,,,,2
167,"Personal Escort",,,,,,,,,,20,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,,,0,,0,,,,,0
168,"Domination Aura",,,,,,,,,,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,,,0,,0,,,,,2
169,"Fire Being",1,,,,,,,,,0,0,0,0,0,0,,,,0,100,-50,0,0,0,0,50,0,,,0,0,0,,,,"Buff",2
170,"Water Being",1,,,,,,,,,0,0,0,0,0,0,,,,0,0,100,-50,0,0,0,0,50,,,0,0,0,,,,"Buff",2
171,"Air Being",1,,,,,,,,,0,0,0,0,0,0,,,,0,0,0,100,-50,0,0,0,0,,,0,0,0,,,,"Buff",2
172,"Earth Being",1,,,,,,,,,0,0,0,0,0,0,,,,0,-50,0,0,100,0,0,0,0,,,0,0,0,,,,"Buff",2
173,"Icy Being",1,,,,,,,,,0,0,0,0,0,0,,,,0,0,50,0,0,0,0,-50,100,,,0,0,0,,,,"Buff",2
174,"Righteous Might",,,,,,,,,,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,,,0,0,0,,,,,2
175,"Calming Berserk",,,,,,,,,,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,,,0,,0,,,,,2
176,"Spectacle Showdown",,,,,,,,,,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,,,0,,0,,,,,2
177,"Pantheon's Favour",,,,,,,,,,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,,,0,,0,,,,,2
178,"Magical Conflux",,,,,,,,,,0,0,0,0,0,0,,,,0,,,,,,,,,,,0,,0,,,,,2
179,"Shadow Fog",,,,,,,,,,,0,0,0,0,0,,,,0,,,,,,,,,,,0,,0,,,,,2
180,"Penetration Shots",,,,,,,,,,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,,,0,0,0,,,,,2
181,"Gallant Example",,,,,,,,,,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,,,0,,0,,,,,0
182,"Unholy Flesh",,,,,,,,,,0,0,0,0,0,0,,,,5,0,0,0,0,0,0,0,0,,,0,,0,,,,,2
183,"Field Medic",,,,,,,,,,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,,,0,0,0,,,,,0
184,"Divine Presence",,,,,,,,,,0,0,0,0,0,0,,,,0,,,,,,,,,,,0,,0,,,,,2
185,"Plague Carrier",,,,,,,,,,0,0,0,0,0,0,,,,0,,,,,,,,,,,0,20,0,,,,,2
186,"Blight Bearer",,,,,,,,,,0,0,0,0,0,0,,,,0,,,,,,,,,,,0,21,0,,,,,2
187,"Antarndenxor",,,,,,,,,,,0,0,0,0,0,,,,,,,,,,,,,,,0,,0,,,,,2
188,"Dawn Hum",,,,,,,,,,,0,0,0,0,0,,,,0,,,,,,,,,,,0,,0,,,,,2
189,"Sunset Beginning",,,,,,,,,,,0,0,0,0,0,,,,0,,,,,,,,,,,0,,0,,,,,2
190,"Forestry",,,,,,,,,,0,0,0,0,0,0,,,,0,,,,,,,,,,,0,0,0,,,,,0
191,"Seamate",,,,,,,,,,0,0,0,0,0,0,,,,0,,,,,,,,,,,0,0,0,,,,,0
192,"Mountaineer",,,,,,,,,,0,0,0,0,0,0,,,,0,,,,,,,,,,,0,0,0,,,,,0
193,"Cave Crawling",,,,,,,,,,0,0,0,0,0,0,,,,0,,,,,,,,,,,0,0,0,,,,,0
