"ID","Row 1","Row 2","Row 3","Row 4","Row 5","POS","Leader","Unit Position","Faction","Angle","Start Health","Start Stamina","Team"
39,"26,26,26,26,26","27,28,h,28,27","0,0,0,0,0","0,0,0,0,0","0,0,0,0,0",,27,,2,180,100,90,2
40,"19,19,19,19,19","22,24,h,24,22","0,0,0,0,0","0,0,0,0,0","0,0,0,0,0",,28,,2,180,100,90,2
41,"19,19,19,19,19","22,23,h,23,22","0,0,0,0,0","0,0,0,0,0","0,0,0,0,0",,29,,2,180,100,90,2
42,"19,19,19,19,19","22,24,h,24,22","0,0,0,0,0","0,0,0,0,0","0,0,0,0,0",,10001,,2,180,100,90,2
43,"19,19,19,19,19","22,23,h,23,22","0,0,0,0,0","0,0,0,0,0","0,0,0,0,0",,10001,,2,180,100,90,2
44,"19,19,19,19,19","22,23,h,23,22","0,0,0,0,0","0,0,0,0,0","0,0,0,0,0",,31,,2,180,100,90,2
45,"0,19,19,19,0","0,19,h,19,0","0,0,0,0,0","0,0,0,0,0","0,0,0,0,0",,35,,2,180,100,90,2
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
49,"26,26,26,26,26","19,19,19,19,19","22,23,h,23,22","0,0,0,0,0","0,0,0,0,0",,10001,"556,300",2,180,100,90,2
50,"26,26,26,26,26","19,19,19,19,19","22,23,h,23,22","0,0,0,0,0","0,0,0,0,0",,10001,"523,300",2,180,100,90,2
51,"19,19,19,19,19","19,19,h,19,19","22,24,23,24,22","0,0,0,0,0","0,0,0,0,0","622,300",10000,"589,300",2,180,100,90,2
52,"19,19,19,19,19",,,"0,0,0,0,0","0,0,0,0,0",,32,"622,300",2,180,100,90,2
53,"19,19,19,19,19","22,23,h,23,22",,"0,0,0,0,0","0,0,0,0,0",,10001,"490,300",2,180,100,90,2
54,"19,19,19,19,19",,,"0,0,0,0,0","0,0,0,0,0",,33,,2,180,100,90,2
55,"26,26,26,26,26,26,26,26","19,19,19,19,19,19,19,19","22,23,24,23,24,23,24,22","0,0,0,0,0","0,0,0,0,0","490,300",10000,,2,180,100,90,2
56,,,,"0,0,0,0,0","0,0,0,0,0",,34,,2,180,100,90,2
57,,,,"0,0,0,0,0","0,0,0,0,0",,10001,,2,180,100,90,2
58,,,,"0,0,0,0,0","0,0,0,0,0",,10001,,2,180,100,90,2
