"ID","Name","Health","Authority","Melee Command","Range Command","Cavalry Command","Combat","Social Class","Trait","Ability","Mana","Race","Description"
79,"Mengkja",,,,,,,,,,,1,
80,"Tanrsakt",,,,,,,,,,,1,
81,"Benjgai",,,,,,,,,,,1,
82,"Kadeloner",,,,,,,,,,,1,
83,"Diagieze",,,,,,,,,,,1,
84,"Nadinsorn",,,,,,,,,,,1,
85,"Nenwu",,,,,,,,,,,1,
86,"Lapilna",,,,,,,,,,,1,
87,"Uamalilana",,,,,,,,,,,1,
88,"Arltii",,,,,,,,,,,1,
89,"Shini",,,,,,,,,,,1,
90,"Armina",,,,,,,,,,,1,
91,"Landemes",,,,,,,,,,,1,
92,"Palanaulny",,,,,,,,,,,1,
93,"Mal Nai Larn",,,,,,,,,,,1,
94,"Saihali",,,,,,,,,,,1,
95,"Monnirl Maaeir",,,,,,,,,,,1,
96,"Dellin",,,,,,,,,,,1,
97,"Masitha",,,,,,,,,,,1,
98,"Lannoire",,,,,,,,,,,1,
99,"Walantah",,,,,,,,,,,1,
100,"Sanlelly",,,,,,,,,,,1,
101,,,,,,,,,,,,,
102,,,,,,,,,,,,,
103,,,,,,,,,,,,,
104,,,,,,,,,,,,,
105,,,,,,,,,,,,,
106,,,,,,,,,,,,,
107,,,,,,,,,,,,,
108,,,,,,,,,,,,,
109,,,,,,,,,,,,,
110,,,,,,,,,,,,,
111,,,,,,,,,,,,,
112,,,,,,,,,,,,,
113,,,,,,,,,,,,,
114,,,,,,,,,,,,,
115,,,,,,,,,,,,,
116,,,,,,,,,,,,,
117,,,,,,,,,,,,,
118,,,,,,,,,,,,,
119,,,,,,,,,,,,,
120,,,,,,,,,,,,,
121,,,,,,,,,,,,,
122,,,,,,,,,,,,,
123,,,,,,,,,,,,,
124,,,,,,,,,,,,,
125,,,,,,,,,,,,,
126,,,,,,,,,,,,,
127,,,,,,,,,,,,,
128,,,,,,,,,,,,,
129,,,,,,,,,,,,,
130,,,,,,,,,,,,,
131,,,,,,,,,,,,,
132,,,,,,,,,,,,,
133,,,,,,,,,,,,,
134,,,,,,,,,,,,,
135,,,,,,,,,,,,,
136,,,,,,,,,,,,,
137,,,,,,,,,,,,,
138,,,,,,,,,,,,,
139,,,,,,,,,,,,,
