"ID","Name","Infantry Speed/Charge Effect","Infantry Combat Effect","Infantry Defense Effect","Cavalry Speed/Charge Effect","Cavalry Combat Effect","Cavalry Defense Effect","Range Defense Bonus","Hide Bonus","Discipline Bonus","Day Temperature","Night Temperature","Dust","Status","Type"
27,"Volcanic Forest",70,110,130,50,70,80,40,60,-40,0,-20,5,,"Forest"
28,"Inland Water",30,50,70,40,60,80,0,0,-80,10,-10,0,1,"Inland Water"
29,"Road",120,100,100,150,100,100,0,0,5,0,-10,20,,"Road"
30,"Building",50,110,130,30,60,60,40,,,5,-5,5,,"Urban Building"
31,"Fertile Farm",90,110,120,80,85,85,15,45,-25,0,-15,5,,"Farm"
32,"Pandemonium",100,100,100,100,100,100,0,0,0,0,0,0,,"Pandemonium"
33,"Fire Mana",100,100,,100,100,,0,10,0,90,65,0,,"Mana"
34,"Creeping Rot",,,,,,,0,10,-30,10,-15,5,3,"Rot"
35,"Muddy Ground",20,80,90,30,90,90,,,-35,0,-20,0,,"Wet Ground"
36,"Desert Plain",100,100,100,100,100,100,0,0,0,50,-30,50,,"Plain"
37,"Desert Sand",100,100,100,100,100,100,0,0,0,70,-50,70,,"Barren"
38,"Desert Shrubland",100,100,110,90,95,100,10,10,-5,40,-40,40,,"Plant Field"
39,"Desert Forest",80,110,130,50,70,80,30,50,-25,30,-50,20,,"Forest"
40,"Desert Water",50,80,90,70,90,100,0,5,-10,20,-60,0,,"Inland Water"
41,"Sand Road",110,100,100,130,100,100,0,0,0,50,-40,50,,"Road"
42,"Desert Dwelling",50,110,130,30,60,60,40,30,0,30,-15,30,,"Urban Building"
43,"Desert Farm",90,110,120,80,85,85,15,40,0,50,-20,10,,"Farm"
44,"Pandemonium",100,100,100,100,100,100,0,0,-25,0,0,0,,"Pandemonium"
45,"Earth Mana",100,100,100,100,100,,0,10,0,50,0,40,,"Mana"
46,"Creeping Rot",80,100,,70,100,,0,10,-30,50,10,10,3,"Rot"
47,"Quicksand",10,50,,20,50,,0,10,-35,20,-40,0,4,"Wet Ground"
48,"Snow",70,100,,90,100,,0,10,-10,-60,-100,0,,"Plain"
49,"Tundra",100,100,,100,100,,0,0,0,-40,-90,5,,"Barren"
50,"Arctic Shrubland",90,110,,80,85,,15,30,-20,-40,-90,0,,"Plant Field"
51,"Arctic Forest",70,120,,50,70,,40,60,-50,-60,-110,0,,"Forest"
52,"Frozen Water",50,100,,70,100,,0,0,-20,-75,-130,0,,"Inland Water"
53,"Snow Road",100,100,,110,100,,0,,0,-55,-100,0,,"Road"
54,"Warm Shelter",50,110,,30,60,,40,,10,-10,-25,0,,"Urban Building"
55,"Arctic Farm",100,100,,100,100,,0,,-30,-40,-70,0,,"Farm"
56,"Pandemonium",100,100,100,100,100,100,0,0,0,0,0,0,,"Pandemonium"
57,"Ice Mana",,,,,,,0,,0,-80,-120,0,,"Mana"
58,"Preserving Rot",80,100,,70,100,,0,,-15,-65,-80,0,,"Rot"
59,"Ice Ground",,,,,,,0,0,-10,-80,-130,0,,"Wet Ground"
60,"Blight Land",,,,,,,,,,,,25,,"Plain"
61,"Poisoned Land",,,,,,,,,,,,15,,"Barren"
62,"Forbidden Field",,,,,,,,,,,,10,,"Plant Field"
63,"Blight Forest",,,,,,,,,,,,0,,"Forest"
64,"Poisoned Water",,,,,,,,,,,,0,,"Inland Water"
65,"Blight Path",,,,,,,,,,,,10,,"Road"
66,"Blight Shelter",,,,,,,,,,,,5,,"Urban Building"
67,"Exotic Farm",,,,,,,,,,,,5,,"Farm"
68,"Pandemonium",100,100,100,100,100,100,0,0,,0,0,0,,"Pandemonium"
69,"Poisoned Mana",,,,,,,,,,,,0,,"Mana"
70,"Creeping Rot",,,,,,,,,,,,0,3,"Rot"
71,"Poison Mud",20,80,90,30,90,90,,,,,,0,,"Wet Ground"
72,"Void",,,,,,,,,,0,0,0,,"Plain"
73,"Void",,,,,,,,,,0,0,0,,"Barren"
74,"Void",,,,,,,,,,0,0,0,,"Plant Field"
75,"Void",,,,,,,,,,0,0,0,,"Forest"
76,"Void",,,,,,,,,,0,0,0,,"Inland Water"
77,"Void",,,,,,,,,,0,0,0,,"Road"
78,"Void",,,,,,,,,,0,0,0,,"Urban Building"
79,"Void",,,,,,,,,,0,0,0,,"Farm"
80,"Pandemonium",,,,,,,,,,0,0,0,,"Pandemonium"
81,"Leyline",,,,,,,,,,,,0,,"Mana"
82,"Creeping Rot",80,100,,70,100,,,,,,,0,3,"Rot"
83,"Void",,,,,,,,,,,,0,,"Wet Ground"
84,"Underworld Prairie",,,,,,,,,,,,0,,"Plain"
85,"Infernal Land",,,,,,,,,,,,40,,"Barren"
86,"Demonic Wild",,,,,,,,,,,,30,,"Plant Field"
87,"Demonic Forest",,,,,,,,,,,,15,,"Forest"
88,"Boiling Water",,,,,,,,,,,,0,,"Inland Water"
89,"Otherworld Pathway",,,,,,,,,,,,35,,"Road"
90,"Demonic Dwelling",,,,,,,,,,,,20,,"Urban Building"
91,"Crimson Farm",,,,,,,,,,,,10,,"Farm"
92,"Pandemonium",,,,,,,,,,,,0,,"Pandemonium"
93,"Unstable Mana",,,,,,,,,,,,0,,"Mana"
94,"Creeping Rot",80,100,,70,100,,,,,,,0,,"Rot"
95,"Underworld Pull",,,,,,,,,,,,0,,"Wet Ground"
96,"Fresh Land",,,,,,,,,,,,0,,"Plain"
97,"Death Land",,,,,,,,,,,,10,,"Barren"
98,"Undead Field",,,,,,,,,,,,5,,"Plant Field"
99,"Dark Forest",,,,,,,,,,,,0,,"Forest"
100,"Silence Water",,,,,,,,,,,,0,,"Inland Water"
101,"End Path",,,,,,,,,,,,5,,"Road"
102,"Rest Refuge",,,,,,,,,,,,0,,"Urban Building"
103,"Fresh Farm",,,,,,,,,,,,0,,"Farm"
104,"Pandemonium",,,,,,,,,,,,0,,"Pandemonium"
105,"Life Mana",,,,,,,,,,,,0,,"Mana"
106,"Rotten Land",,,,,,,,,,,,0,3,"Rot"
107,"Rotten Swamp",,,,,,,,,,,,0,,"Wet Ground"
108,"Lively Water",50,80,100,65,90,100,0,0,-50,-20,-45,0,1,"Plain"
109,"Empty Water",50,80,100,65,90,100,0,0,-50,-20,-45,0,1,"Barren"
110,"Marsh",40,70,80,50,75,85,0,30,-60,-30,-60,0,"1,6","Plant Field"
111,"Swamp",30,60,70,40,70,80,25,40,-70,-30,-60,0,"1,6","Forest"
112,"Inland Water",30,50,70,40,60,80,0,0,-80,-20,-45,0,1,"Inland Water"
113,"Bridge",30,50,200,30,30,80,0,0,0,0,-20,0,,"Road"
114,"Swamp Building",20,100,120,20,40,40,30,30,0,0,-5,0,,"Urban Building"
115,"Swamp Farm",,,,,,,,70,-30,0,-15,0,1,"Farm"
116,"Pandemonium",70,100,150,20,50,70,50,0,0,0,0,0,,"Pandemonium"
117,"Cold Mana",,,,,,,,,0,-60,-90,0,,"Mana"
118,"Creeping Rot",80,100,,70,100,,,,-35,,,0,3,"Rot"
119,"Muddy Ground",20,40,60,30,60,70,0,,,,,0,6,"Wet Ground"
120,"Deep Water",1,5,5,5,5,5,0,0,-90,-30,-60,0,5,"Plain"
121,"Ocean",1,5,5,5,5,5,,,-90,-30,-60,0,5,"Barren"
122,"Coral Reef",1,5,5,5,5,5,,,-90,-30,-60,0,5,"Plant Field"
123,"Underwater Forest",1,5,5,5,5,5,,,-90,-30,-60,0,5,"Forest"
124,"Fresh Water",1,5,5,5,5,5,,,-90,-30,-60,0,5,"Inland Water"
125,"Bridge",30,50,200,30,30,80,0,0,0,0,-15,0,,"Road"
126,"Sunken City",1,5,5,5,5,5,,,-90,-30,-60,0,5,"Urban Building"
127,"Fishery",,,,,,,,,-90,0,-10,0,5,"Farm"
128,"Pandemonium",1,5,5,5,5,5,,,-90,-30,-60,0,,"Pandemonium"
129,"Water Mana",,,,,,,,,0,-30,-60,0,5,"Mana"
130,"Creeping Rot",80,100,,70,100,,,,-100,,,0,3,"Rot"
131,"Beach",80,,,,90,,,,0,0,-35,15,,"Wet Ground"
