"charid","name","portrait","authority","melee_command","range_command","cavalry_command","combat","social","trait","ability","mana","description"
29,"Elmaliern",29,22,1,1,1,,3,,29,,
30,"Tulia",30,70,5,9,4,,4,,30,,
31,"Adaqua",31,64,3,8,1,,2,,31,,
32,"Feydiavy",32,44,5,1,1,,3,,32,,
33,"Miyilya Cui An",33,75,6,7,2,,2,,33,,
34,"Parna Roldorn",34,88,6,4,8,,4,,34,,
35,"Vraesier",35,27,7,1,1,,2,,35,,"There is a tale of abomination entity that resides in the Forest of Skangra. This mysterious creature has one eye and wears the skin of female clad in tattered armour swings its monstrously huge great sword at whoever crosses its path. Rumour is that this creature once was seen talking to another similar female creature or even travel together. Nobody knows where they came from or why they stalk the forest but the first sighting was around 20 years ago by the hunter whose arm got chopped off."
36,"Nraesier",36,53,5,4,1,,2,,36,,
37,"Niavesia The Royal Knight",37,85,9,5,4,,4,8,37,,"Captain of the elite royal guard unit, Milingrels. The Protector of Tower Throne. She is born into a soldier family and discovers talent in fighting at a young age. After proving herself in the Trial of Giasarost at age 20, she becomes the personal bodyguard to the royal family of Werlermar House. "
38,"Eona Suermphael",38,41,2,2,1,,3,,38,,
39,"Ralaviel",39,,,,,,4,,39,,
40,"Aunnial The Holy Maiden",40,90,8,2,1,,7,"13,21,26",40,,"Out of 10 Holy Maidens that show the most aptitude to ""Holy"" magic in Valle, Aunnial is the only one that passed the Night of Suffering Ritual at age 9, which make her the fourth Holy Maiden in history that pass it. Her ability to channel to the magic is far above even some of the most powerful wizard. Although lacking in the combat and leading proficiency, her role as the Holy Maiden and the belief that she will protect the country from all evils make her authority reaching to the point of worshipping."
41,"Liwa of House Tarlsov",41,95,6,8,1,,8,,41,,"The Empire of Flowers is at risk of invasion from all side, with the fall of Masendor and the rise of the commoner king is the foretold of the end of an era. To safeguard her empire, empress Liwa Tarlsorv strengthens her resolve to unite humanity together against the threat of corruption despite her husband more liberal rulership. Only when united against the common threat can the human race survive in this harsh and unforgiving world.  "
42,"Pao La Sin",42,71,6,8,3,,8,,43,,
43,"Sasinola",43,10,1,2,0,,3,,44,,
44,"Ab",44,,,,,,2,,,,
45,"Unsi Ed and Ana Bi",45,4,3,9,1,,0,,42,,
46,"Cenelalenie",46,39,1,1,1,,2,,45,,
47,"Sonagsha",47,17,0,2,0,,2,,46,,
48,"Mounniley Leitanonde",48,86,8,4,2,,7,,47,,"I am Mounniley Leitanonde and I am called a hero by some, even a villain by some others. This is not the story of my journey but rather the story of this world. I am a mere character in it and I will act accordingly. My hero companions will accompany me through this road of a godless dream until this world is no more."
49,"Porcehwik",,,,,,,,,,,
50,"Lekinsie",,,,,,,,,,,
51,"Odtamile",,,,,,,,,,,
52,"Enshomair",,,,,,,,,,,
53,"Kirnharl",,,,,,,,,,,
54,"Amgarn",,,,,,,,,,,
55,"Gonse The Small Face",,,,,,,,,,,
56,"Da Kedeus",,,,,,,,,,,
57,"Raenid The Hero",,,,,,,,,,,
58,"Maslilna",,,,,,,,,,,
59,"Laggail",,,,,,,,,,,
60,"Arlarges",,,,,,,,,,,
61,"Sinanliae",,,,,,,,,,,
62,"Del Ghern",,,,,,,,,,,
63,"Nadvalin",,,,,,,,,,,
64,"Duhon",,,,,,,,,,,
65,"Badunoh",,,,,,,,,,,
66,"Mavilros",,,,,,,,,,,
67,"Havill",,,,,,,,,,,
68,"Nemhus",,,,,,,,,,,
69,"Luentose",,,,,,,,,,,
70,"Herlernish",,,,,,,,,,,
71,"Vurus",,,,,,,,,,,
72,"Adupelel",,,,,,,,,,,
73,"Unique Bek",,,,,,,,,,,
74,"Op Pajulu",,,,,,,,,,,
75,"Taladamun",,,,,,,,,,,
76,"Ladarnsuds",,,,,,,,,,,
77,"Mohge",,,,,,,,,,,
78,"Mengkja",,,,,,,,,,,
79,"Tanrsakt",,,,,,,,,,,
80,"Benjgai",,,,,,,,,,,
81,"Kadeloner",,,,,,,,,,,
82,"Diagieze",,,,,,,,,,,
83,"Nadinsorn",,,,,,,,,,,
84,"Nenwu",,,,,,,,,,,
85,"Lapilna",,,,,,,,,,,
86,"Uamalilana",,,,,,,,,,,
87,"Arltii",,,,,,,,,,,
88,"Shini",,,,,,,,,,,
89,"Armina",,,,,,,,,,,
90,"Landemes",,,,,,,,,,,
91,"Palanaulny",,,,,,,,,,,
92,"Mal Nai Larn",,,,,,,,,,,
93,"Saihali",,,,,,,,,,,
94,"Monnirl Maaeir",,,,,,,,,,,
95,"Dellin",,,,,,,,,,,
96,"Masitha",,,,,,,,,,,
97,"Lannoire",,,,,,,,,,,
98,"Walantah",,,,,,,,,,,
99,"Sanlelly",,,,,,,,,,,
100,,,,,,,,,,,,
101,,,,,,,,,,,,
102,,,,,,,,,,,,
103,,,,,,,,,,,,
104,,,,,,,,,,,,
105,,,,,,,,,,,,
106,,,,,,,,,,,,
107,,,,,,,,,,,,
108,,,,,,,,,,,,
109,,,,,,,,,,,,
110,,,,,,,,,,,,
111,,,,,,,,,,,,
112,,,,,,,,,,,,
113,,,,,,,,,,,,
114,,,,,,,,,,,,
115,,,,,,,,,,,,
116,,,,,,,,,,,,
117,,,,,,,,,,,,
118,,,,,,,,,,,,
119,,,,,,,,,,,,
120,,,,,,,,,,,,
121,,,,,,,,,,,,
122,,,,,,,,,,,,
123,,,,,,,,,,,,
124,,,,,,,,,,,,
125,,,,,,,,,,,,
126,,,,,,,,,,,,
127,,,,,,,,,,,,
128,,,,,,,,,,,,
129,,,,,,,,,,,,
130,,,,,,,,,,,,
131,,,,,,,,,,,,
132,,,,,,,,,,,,
133,,,,,,,,,,,,
134,,,,,,,,,,,,
135,,,,,,,,,,,,
136,,,,,,,,,,,,
137,,,,,,,,,,,,
138,,,,,,,,,,,,
139,,,,,,,,,,,,
140,,,,,,,,,,,,
141,,,,,,,,,,,,
142,,,,,,,,,,,,
143,,,,,,,,,,,,
144,,,,,,,,,,,,
145,,,,,,,,,,,,
146,,,,,,,,,,,,
147,,,,,,,,,,,,
148,,,,,,,,,,,,
149,,,,,,,,,,,,
150,,,,,,,,,,,,
151,,,,,,,,,,,,
152,,,,,,,,,,,,
153,,,,,,,,,,,,
154,,,,,,,,,,,,
155,,,,,,,,,,,,
156,,,,,,,,,,,,
157,,,,,,,,,,,,
158,,,,,,,,,,,,
159,,,,,,,,,,,,
160,,,,,,,,,,,,
161,,,,,,,,,,,,
162,,,,,,,,,,,,
163,,,,,,,,,,,,
164,,,,,,,,,,,,
165,,,,,,,,,,,,
166,,,,,,,,,,,,
167,,,,,,,,,,,,
168,,,,,,,,,,,,
169,,,,,,,,,,,,
170,,,,,,,,,,,,
171,,,,,,,,,,,,
172,,,,,,,,,,,,
173,,,,,,,,,,,,
174,,,,,,,,,,,,
175,,,,,,,,,,,,
176,,,,,,,,,,,,
177,,,,,,,,,,,,
178,,,,,,,,,,,,
179,,,,,,,,,,,,
180,,,,,,,,,,,,
181,,,,,,,,,,,,
182,,,,,,,,,,,,
183,,,,,,,,,,,,
184,,,,,,,,,,,,
185,,,,,,,,,,,,
186,,,,,,,,,,,,
187,,,,,,,,,,,,
188,,,,,,,,,,,,
189,,,,,,,,,,,,
190,,,,,,,,,,,,
191,,,,,,,,,,,,
192,,,,,,,,,,,,
193,,,,,,,,,,,,
194,,,,,,,,,,,,
195,,,,,,,,,,,,
196,,,,,,,,,,,,
197,,,,,,,,,,,,
198,,,,,,,,,,,,
199,,,,,,,,,,,,
200,,,,,,,,,,,,
201,,,,,,,,,,,,
202,,,,,,,,,,,,
203,,,,,,,,,,,,
204,,,,,,,,,,,,
205,,,,,,,,,,,,
206,,,,,,,,,,,,
207,,,,,,,,,,,,
208,,,,,,,,,,,,
209,,,,,,,,,,,,
210,,,,,,,,,,,,
211,,,,,,,,,,,,
212,,,,,,,,,,,,
213,,,,,,,,,,,,
214,,,,,,,,,,,,
215,,,,,,,,,,,,
216,,,,,,,,,,,,
217,,,,,,,,,,,,
218,,,,,,,,,,,,
219,,,,,,,,,,,,
220,,,,,,,,,,,,
221,,,,,,,,,,,,
222,,,,,,,,,,,,
223,,,,,,,,,,,,
224,,,,,,,,,,,,
225,,,,,,,,,,,,
226,,,,,,,,,,,,
227,,,,,,,,,,,,
228,,,,,,,,,,,,
229,,,,,,,,,,,,
230,,,,,,,,,,,,
231,,,,,,,,,,,,
232,,,,,,,,,,,,
233,,,,,,,,,,,,
234,,,,,,,,,,,,
235,,,,,,,,,,,,
236,,,,,,,,,,,,
237,,,,,,,,,,,,
238,,,,,,,,,,,,
239,,,,,,,,,,,,
240,,,,,,,,,,,,
241,,,,,,,,,,,,
242,,,,,,,,,,,,
243,,,,,,,,,,,,
244,,,,,,,,,,,,
245,,,,,,,,,,,,
246,,,,,,,,,,,,
247,,,,,,,,,,,,
248,,,,,,,,,,,,
249,,,,,,,,,,,,
250,,,,,,,,,,,,
251,,,,,,,,,,,,
252,,,,,,,,,,,,
253,,,,,,,,,,,,
254,,,,,,,,,,,,
255,,,,,,,,,,,,
256,,,,,,,,,,,,
257,,,,,,,,,,,,
258,,,,,,,,,,,,
259,,,,,,,,,,,,
260,,,,,,,,,,,,
261,,,,,,,,,,,,
262,,,,,,,,,,,,
263,,,,,,,,,,,,
264,,,,,,,,,,,,
265,,,,,,,,,,,,
266,,,,,,,,,,,,
267,,,,,,,,,,,,
268,,,,,,,,,,,,
269,,,,,,,,,,,,
270,,,,,,,,,,,,
271,,,,,,,,,,,,
272,,,,,,,,,,,,
273,,,,,,,,,,,,
274,,,,,,,,,,,,
275,,,,,,,,,,,,
276,,,,,,,,,,,,
277,,,,,,,,,,,,
278,,,,,,,,,,,,
279,,,,,,,,,,,,
280,,,,,,,,,,,,
281,,,,,,,,,,,,
282,,,,,,,,,,,,
283,,,,,,,,,,,,
284,,,,,,,,,,,,
285,,,,,,,,,,,,
286,,,,,,,,,,,,
287,,,,,,,,,,,,
288,,,,,,,,,,,,
289,,,,,,,,,,,,
290,,,,,,,,,,,,
291,,,,,,,,,,,,
292,,,,,,,,,,,,
293,,,,,,,,,,,,
294,,,,,,,,,,,,
295,,,,,,,,,,,,
296,,,,,,,,,,,,
297,,,,,,,,,,,,
298,,,,,,,,,,,,
299,,,,,,,,,,,,
300,,,,,,,,,,,,
301,,,,,,,,,,,,
302,,,,,,,,,,,,
303,,,,,,,,,,,,
304,,,,,,,,,,,,
305,,,,,,,,,,,,
306,,,,,,,,,,,,
307,,,,,,,,,,,,
308,,,,,,,,,,,,
309,,,,,,,,,,,,
310,,,,,,,,,,,,
311,,,,,,,,,,,,
312,,,,,,,,,,,,
313,,,,,,,,,,,,
314,,,,,,,,,,,,
315,,,,,,,,,,,,
316,,,,,,,,,,,,
317,,,,,,,,,,,,
318,,,,,,,,,,,,
319,,,,,,,,,,,,
320,,,,,,,,,,,,
321,,,,,,,,,,,,
322,,,,,,,,,,,,
323,,,,,,,,,,,,
324,,,,,,,,,,,,
325,,,,,,,,,,,,
326,,,,,,,,,,,,
327,,,,,,,,,,,,
328,,,,,,,,,,,,
329,,,,,,,,,,,,
330,,,,,,,,,,,,
331,,,,,,,,,,,,
332,,,,,,,,,,,,
333,,,,,,,,,,,,
334,,,,,,,,,,,,
335,,,,,,,,,,,,
336,,,,,,,,,,,,
337,,,,,,,,,,,,
338,,,,,,,,,,,,
339,,,,,,,,,,,,
340,,,,,,,,,,,,
341,,,,,,,,,,,,
342,,,,,,,,,,,,
343,,,,,,,,,,,,
344,,,,,,,,,,,,
345,,,,,,,,,,,,
346,,,,,,,,,,,,
347,,,,,,,,,,,,
348,,,,,,,,,,,,
349,,,,,,,,,,,,
350,,,,,,,,,,,,
351,,,,,,,,,,,,
352,,,,,,,,,,,,
353,,,,,,,,,,,,
354,,,,,,,,,,,,
355,,,,,,,,,,,,
356,,,,,,,,,,,,
357,,,,,,,,,,,,
358,,,,,,,,,,,,
359,,,,,,,,,,,,
360,,,,,,,,,,,,
361,,,,,,,,,,,,
362,,,,,,,,,,,,
363,,,,,,,,,,,,
364,,,,,,,,,,,,
365,,,,,,,,,,,,
366,,,,,,,,,,,,
367,,,,,,,,,,,,
368,,,,,,,,,,,,
369,,,,,,,,,,,,
370,,,,,,,,,,,,
371,,,,,,,,,,,,
372,,,,,,,,,,,,
373,,,,,,,,,,,,
374,,,,,,,,,,,,
375,,,,,,,,,,,,
376,,,,,,,,,,,,
377,,,,,,,,,,,,
378,,,,,,,,,,,,
379,,,,,,,,,,,,
380,,,,,,,,,,,,
381,,,,,,,,,,,,
382,,,,,,,,,,,,
383,,,,,,,,,,,,
384,,,,,,,,,,,,
385,,,,,,,,,,,,
386,,,,,,,,,,,,
387,,,,,,,,,,,,
388,,,,,,,,,,,,
389,,,,,,,,,,,,
390,,,,,,,,,,,,
391,,,,,,,,,,,,
392,,,,,,,,,,,,
393,,,,,,,,,,,,
394,,,,,,,,,,,,
395,,,,,,,,,,,,
396,,,,,,,,,,,,
397,,,,,,,,,,,,
398,,,,,,,,,,,,
399,,,,,,,,,,,,
400,,,,,,,,,,,,
401,,,,,,,,,,,,
402,,,,,,,,,,,,
403,,,,,,,,,,,,
