"abilityid","name","elem","aoe_range","duration","cooldown","restriction","type","condition","discipline_need ","stamina_cost","atk_effect","def_melee_effect","def_range_effect","speed_effect","accuracy_effect","range_effect","reload_effect","charge_effect","charge_def_effect","health_regen_bonus","stamina_regen_bonus","morale_bonus","discipline_bonus","critical_effect","damage_effect","sight_effect","hide_bonus","status","stamina_damage","morale_damage","enemy_status","description"
54,"Pikewall",,1,30,0,"0,1,3",0,"0,1,3",45,20,,,,,,,,,170,0,-0.5,0,0,,,0,0,0,,,0,"The deadly charge of cavalry was the domination tactic in battlefield until the invention of pikewall tactic. By simply having infantry squads holding pikes in line, an impregnable wall is created, "
55,"Hidden Pike",,1,30,5,2,0,0,60,10,,,,,,,,,150,0,-0.7,0,0,,,0,40,0,,,0,"A nasty surprise. Who can expect complete death trap in their charge to glory? Only fool fight a fair fight."
56,"Overdrive",,1,60,900,10,1,10,40,0,120,120,120,120,120,,120,120,120,0,0.5,0,20,,,0,0,0,,,0,
57,"Death Volunteer",,1,300,600,10,1,10,70,0,150,150,,,,,,150,,-100,,0,0,,150,0,0,0,,,0,"Volunteer to die is an act that surpass natural instinct. To excess oneself to death for victory is either madness or complete devotion."
58,"Warcry",,3,1,60,10,1,10,38,30,,,,,,,,,,0,0,0,0,,,0,0,0,,6,0,
59,"Deathshriek",,3,1,60,10,1,10,26,50,,,,,,,,,,0,0,0,0,,,0,0,0,,8,0,
60,"Abyssal Hatred",,3,15,,10,1,10,40,,,,,,,,,,,0,,0,0,,,0,0,0,,,0,"Next melee attack deal damage +1% per number of squad troop killed"
61,"Second Wind",,1,30,120,"0,1,2,3,4,5,6,7,8,9,10,11",0,"0,1,2,3,4,5,6,7,8,9,10,11",60,0,,,,,,,,,,0,1,10,0,,,0,0,0,,,0,
62,"Bloodlust",,1,30,0,,0,,50,2,,,,,,,,,,0,,0,0,,,0,0,0,,,0,"All stat +10%, stamina +10% for every enemy squad destroyed"
63,"Critical Measure",,1,10,100,10,0,10,60,,125,125,125,125,125,,125,125,125,0,-5,0,40,,,0,0,2,,,0,"Critical measure must be taken for this crisis or we will not survive. "
64,"Camaraderie",,1,30,0,,0,,70,1,,,,,,,,,,0,,0,0,,,0,0,0,,,0,
65,"Cripple Strike",,1,1,15,10,1,10,40,15,,,,,,,,,,0,0,0,0,,,0,0,0,,,34,
66,"Random Throwing",,1,30,10,11,0,11,20,5,,,,,,,,,,0,-0.5,0,0,,30,0,0,0,,,0,
67,"Joy Of The Barbarian",,2,1,30,10,1,10,10,90,,,,,,,,,,0,,0,0,,,0,0,0,,4,0,
68,"Sand Pocket",,1,1,20,10,1,10,30,20,,,,,,,,,,0,0,0,0,,10,0,0,0,,,7,
69,"Terror Strike",,1,1,30,10,1,10,50,70,,,,,,,,,,0,0,0,0,,,0,0,0,,,8,
70,"Martrydom ",,1,120,1000,10,0,10,64,,125,10,10,130,0,,0,200,0,0,,200,50,,,0,0,0,,,0,
71,"Proud Force",,1,,,10,0,10,80,,,,,,,,,,,0,,0,0,,,0,0,0,,,,
72,"Petrifying gaze",,1,,600,10,1,10,28,25,,,,,,,,,,0,,0,0,,,0,0,0,,,35,
73,"Hide In The Shell",,1,60,300,10,0,10,10,10,0,200,200,0,,,,,,0,0.5,0,0,,,0,0,0,,,0,
74,"Baledarnnian",,,,,,,,,,,,,,70,,200,,,0,,0,0,,,0,0,0,,,,
75,"Soothing Ritual",,3,1000,6000,"0,1,2,3,4,5,6,7,8,9,10,11",0,0,55,0,,,,,,,,,,0,0,15,0,,,0,0,0,,,0,
76,"Sunstrike",,1,1,120,10,1,10,50,60,,,,,,,,,,0,,0,0,,,0,0,0,,,7,
77,"Whirlwind Strike",,3,1,240,10,1,10,60,100,,,,,,,,,,0,,0,0,,70,0,0,0,,,0,
78,"Arrow Shower",,1,30,60,11,0,11,55,60,,,,,70,,200,,,0,-4,0,0,,,0,0,0,,,0,
79,"Poison Arrow",,1,40,100,11,0,11,40,0,,,,,,,,,,0,0,0,0,,,0,0,0,,,26,
80,"Heavy Arrow",,1,40,60,11,0,11,40,0,,,,,80,,,,,0,0,0,0,,,0,0,0,,,0,"Arrow specifically made to pierce heavy armour. Less ideal for other use due to its heavy weight."
81,"Inferno Trail Arrow",,3,20,100,11,0,11,50,0,,,,,,,,,,0,0,0,0,,,0,0,0,,,28,
82,"Fire Arrow",,1,60,60,11,0,11,40,0,,,,,,,,,,0,0,0,0,,70,0,0,0,,,28,"Fire arrow is often used to ignite a structure, ship or siege machine. It is also used to inflict damage to enemy morale. "
83,"Whistle Arrow",,3,10,100,11,0,11,40,0,,,,,,,,,,0,0,0,0,,10,0,0,0,,,32,
84,"Curse Arrow",,1,20,100,11,0,11,40,0,,,,,,,,,,0,0,0,0,,,0,0,0,,,19,
85,"Smoke Arrow",,3,10,100,11,0,11,40,0,,,,,,,,,,0,0,0,0,,10,0,0,0,,,62,
86,"Magic Arrow",,1,30,100,11,0,11,60,0,,,,,,,,,,0,0,0,0,,150,0,0,0,,,0,
87,"Fireblast Arrow",,3,30,100,11,0,11,50,0,,,,,,,,,,0,0,0,0,,50,0,0,0,,,23,
88,"Unwavering Resolve",,1,30,120,10,0,10,55,0,,,,,,,,,,0,,80,0,,,0,0,0,,,0,
89,"Heroic Resolve",,1,45,120,10,0,10,75,0,,,,,,,,,,0,,150,0,,,0,0,0,,,0,
90,"Sacrifical Strike",,1,5,60,10,1,10,61,50,130,0,0,,,,,,,0,,0,0,,150,0,0,0,,,0,
91,"Stalwart Defense",,1,60,90,10,0,10,60,20,,130,130,,,,,,,0,-1,0,0,,,0,0,0,,,0,
92,"Sudden Fortitude",,1,1,180,10,0,10,70,0,,,,,,,,,,0,50,0,0,,0,0,0,0,,,0,
93,"Indestructible",,1,50,100,10,0,10,40,30,,170,170,,,,,,,0,0,200,0,,,0,0,0,,,0,
94,"Iron Wall",,1,100,130,10,0,10,50,30,,150,150,,,,,,,0,-1,0,0,,,0,0,0,,,0,"None shall pass!"
95,"Focus Strike",,1,1,30,10,1,10,75,10,200,,,,,,,,,0,0,0,0,,,0,0,0,,,0,"Focus and steady!"
96,"Absolute Devotion",,1,150,600,,0,,70,0,,,,,,,,,,0,,100,20,,,0,0,0,,,0,"God rewards only those that give absolute devotion to him."
97,"Provoke",,2,30,30,10,1,10,50,10,,,,,,,,,,0,0,0,0,,,0,0,0,,,89,"""Hey over here! Come and get me."" *all kind of rude gesture*"
98,"Double Slash",,1,1,60,10,1,10,50,50,,,,,,,,,,0,0,0,0,,200,0,0,0,,,0,
99,"Triple Slash",,1,1,60,10,1,10,60,70,,,,,,,,,,0,0,0,0,,300,0,0,0,,,0,
100,"Great Sweep",,3,1,60,10,1,10,60,95,,,,,,,,,,0,0,0,0,,115,0,0,0,,,0,
101,"Pinpoint Shot",,1,30,60,11,0,11,70,45,,,,,200,,,,,0,-1,0,0,,,0,0,0,,,0,
102,"Flying",,1,,30,"0,1,2,3,4,5,6,7,8,9,10,11",0,"1,2,3,4,5,6,7,8,9,10",,,,,,,,,,,,0,-1,0,0,,,0,0,39,,,0,"Flying squad does not suffer terrain and height penalty while also can only be damaged by melee attack when the squad itself attacking."
103,"Floating",,1,,30,"0,1,2,3,4,5,6,7,8,9,10,11",0,"1,2,3,4,5,6,7,8,9,10",,,,,,,,,,,,0,-1,0,0,,,0,0,40,,,0,"Floating squad does not suffer terrain penalty but still receive height penalty. Moreover, the squad also receive melee defense bonus against squad with no Anti-Cavalry and Anti-Flying."
104,"Combine Determination",,3,1,100,,0,,80,30,130,130,130,130,130,,130,130,130,0,,130,50,,200,0,0,0,,,,
105,"Clear Mind",,1,10,60,,0,,70,10,110,110,110,110,110,,110,110,110,0,,110,0,,,0,0,50,,,0,
106,"The Great Banner",,4,1200,1200,,0,,40,15,105,105,105,105,105,,105,105,105,0,0,110,5,,,0,0,0,,,,
107,"Hammer Of Faith",,1,1,60,10,1,10,60,40,,,,,,,,,,0,0,0,0,,200,0,0,3,,6,,
108,"Blade Dance",,2,10,60,10,1,10,75,88,,,,,,,,,,0,,0,0,,40,0,0,0,,,,
109,"Desperate Struggle",,1,,,10,0,10,20,0,130,130,130,130,130,,130,130,130,0,-1,-30,-10,,,0,0,0,,,,
110,"Payday Immininent",,1,,,,,,50,15,125,,,150,,,,,,0,,15,0,,,0,0,0,,,,
111,"Finest Hour",,1,60,6000,,0,3,70,30,150,150,150,150,150,,150,150,150,0,,150,100,,,0,0,0,,,,
112,"Final Strike",,1,5,6000,10,1,10,,100,,,,,,,,,,0,,0,0,,200,0,0,0,,,,
113,"All Out Assault",,1,20,300,10,0,10,60,35,130,80,80,140,,,,130,,0,,0,0,,,0,0,0,,,,
114,"Poison Attack",,2,1,60,10,1,10,50,20,,,,,,,,,,0,,0,0,,,0,0,0,,,26,
115,"Delrmerh Festival",,3,20,,10,1,10,80,,,,,,,,,,,0,,150,0,,,0,0,3,,,2,
116,"Fullmoon Strike",,3,1,,10,1,10,60,,,,,,,,,,,0,,175,0,,,0,0,0,,,,
117,"Halfmoon Slit",,2,1,,10,1,10,70,,,,,,,,,,,0,,150,0,,,0,0,0,,,,
118,"Crescentmoon Pierce",,1,1,,10,1,10,80,,,,,,,,,,,0,,150,0,,,0,0,0,,,,
119,"Darkmoon Ritual",,1,1,,10,1,10,90,,,,,,,,,,,0,,200,0,,,0,0,0,,,,
120,"Crushing Leap",,1,1,120,10,1,10,60,80,,,,,,,,,,0,0,0,0,,120,0,0,0,,,23,
121,"Final Showdown",,1,120,10000,10,0,10,50,0,160,160,160,160,160,,160,160,160,0,-10,160,50,,,0,0,0,,,,
122,"Unto Demise",,,,,,0,,,20,,,,,,,,,,0,,0,0,,,0,0,0,,,,
123,"Stun Strike",,1,1,60,10,1,10,50,50,,,,,,,,,,0,0,0,0,,60,0,0,0,,,23,
124,"Purge The Infidels",,1,,,,0,,80,,,,,,,,,,,0,,0,0,,,0,0,0,,,,
125,"Corrupted Mist",,3,,,,1,,30,,,,,,,,,,,0,,0,0,,0,0,0,0,,,,
126,"Grasp The Opportunity",,,,,,0,,50,,,,,,,,,,,0,,0,0,,,0,0,0,,,,
127,"Blood Demand",,,,,,0,,75,,,,,,,,,,,0,,0,0,,,0,0,0,,,,
128,"Valiant Struggle",,1,,,,0,,80,,,,,,,,,,,0,,0,0,,,0,0,0,,,,
129,"Ground Shake",,3,5,600,10,1,10,40,80,,,,,,,,,,0,0,0,0,,20,0,0,0,,,23,
130,"Spike Burst",,1,2,120,,1,,45,55,,,,,,,,,,0,,0,0,,150,0,0,0,,,23,
131,"Deathblow",,1,3,6000,10,1,10,,70,,,,,,,,,,0,0,,,,250,,,,,,,"This squad can muster its last strength to deals final blow before it die. Death in melee combat will cause damage to attacker."
132,"Berserk",,1,,,,0,,30,20,,,,,,,,,,0,0,,,,,,,12,,,,
133,"Eight Gates Of Heaven",,1,,,10,0,10,100,30,,,,,,,,,,0,-1,,,,,,,74,,,,
134,"Requiem",,2,90,,,0,,,,,,,,,,,,,0,,,,,0,,,,,,,
135,"Nature Awakening",,1,,,,0,,,10,135,135,135,135,135,135,135,135,135,1,,20,,,,,,86,,,,
136,"Faithful Fury",,1,,,,0,,,55,140,,,130,,,,,,0,,50,,,,,,50,,,,
137,"Armour Shatters",,1,,,10,1,10,,,,,,,,,,,,0,,,,,150,,,,,,,"Armour is completely useless before this strike. Even worse, any squad that survive against this squad attack will receive armour shatter status."
138,"Cheer To Death",,1,3,,10,1,10,70,85,,,,,,,,,,0,,50,,,300,,,,,,,
139,"Battle Rhythm",,,30,,10,0,10,65,,120,120,,,,,,,,0,-1,,,,,,,,,,,
140,"Heroic Counter",,,,,,1,,75,60,,,,,,,,,,0,,,,,,,,,,,,"Deal 20% of melee attack damage back to enemy when receive melee damage"
141,"Cursed Song",,3,,,,0,,10,20,,,,,,,,,,0,,,,,0,,,,,,19,
142,"By Beard And Hammer!",,,100,,10,,10,35,,120,120,120,120,,,,120,120,,,30,10,,,,,,,,,
143,"Rushing Engagement",,,,,10,,10,40,,115,20,20,140,,,,,,,,50,20,,130,,,,,,,
144,"Final Drive",,,10,6000,10,,10,60,10,150,150,150,150,,,,150,,,,100,,,,,,,,,,"Only few are prepared to meet their end. Even fewer dare to confront it."
145,"Primal Carnage",,1,20,,10,0,10,10,30,135,30,30,150,,,150,120,50,,,100,-20,,,,,,,,,
146,"Great Hunt Of The Sentinels",,,300,,,,,60,25,110,,,120,140,,,,,,,30,,,,,,,,,,
147,"Bloody Onslaught",,,10,,10,0,10,40,30,160,80,80,135,,,,,,,,,,,,,,,,1,,
148,"Crack The Whip",,3,30,,,0,,10,5,,,,,,,,,,,,,,,,,,68,,,,"Work for your master, slave! Nothing make slave work harder than the sound of whiplash."
149,"Silver Arrow",,1,20,60,11,0,11,50,0,,,,,,,,,,,,,,,,,,,,,,"Next range attack deals 100% and +100% damage to spirit, evil and demon squads"
150,"Rampage",,1,5,,10,0,10,20,50,120,,,125,,,,,,,,,,,,,,,,,5,
151,"Overpower",,,10,,10,1,10,60,40,300,,,,,,,,,,,,,,,,,,,,,
152,"Overwhelm",,,10,,10,1,10,60,40,130,,,,,,,,,,,,,,130,,,,,,"5,46",
153,"Flashy Display",,3,25,,,0,,70,5,,,,,,,,,,0,,15,,,,,,,,-1,,
154,"Spellbind",,,30,,,,,65,10,,,,,,,,,,,,,,,,,,,,,"8,69",
155,"Callback Companion",,1,1,,,,,40,0,,,,,,,,,,,,,,,,,,,,,,
156,"Unleash Companion",,1,,,,,,40,0,,,,,,,,,,,,,,,,,,,,,70,
157,"Clear Insight",,1,60,,,0,,70,0,,,,,110,,,,120,,,15,10,,,,,50,,,,
158,"Blood For Blood",,,200,,,,,35,25,200,0,0,,,,,150,0,,,,,,,,,,,,,
159,"Shield Breaking",,,1,,10,1,10,,35,,,,,,,,,,,,,,,,,,,,,,
160,"Reconnaissance",,,100,,,0,,50,20,,,,,,,,,,,,,,,,125,,,,,,
161,"Battle Prayer",,1,200,,,0,,65,5,105,105,105,105,105,105,105,,,,,10,5,,,,,,,,,
162,"Disrupting Song",,,1000,,,0,,,15,,,,,,,,,,,,,,,,,,,,,5,
163,"Exact Justice",,,1,,,1,,,,,,,,,,,,,,,,,200,200,,,,,,,
164,"Collect Corpse",,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,"Good flesh and bone never should go to waste."
165,"Unlife",,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,71,
166,"Devour Corpse",,,,,,0,,,,,,,,,,,,,5,,,,,,,,,,,,
167,"Wail Of Death",,4,20,,,0,,,0,,,,,,,,,,,,,,,,,,,,,72,
168,"Cleaving Strike",,2,3,,10,1,10,30,35,,,,,,,,,,,,,,0,120,,,,,,,
169,"Mark For Death",,,,,,1,,50,,,,,,,,,,,,,,,,,,,,,,58,
170,"Dominate",,,60,,,1,,60,,,,,,,,,,,,,,,,,,,,,,73,
171,"Will Release",,,1,,,0,,60,,,,,,,,,,,,,,,,,,,50,,,,
172,"Revival",,,1,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,
173,"Bounty Hunting",,1,,,,,,60,,,,,,,,,,,,,,,,,,,,,,,
174,"Put A Bounty",,1,600,,,1,,60,0,,,,,,,,,,,,,,,,,,,,,51,
175,"Digging",,1,,,,0,,40,,,,,,,,,,,,,,,,,,,,,,,
176,"Petal Slash",,1,2,,,1,,85,25,250,,,,,,,,,,,,,,150,,,,,,,
177,"Paramount Effort",,,60,,,0,,80,30,130,130,130,130,130,130,130,130,130,,,30,30,,,,,"49,50",,,,
178,"Brutal Cleave",,2,2,,,1,,,,,,,,,,,,,,,,,,75,,,,,,2,
179,"Tar Ball Sling",,1,1,,,1,,,,,,,,,,,,,,,,,,5,,,,,,17,
180,"Storming Impact",,1,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
181,"Skewing Impale",,1,1,,,1,,,,,,,,,,,,,,,,,,150,,,,,,52,
182,"Into Insanity",,1,,,,0,,0,,,,,,,,,,,,,,,,,,,77,,,,
183,"Gobble",,1,,,,1,,10,,,,,,,,,,,,,,,,,,,78,,,,
184,"Vampiric Aura",,2,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,
185,"Polymorph",,1,,,,0,,20,,,,,,,,,,,,,,,,,,,79,,,,
186,"Shapeshift",,1,,,,0,,20,,,,,,,,,,,,,,,,,,,80,,,,
187,"Pain Reflect",,1,,,,,,40,,,,,,,,,,,,,,,,,,,81,,,,
188,"Courage Song",,3,,,,0,,62,,,,,,,,,,,,,40,,,,,,,,,,
189,"Benediction",,2,,,,0,,64,,,,,,,,,,,,,,,,,,,,,,,
190,"Healing Support",,2,,,,0,,68,,,,,,,,,,,10,,,,,,,,,,,,
191,"Guidance To Heaven Embrace",,2,,,,1,,88,,,,,,,,,,,,,,,,,,,,,,"7,83",
192,"Sacrifice Choosing",,1,,,,0,,50,,,,,,,,,,,,,,,,,,,,,,84,
193,"Indictment",,1,,,,0,,58,,,,,,,,,,,,,,,,150,,,,,3,85,
194,"Massacre",,2,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,
